DATE,CCUSMA02HUM618N_NBD19680101
1987-04-01,79.15450
1987-05-01,78.46617
1987-06-01,79.37183
1987-07-01,80.12417
1987-08-01,80.47850
1987-09-01,79.19483
1987-10-01,79.14233
1987-11-01,78.52850
1987-12-01,78.37017
1988-01-01,78.64250
1988-02-01,80.10650
1988-03-01,79.64383
1988-04-01,79.30183
1988-05-01,79.90483
1988-06-01,81.56900
1988-07-01,86.21150
1988-08-01,90.51000
1988-09-01,90.12183
1988-10-01,88.95883
1988-11-01,86.59817
1988-12-01,86.69533
1989-01-01,88.81833
1989-02-01,89.55450
1989-03-01,91.64533
1989-04-01,98.17300
1989-05-01,102.77533
1989-06-01,104.04667
1989-07-01,101.26267
1989-08-01,100.96900
1989-09-01,101.76733
1989-10-01,99.39700
1989-11-01,98.53483
1989-12-01,104.38283
1990-01-01,103.93050
1990-02-01,106.57150
1990-03-01,109.46317
1990-04-01,108.68883
1990-05-01,107.61367
1990-06-01,108.37200
1990-07-01,106.68833
1990-08-01,103.96517
1990-09-01,103.92300
1990-10-01,102.28917
1990-11-01,101.03533
1990-12-01,101.57667
1991-01-01,115.24621
1991-02-01,115.92500
1991-03-01,121.04921
1991-04-01,125.29697
1991-05-01,125.97464
1991-06-01,128.28583
1991-07-01,128.81522
1991-08-01,127.09015
1991-09-01,125.75952
1991-10-01,125.34420
1991-11-01,128.61984
1991-12-01,127.97879
1992-01-01,128.18939
1992-02-01,129.67083
1992-03-01,132.75833
1992-04-01,133.33636
1992-05-01,132.07937
1992-06-01,130.81364
1992-07-01,129.10145
1992-08-01,127.66905
1992-09-01,128.79091
1992-10-01,131.42197
1992-11-01,137.70000
1992-12-01,138.25725
1993-01-01,139.65952
1993-02-01,142.78833
1993-03-01,145.10942
1993-04-01,146.02273
1993-05-01,146.23095
1993-06-01,150.51591
1993-07-01,157.54924
1993-08-01,158.72273
1993-09-01,155.83864
1993-10-01,162.97460
1993-11-01,166.13106
1993-12-01,166.64275
1994-01-01,169.94048
1994-02-01,171.66584
1994-03-01,171.81746
1994-04-01,172.08333
1994-05-01,170.98254
1994-06-01,171.20985
1994-07-01,168.21587
1994-08-01,179.20652
1994-09-01,180.30833
1994-10-01,179.26825
1994-11-01,181.72540
1994-12-01,185.99667
1995-01-01,185.84470
1995-02-01,186.41083
1995-03-01,193.93333
1995-04-01,200.39210
1995-05-01,206.45757
1995-06-01,209.20952
1995-07-01,210.62619
1995-08-01,217.60435
1995-09-01,222.79762
1995-10-01,223.25176
1995-11-01,226.24167
