DATE,CCUSMA02INM618N_NBD19600101
1982-01-01,191.60603
1982-02-01,192.90852
1982-03-01,194.78732
1982-04-01,196.51901
1982-05-01,194.78732
1982-06-01,197.98266
1982-07-01,200.26722
1982-08-01,200.63076
1982-09-01,202.00097
1982-10-01,202.97720
1982-11-01,204.85827
1982-12-01,203.37034
1983-01-01,205.60036
1983-02-01,207.98278
1983-03-01,209.35122
1983-04-01,209.53923
1983-05-01,209.87429
1983-06-01,211.09792
1983-07-01,211.77916
1983-08-01,213.56678
1983-09-01,213.95844
1983-10-01,214.70219
1983-11-01,217.34652
1983-12-01,220.12601
1984-01-01,225.05722
1984-02-01,225.87623
1984-03-01,225.72923
1984-04-01,227.49323
1984-05-01,231.60923
1984-06-01,232.13423
1984-07-01,238.14024
1984-08-01,243.05424
1984-09-01,248.30425
1984-10-01,253.68025
1984-11-01,253.74325
1984-12-01,258.55226
1985-01-01,264.93626
1985-02-01,271.69827
1985-03-01,272.13927
1985-04-01,262.18526
1985-05-01,263.46626
1985-06-01,261.70226
1985-07-01,252.71425
1985-08-01,250.63525
1985-09-01,255.69626
1985-10-01,252.58825
1985-11-01,253.80625
1985-12-01,255.36026
1986-01-01,257.77526
1986-02-01,259.85426
1986-03-01,258.04826
1986-04-01,260.46326
1986-05-01,262.16426
1986-06-01,264.85226
1986-07-01,262.77326
1986-08-01,264.11726
1986-09-01,266.42727
1986-10-01,269.93427
1986-11-01,274.93227
1986-12-01,276.59128
1987-01-01,273.84027
1987-02-01,274.42827
1987-03-01,271.67727
1987-04-01,269.03127
1987-05-01,266.55327
1987-06-01,269.64027
1987-07-01,273.56727
1987-08-01,275.10027
1987-09-01,273.44127
1987-10-01,274.23927
1987-11-01,272.74827
1987-12-01,272.03427
1988-01-01,274.17627
1988-02-01,274.53327
1988-03-01,273.00027
1988-04-01,277.26328
1988-05-01,279.59428
1988-06-01,289.14929
1988-07-01,295.91130
1988-08-01,299.18730
1988-09-01,304.31130
1988-10-01,309.43531
1988-11-01,314.60131
1988-12-01,315.94532
1989-01-01,317.37332
1989-02-01,320.29232
1989-03-01,325.05932
1989-04-01,330.37233
1989-05-01,338.58334
1989-06-01,345.63935
1989-07-01,345.28235
1989-08-01,348.78935
1989-09-01,352.04435
1989-10-01,353.97635
1989-11-01,355.63536
1989-12-01,355.78236
1990-01-01,356.26536
1990-02-01,357.04236
1990-03-01,359.52036
1990-04-01,362.88036
1990-05-01,363.72036
1990-06-01,366.05137
1990-07-01,365.73637
1990-08-01,364.91736
1990-09-01,375.24937
1990-10-01,379.07138
1990-11-01,379.82738
1990-12-01,380.60438
1991-01-01,384.90938
1991-02-01,395.93440
1991-03-01,404.12440
1991-04-01,418.67742
1991-05-01,432.12163
1991-06-01,442.34444
1991-07-01,537.11754
1991-08-01,542.09454
1991-09-01,543.48054
1991-10-01,543.31254
1991-11-01,543.60654
1991-12-01,543.37554
1992-01-01,544.25754
1992-02-01,544.61454
1992-03-01,543.69054
1992-04-01,543.69054
1992-05-01,543.69054
1992-06-01,543.69054
1992-07-01,543.69054
1992-08-01,543.69054
1992-09-01,543.69054
1992-10-01,543.69054
1992-11-01,543.69054
1992-12-01,549.27655
1993-01-01,550.20055
1993-02-01,550.20055
1993-03-01,656.46066
1993-04-01,657.44766
1993-05-01,657.83826
1993-06-01,659.46366
1993-07-01,658.77066
1993-08-01,658.83366
1993-09-01,658.78053
1993-10-01,658.77066
1993-11-01,658.77066
1993-12-01,658.77969
1994-01-01,658.77066
1994-02-01,658.77066
1994-03-01,658.82547
1994-04-01,658.78221
1994-05-01,658.77066
1994-06-01,658.78011
1994-07-01,658.78053
1994-08-01,658.78977
1994-09-01,658.78011
1994-10-01,658.78053
1994-11-01,659.20977
1994-12-01,659.15055
1995-01-01,658.84416
1995-02-01,658.93635
1995-03-01,664.64142
1995-04-01,659.69907
1995-05-01,659.73855
1995-06-01,659.43888
1995-07-01,658.95063
1995-08-01,663.39066
1995-09-01,698.51320
1995-10-01,725.78173
1995-11-01,729.69088
1995-12-01,734.00596
1996-01-01,751.09074
1996-02-01,768.83282
1996-03-01,723.35076
1996-04-01,719.03022
1996-05-01,734.74873
1996-06-01,734.77981
1996-07-01,745.89072
1996-08-01,749.53065
1996-09-01,750.35175
1996-10-01,748.49325
1996-11-01,750.46347
1996-12-01,752.60568
1997-01-01,753.32073
1997-02-01,753.65925
1997-03-01,753.34068
1997-04-01,752.20080
1997-05-01,752.07060
1997-06-01,752.02083
1997-07-01,750.45864
1997-08-01,754.44675
1997-09-01,764.72080
1997-10-01,760.82131
1997-11-01,780.20601
1997-12-01,823.69075
1998-01-01,826.50833
1998-02-01,817.17361
1998-03-01,829.58672
1998-04-01,832.74092
1998-05-01,847.81096
1998-06-01,887.20322
1998-07-01,892.72013
1998-08-01,897.88320
1998-09-01,892.94000
1998-10-01,889.24589
1998-11-01,889.92083
1998-12-01,893.63657
1999-01-01,892.66889
1999-02-01,891.74741
1999-03-01,891.17096
1999-04-01,897.24690
1999-05-01,898.19085
1999-06-01,905.88358
1999-07-01,909.01468
1999-08-01,912.68002
1999-09-01,914.30269
1999-10-01,912.53491
1999-11-01,911.35660
1999-12-01,913.18129
2000-01-01,914.59081
2000-02-01,915.87098
2000-03-01,915.36088
2000-04-01,916.41992
2000-05-01,923.38037
2000-06-01,938.51089
2000-07-01,940.34104
2000-08-01,959.52918
2000-09-01,963.66996
2000-10-01,973.43098
2000-11-01,982.42865
2000-12-01,981.76211
2001-01-01,977.34098
2001-02-01,976.89767
2001-03-01,979.03148
2001-04-01,982.50698
2001-05-01,985.26365
2001-06-01,987.11145
2001-07-01,989.97921
2001-08-01,989.65371
2001-09-01,1000.56700
2001-10-01,1008.43109
2001-11-01,1007.94578
2001-12-01,1006.25927
2002-01-01,1015.05092
2002-02-01,1022.52252
2002-03-01,1023.52926
2002-04-01,1027.31053
2002-05-01,1029.00103
2002-06-01,1028.18434
2002-07-01,1024.04313
2002-08-01,1020.31962
2002-09-01,1017.32754
2002-10-01,1015.75925
2002-11-01,1015.87602
2002-12-01,1010.88851
2003-01-01,1006.53101
2003-02-01,1002.45259
2003-03-01,1000.62769
2003-04-01,994.92849
2003-05-01,988.74735
2003-06-01,981.06848
2003-07-01,970.82194
2003-08-01,964.59396
2003-09-01,962.78796
2003-10-01,953.12795
2003-11-01,955.96296
2003-12-01,957.34896
2004-01-01,954.57065
2004-02-01,950.67725
2004-03-01,945.37894
2004-04-01,922.55402
2004-05-01,950.26775
2004-06-01,955.64375
2004-07-01,966.87457
2004-08-01,973.16197
2004-09-01,967.99597
2004-10-01,961.43556
2004-11-01,947.62805
2004-12-01,923.57252
2005-01-01,918.84542
2005-02-01,917.27672
2005-03-01,917.50142
2005-04-01,918.56612
2005-05-01,913.26781
2005-06-01,915.25651
2005-07-01,914.25901
2005-08-01,916.11542
2005-09-01,922.21592
2005-10-01,941.17894
2005-11-01,960.25746
2005-12-01,958.46406
2006-01-01,932.33793
2006-02-01,930.90783
2006-03-01,934.10193
2006-04-01,943.93204
2006-05-01,953.55425
2006-06-01,967.17907
2006-07-01,975.58117
2006-08-01,977.27798
2006-09-01,968.48107
2006-10-01,954.82055
2006-11-01,941.86564
2006-12-01,937.33804
2007-01-01,930.98343
2007-02-01,927.32523
2007-03-01,924.54692
2007-04-01,885.11308
2007-05-01,856.41026
2007-06-01,856.24646
2007-07-01,848.69275
2007-08-01,857.24606
2007-09-01,847.14085
2007-10-01,829.74023
2007-11-01,828.16523
2007-12-01,828.23033
2008-01-01,826.84853
2008-02-01,834.38543
2008-03-01,847.47895
2008-04-01,840.47124
