DATE,CCUSMA02GRM618N_NBD19600101
1982-01-01,195.36667
1982-02-01,203.02733
1982-03-01,205.40367
1982-04-01,211.35167
1982-05-01,209.45600
1982-06-01,224.66733
1982-07-01,231.84433
1982-08-01,232.94900
1982-09-01,234.96433
1982-10-01,239.04300
1982-11-01,243.38633
1982-12-01,234.63333
1983-01-01,270.02433
1983-02-01,278.85000
1983-03-01,279.64867
1983-04-01,279.75000
1983-05-01,280.02633
1983-06-01,281.30300
1983-07-01,281.82033
1983-08-01,296.36667
1983-09-01,309.09533
1983-10-01,309.68567
1983-11-01,320.84500
1983-12-01,328.67800
1984-01-01,342.28167
1984-02-01,339.22867
1984-03-01,341.19100
1984-04-01,349.34567
1984-05-01,361.03967
1984-06-01,362.37233
1984-07-01,374.00000
1984-08-01,383.76533
1984-09-01,400.10000
1984-10-01,420.63033
1984-11-01,411.04133
1984-12-01,421.37733
1985-01-01,429.62133
1985-02-01,445.07167
1985-03-01,469.53167
1985-04-01,447.44533
1985-05-01,456.75433
1985-06-01,451.67667
1985-07-01,438.60567
1985-08-01,436.54767
1985-09-01,452.16667
1985-10-01,485.26100
1985-11-01,508.61667
1985-12-01,500.90000
1986-01-01,494.21667
1986-02-01,478.67833
1986-03-01,467.25933
1986-04-01,474.13633
1986-05-01,463.02333
1986-06-01,468.14300
1986-07-01,459.76367
1986-08-01,447.34833
1986-09-01,449.00767
1986-10-01,448.84067
1986-11-01,462.18067
1986-12-01,466.43167
1987-01-01,448.94300
1987-02-01,444.30833
1987-03-01,447.76067
1987-04-01,443.25400
1987-05-01,442.98833
1987-06-01,451.91267
1987-07-01,462.86367
1987-08-01,468.53167
1987-09-01,460.31500
1987-10-01,462.75900
1987-11-01,441.76333
1987-12-01,431.80467
1988-01-01,438.89333
1988-02-01,451.77000
1988-03-01,446.80867
1988-04-01,445.42967
1988-05-01,450.03733
1988-06-01,468.25767
1988-07-01,490.61833
1988-08-01,504.26800
1988-09-01,504.04533
1988-10-01,496.65000
1988-11-01,482.78500
1988-12-01,486.68033
1989-01-01,505.95333
1989-02-01,514.55833
1989-03-01,522.38033
1989-04-01,530.12000
1989-05-01,551.07867
1989-06-01,567.08933
1989-07-01,545.25233
1989-08-01,552.47433
1989-09-01,561.91267
1989-10-01,551.82533
1989-11-01,547.79367
1989-12-01,532.89600
1990-01-01,524.41667
1990-02-01,526.17500
1990-03-01,539.86367
1990-04-01,545.49833
1990-05-01,544.37333
1990-06-01,548.36667
1990-07-01,534.85167
1990-08-01,515.37600
1990-09-01,516.68333
1990-10-01,509.28967
1990-11-01,506.03800
1990-12-01,518.12267
1991-01-01,532.18933
1991-02-01,527.80833
1991-03-01,576.44167
1991-04-01,614.45233
1991-05-01,626.12500
1991-06-01,650.57133
1991-07-01,651.58700
1991-08-01,640.25000
1991-09-01,627.65833
1991-10-01,627.56367
1991-11-01,610.79467
1991-12-01,597.12700
1992-01-01,604.66667
1992-02-01,622.65800
1992-03-01,638.02567
1992-04-01,641.61100
1992-05-01,638.74800
1992-06-01,636.06067
1992-07-01,609.02267
1992-08-01,598.60800
1992-09-01,606.09100
1992-10-01,640.12867
1992-11-01,686.43333
1992-12-01,696.67433
1993-01-01,718.66667
1993-02-01,734.39467
1993-03-01,744.00300
1993-04-01,724.33333
1993-05-01,725.46100
1993-06-01,748.97733
1993-07-01,780.21367
1993-08-01,790.77267
1993-09-01,773.85000
1993-10-01,792.90967
1993-11-01,811.14133
1993-12-01,818.07267
1994-01-01,833.77000
1994-02-01,834.63667
1994-03-01,821.36800
1994-04-01,829.18500
1994-05-01,817.86067
1994-06-01,816.59833
1994-07-01,789.86200
1994-08-01,787.03633
1994-09-01,783.97733
1994-10-01,776.11000
1994-11-01,790.01000
1994-12-01,809.28767
1995-01-01,793.81267
1995-02-01,786.87500
1995-03-01,761.45067
1995-04-01,748.89467
1995-05-01,760.59233
1995-06-01,753.85600
1995-07-01,750.56000
1995-08-01,774.30467
1995-09-01,786.08900
1995-10-01,774.87133
1995-11-01,779.41100
1995-12-01,792.41067
1996-01-01,801.35467
1996-02-01,807.47133
1996-03-01,806.13000
1996-04-01,805.86667
1996-05-01,810.33167
1996-06-01,804.95667
1996-07-01,791.84633
1996-08-01,789.42867
1996-09-01,797.93333
1996-10-01,799.03200
1996-11-01,794.33333
1996-12-01,817.67500
1997-01-01,837.21200
1997-02-01,874.77167
1997-03-01,889.43333
1997-04-01,900.96200
1997-05-01,905.13333
1997-06-01,911.96833
1997-07-01,936.13900
1997-08-01,962.63833
1997-09-01,939.60967
1997-10-01,921.86967
1997-11-01,906.19833
1997-12-01,931.93333
1998-01-01,956.72067
1998-02-01,955.36833
1998-03-01,1018.60467
1998-04-01,1053.15000
1998-05-01,1021.47667
1998-06-01,1012.54700
1998-07-01,998.42167
1998-08-01,1003.12233
1998-09-01,976.60600
1998-10-01,939.10300
1998-11-01,941.16033
1998-12-01,934.55300
1999-01-01,929.96500
1999-02-01,957.88333
1999-03-01,988.07333
1999-04-01,1013.91600
1999-05-01,1019.73333
1999-06-01,1040.08933
1999-07-01,1044.16667
1999-08-01,1025.03033
1999-09-01,1037.16867
1999-10-01,1024.29433
1999-11-01,1061.50167
1999-12-01,1085.88167
2000-01-01,1088.50867
2000-02-01,1128.31100
2000-03-01,1153.33167
2000-04-01,1181.97433
2000-05-01,1236.20933
2000-06-01,1180.96367
2000-07-01,1139.54100
2000-08-01,1243.20833
2000-09-01,1298.37233
2000-10-01,1325.79467
2000-11-01,1326.44700
2000-12-01,1262.31133
2001-01-01,1209.78733
2001-02-01,1232.81233
2001-03-01,1250.56833
2001-04-01,1270.85533
2001-05-01,1298.81600
2001-06-01,1329.92633
2001-07-01,1318.62633
2001-08-01,1259.17767
2001-09-01,1244.68167
2001-10-01,1253.78833
2001-11-01,1278.63367
2001-12-01,1272.00833
2002-01-01,1286.79792
2002-02-01,1304.53378
2002-03-01,1295.71595
2002-04-01,1280.86286
2002-05-01,1237.05916
2002-06-01,1187.43475
2002-07-01,1145.31675
2002-08-01,1161.35183
2002-09-01,1157.33528
2002-10-01,1156.91172
2002-11-01,1134.00630
2002-12-01,1114.99147
2003-01-01,1068.14835
2003-02-01,1053.59376
2003-03-01,1052.38470
2003-04-01,1044.89534
2003-05-01,981.68253
2003-06-01,973.26839
2003-07-01,999.15014
2003-08-01,1018.76083
2003-09-01,1009.21002
2003-10-01,970.78033
2003-11-01,969.34050
2003-12-01,923.55974
2004-01-01,900.43454
2004-02-01,898.92892
2004-03-01,926.30982
2004-04-01,946.73835
2004-05-01,945.49210
2004-06-01,934.99270
2004-07-01,926.21526
2004-08-01,931.70717
2004-09-01,928.99452
2004-10-01,909.88964
2004-11-01,873.87444
2004-12-01,846.69288
2005-01-01,866.42466
2005-02-01,871.92397
2005-03-01,861.88559
2005-04-01,877.63527
2005-05-01,895.61835
2005-06-01,934.31122
2005-07-01,942.66906
2005-08-01,923.87912
2005-09-01,927.62771
2005-10-01,944.19518
2005-11-01,963.07774
2005-12-01,957.71475
2006-01-01,937.32443
2006-02-01,951.32845
2006-03-01,944.09020
2006-04-01,924.79027
2006-05-01,889.25041
2006-06-01,897.02667
2006-07-01,894.84598
2006-08-01,886.63234
2006-09-01,892.02491
2006-10-01,899.89781
2006-11-01,881.18558
2006-12-01,860.58606
2007-01-01,873.68871
2007-02-01,867.96446
2007-03-01,857.27919
2007-04-01,840.73990
2007-05-01,840.69696
2007-06-01,846.23457
2007-07-01,827.98613
2007-08-01,833.92676
2007-09-01,816.49330
2007-10-01,798.23941
2007-11-01,773.20708
2007-12-01,780.05992
2008-01-01,771.98752
2008-02-01,770.80960
2008-03-01,731.58751
2008-04-01,721.35975
2008-05-01,729.82455
2008-06-01,730.23266
2008-07-01,720.80971
2008-08-01,759.87250
2008-09-01,791.72746
2008-10-01,855.67757
2008-11-01,892.87858
2008-12-01,845.91187
2009-01-01,861.30242
2009-02-01,886.68829
2009-03-01,871.02928
2009-04-01,860.29049
2009-05-01,831.37591
2009-06-01,810.49453
2009-07-01,806.24413
2009-08-01,796.21917
2009-09-01,779.69795
2009-10-01,766.68750
2009-11-01,761.27336
2009-12-01,779.57674
2010-01-01,795.24560
2010-02-01,830.12379
2010-03-01,837.10917
2010-04-01,847.95121
2010-05-01,903.47429
2010-06-01,930.19587
2010-07-01,888.27330
2010-08-01,880.73549
2010-09-01,867.67341
2010-10-01,817.80000
2010-11-01,833.08212
2010-12-01,859.57891
2011-01-01,850.06848
2011-02-01,831.71396
2011-03-01,810.49116
2011-04-01,785.67214
2011-05-01,793.32795
2011-06-01,788.47485
2011-07-01,795.13742
2011-08-01,792.41659
2011-09-01,825.75083
2011-10-01,827.86024
2011-11-01,837.26405
2011-12-01,863.95614
2012-01-01,880.27083
2012-02-01,858.09504
2012-03-01,859.98072
2012-04-01,863.17925
2012-05-01,887.97475
2012-06-01,906.07048
2012-07-01,924.67159
2012-08-01,915.67920
2012-09-01,882.71287
2012-10-01,875.28304
2012-11-01,885.07231
2012-12-01,865.23456
2013-01-01,854.14667
2013-02-01,851.36387
2013-03-01,876.91742
2013-04-01,872.06186
2013-05-01,875.40298
2013-06-01,861.62726
2013-07-01,868.50607
2013-08-01,853.08518
2013-09-01,850.87114
2013-10-01,832.57225
2013-11-01,842.06086
2013-12-01,828.83152
2014-01-01,833.79648
2014-02-01,831.14150
2014-03-01,821.39464
2014-04-01,822.44453
2014-05-01,827.00954
2014-06-01,835.49087
2014-07-01,839.21836
2014-08-01,852.91997
2014-09-01,880.48613
2014-10-01,896.22287
2014-11-01,910.22049
2014-12-01,922.51939
2015-01-01,976.70618
2015-02-01,1000.17281
2015-03-01,1050.04694
2015-04-01,1050.28856
2015-05-01,1017.83972
2015-06-01,1012.66099
2015-07-01,1032.22558
2015-08-01,1020.39264
2015-09-01,1012.51436
2015-10-01,1011.25926
2015-11-01,1059.47126
2015-12-01,1043.20761
2016-01-01,1046.97385
2016-02-01,1024.18362
2016-03-01,1020.57193
2016-04-01,1001.59785
2016-05-01,1004.76746
2016-06-01,1011.21125
2016-07-01,1027.14706
2016-08-01,1013.44729
2016-09-01,1013.07092
2016-10-01,1030.96995
2016-11-01,1053.67902
2016-12-01,1077.73701
2017-01-01,1068.53211
2017-02-01,1066.96094
2017-03-01,1062.36467
2017-04-01,1060.12493
2017-05-01,1027.32964
2017-06-01,1010.90096
2017-07-01,986.09156
2017-08-01,961.64983
2017-09-01,953.51640
2017-10-01,966.23896
2017-11-01,967.44140
2017-12-01,960.11938
2018-01-01,931.30037
2018-02-01,920.35553
2018-03-01,921.19955
2018-04-01,925.65062
2018-05-01,962.20639
2018-06-01,972.68602
2018-07-01,972.03791
2018-08-01,983.47611
2018-09-01,973.48186
2018-10-01,989.05058
2018-11-01,999.47912
2018-12-01,998.10867
2019-01-01,994.67937
2019-02-01,1001.09283
2019-03-01,1005.45860
2019-04-01,1010.88960
2019-05-01,1015.31747
2019-06-01,1005.60607
2019-07-01,1012.82308
2019-08-01,1020.97890
2019-09-01,1031.80885
2019-10-01,1027.52817
2019-11-01,1027.95080
2019-12-01,1022.20457
2020-01-01,1023.08212
2020-02-01,1041.49670
2020-03-01,1028.89514
2020-04-01,1044.70542
2020-05-01,1041.46668
2020-06-01,1008.76353
2020-07-01,990.00270
2020-08-01,960.18212
2020-09-01,963.84493
2020-10-01,964.99987
2020-11-01,959.91493
2020-12-01,933.53747
2021-01-01,933.34129
2021-02-01,939.04339
2021-03-01,954.62693
2021-04-01,949.59281
2021-05-01,934.72431
2021-06-01,942.75561
2021-07-01,960.55670
2021-08-01,965.24666
2021-09-01,965.03343
2021-10-01,979.09753
2021-11-01,995.84136
2021-12-01,1005.03274
2022-01-01,1003.38002
2022-02-01,1001.24617
2022-03-01,1030.55837
2022-04-01,1051.63022
2022-05-01,1073.74713
2022-06-01,1075.07503
2022-07-01,1115.66526
2022-08-01,1121.15047
2022-09-01,1147.68007
2022-10-01,1154.31442
2022-11-01,1113.22199
2022-12-01,1072.85964
2023-01-01,1054.64758
2023-02-01,1061.12049
2023-03-01,1060.47771
2023-04-01,1035.93963
2023-05-01,1046.24966
2023-06-01,1047.72881
2023-07-01,1027.41696
2023-08-01,1041.21200
2023-09-01,1064.00918
2023-10-01,1075.67392
2023-11-01,1050.24623
2023-12-01,1040.78355
