DATE,CCUSMA02ITM618N
1960-01-01,0.320780676248664
1960-02-01,0.320780676248664
1960-03-01,0.320780676248664
1960-04-01,0.320581323885615
1960-05-01,0.320581323885615
1960-06-01,0.320581323885615
1960-07-01,0.320581323885615
1960-08-01,0.320581323885615
1960-09-01,0.320581323885615
1960-10-01,0.320581323885615
1960-11-01,0.320780676248664
1960-12-01,0.320780676248664
1961-01-01,0.320780676248664
1961-02-01,0.321379766251607
1961-03-01,0.321379766251607
1961-04-01,0.320980028611712
1961-05-01,0.320581323885615
1961-06-01,0.320581323885615
1961-07-01,0.320581323885615
1961-08-01,0.320581323885615
1961-09-01,0.320581323885615
1961-10-01,0.320581323885615
1961-11-01,0.320581323885615
1961-12-01,0.320581323885615
1962-01-01,0.320581323885615
1962-02-01,0.320780676248664
1962-03-01,0.320780676248664
1962-04-01,0.320581323885615
1962-05-01,0.320581323885615
1962-06-01,0.320581323885615
1962-07-01,0.320581323885615
1962-08-01,0.320581323885615
1962-09-01,0.320581323885615
1962-10-01,0.320581323885615
1962-11-01,0.320780676248664
1962-12-01,0.320581323885615
1963-01-01,0.320780676248664
1963-02-01,0.320780676248664
1963-03-01,0.320780676248664
1963-04-01,0.320780676248664
1963-05-01,0.320780676248664
1963-06-01,0.32117989743166
1963-07-01,0.320980028611712
1963-08-01,0.320780676248664
1963-09-01,0.32117989743166
1963-10-01,0.321579635071555
1963-11-01,0.321379766251607
1963-12-01,0.321379766251607
1964-01-01,0.321379766251607
1964-02-01,0.321579635071555
1964-03-01,0.322181307358994
1964-04-01,0.322785561930929
1964-05-01,0.322785561930929
1964-06-01,0.322785561930929
1964-07-01,0.322785561930929
1964-08-01,0.322785561930929
1964-09-01,0.322785561930929
1964-10-01,0.322785561930929
1964-11-01,0.322785561930929
1964-12-01,0.322785561930929
1965-01-01,0.322785561930929
1965-02-01,0.322785561930929
1965-03-01,0.322785561930929
1965-04-01,0.322785561930929
1965-05-01,0.322785561930929
1965-06-01,0.322785561930929
1965-07-01,0.322584143740284
1965-08-01,0.322584143740284
1965-09-01,0.322584143740284
1965-10-01,0.322785561930929
1965-11-01,0.322785561930929
1965-12-01,0.322785561930929
1966-01-01,0.3227452782928
1966-02-01,0.322725136473736
1966-03-01,0.322725136473736
1966-04-01,0.32256400192122
1966-05-01,0.322584143740284
1966-06-01,0.322443151006833
1966-07-01,0.322221590997123
1966-08-01,0.322000547444313
1966-09-01,0.322201449178059
1966-10-01,0.322725136473736
1966-11-01,0.322725136473736
1966-12-01,0.32256400192122
1967-01-01,0.322866129207187
1967-02-01,0.32292707112128
1967-03-01,0.322664711016542
1967-04-01,0.322604285559349
1967-05-01,0.322624427378413
1967-06-01,0.322644569197478
1967-07-01,0.322382725549639
1967-08-01,0.321960780263083
1967-09-01,0.321800162167466
1967-10-01,0.321559493252491
1967-11-01,0.32159977689062
1967-12-01,0.322402867368704
1968-01-01,0.322704994654671
1968-02-01,0.322704994654671
1968-03-01,0.322322300092446
1968-04-01,0.32256400192122
1968-05-01,0.32159977689062
1968-06-01,0.321820303986531
1968-07-01,0.321419533432837
1968-08-01,0.320980028611712
1968-09-01,0.321399391613773
1968-10-01,0.321679827709978
1968-11-01,0.322040831082442
1968-12-01,0.322261874635252
1969-01-01,0.32234244191151
1969-02-01,0.323230231321045
1969-03-01,0.324591095250146
1969-04-01,0.323858242910338
1969-05-01,0.324427894870034
1969-06-01,0.323878901186302
1969-07-01,0.324285352765885
1969-08-01,0.32450949506009
1969-09-01,0.325122529399309
1969-10-01,0.324346294679978
1969-11-01,0.323371740511396
1969-12-01,0.323838101091273
1970-01-01,0.325020270933289
1970-02-01,0.325101871123345
1970-03-01,0.324877212372241
1970-04-01,0.32491801246727
1970-05-01,0.324877212372241
1970-06-01,0.324877212372241
1970-07-01,0.324958812562298
1970-08-01,0.324244552670857
1970-09-01,0.322684852835607
1970-10-01,0.321739736710273
1970-11-01,0.321499584252196
1970-12-01,0.322000547444313
1971-01-01,0.321880212986825
1971-02-01,0.322060972901506
1971-03-01,0.321519726071261
1971-04-01,0.321379766251607
1971-05-01,0.32159977689062
1971-06-01,0.322604285559349
1971-07-01,0.321820303986531
1971-08-01,0.319649119182759
1971-09-01,0.316844758220703
1971-10-01,0.316262711295429
1971-11-01,0.316456382632587
1971-12-01,0.310184530050045
1972-01-01,0.30505404721449
1972-02-01,0.303084797058262
1972-03-01,0.300965774401297
1972-04-01,0.301316965092678
1972-05-01,0.300615100166816
1972-06-01,0.300265458846132
1972-07-01,0.299916850439247
1972-08-01,0.300265458846132
1972-09-01,0.300265458846132
1972-10-01,0.300265458846132
1972-11-01,0.301845300500447
1972-12-01,0.300615100166816
1973-01-01,0.302196439546138
1973-02-01,0.297143735119586
1973-03-01,0.293082937813425
1973-04-01,0.304538416646439
1973-05-01,0.30421423665088
1973-06-01,0.30788970546463
1973-07-01,0.299545931094321
1973-08-01,0.296223977027997
1973-09-01,0.291472780139134
1973-10-01,0.292051676677323
1973-11-01,0.305140347162328
1973-12-01,0.313375717229519
1974-01-01,0.33298951076038
1974-02-01,0.337445191011584
1974-03-01,0.328724196522179
1974-04-01,0.327911396654392
1974-05-01,0.325987594705284
1974-06-01,0.335313515160592
1974-07-01,0.332492679223455
1974-08-01,0.338097682657894
1974-09-01,0.341728477949873
1974-10-01,0.344380174252558
1974-11-01,0.343860102155175
1974-12-01,0.341430224090648
1975-01-01,0.333020394882945
1975-02-01,0.329320032846659
1975-03-01,0.325924896837734
1975-04-01,0.327159022243799
1975-05-01,0.323787385023783
