DATE,CCUSMA02FIM618N
1960-01-01,0.538201364676835
1960-02-01,0.538201364676835
1960-03-01,0.538201364676835
1960-04-01,0.538201364676835
1960-05-01,0.538201364676835
1960-06-01,0.538201364676835
1960-07-01,0.538201364676835
1960-08-01,0.538201364676835
1960-09-01,0.538201364676835
1960-10-01,0.538201364676835
1960-11-01,0.538201364676835
1960-12-01,0.538201364676835
1961-01-01,0.538201364676835
1961-02-01,0.538201364676835
1961-03-01,0.538201364676835
1961-04-01,0.538201364676835
1961-05-01,0.538201364676835
1961-06-01,0.538201364676835
1961-07-01,0.538201364676835
1961-08-01,0.538201364676835
1961-09-01,0.538201364676835
1961-10-01,0.538201364676835
1961-11-01,0.538201364676835
1961-12-01,0.538201364676835
1962-01-01,0.538201364676835
1962-02-01,0.538201364676835
1962-03-01,0.538201364676835
1962-04-01,0.538201364676835
1962-05-01,0.538201364676835
1962-06-01,0.538201364676835
1962-07-01,0.538201364676835
1962-08-01,0.538201364676835
1962-09-01,0.538201364676835
1962-10-01,0.538201364676835
1962-11-01,0.538201364676835
1962-12-01,0.538201364676835
1963-01-01,0.541563441326801
1963-02-01,0.541546622534155
1963-03-01,0.541546622534155
1963-04-01,0.541580260119447
1963-05-01,0.541546622534155
1963-06-01,0.541546622534155
1963-07-01,0.541546622534155
1963-08-01,0.541563441326801
1963-09-01,0.541546622534155
1963-10-01,0.541546622534155
1963-11-01,0.541546622534155
1963-12-01,0.541511303069598
1964-01-01,0.541440664140484
1964-02-01,0.541354888297989
1964-03-01,0.541196791647115
1964-04-01,0.541196791647115
1964-05-01,0.541388525883281
1964-06-01,0.541440664140484
1964-07-01,0.541440664140484
1964-08-01,0.541511303069598
1964-09-01,0.541563441326801
1964-10-01,0.541598760791358
1964-11-01,0.541215292319026
1964-12-01,0.541075696340062
1965-01-01,0.541163154061822
1965-02-01,0.541127834597266
1965-03-01,0.541144653389912
1965-04-01,0.541127834597266
1965-05-01,0.540831823846693
1965-06-01,0.541459164812395
1965-07-01,0.541475983605041
1965-08-01,0.541475983605041
1965-09-01,0.541494484276952
1965-10-01,0.541511303069598
1965-11-01,0.541475983605041
1965-12-01,0.541475983605041
1966-01-01,0.541494484276952
1966-02-01,0.541511303069598
1966-03-01,0.541511303069598
1966-04-01,0.541423845347838
1966-05-01,0.541494484276952
1966-06-01,0.541459164812395
1966-07-01,0.541440664140484
1966-08-01,0.541459164812395
1966-09-01,0.541440664140484
1966-10-01,0.541459164812395
1966-11-01,0.541459164812395
1966-12-01,0.541459164812395
1967-01-01,0.541459164812395
1967-02-01,0.541459164812395
1967-03-01,0.541459164812395
1967-04-01,0.541440664140484
1967-05-01,0.541459164812395
1967-06-01,0.541459164812395
1967-07-01,0.541459164812395
1967-08-01,0.541459164812395
1967-09-01,0.541459164812395
1967-10-01,0.63057858328582
1967-11-01,0.709235030854075
1967-12-01,0.709174483200549
1968-01-01,0.708308315379272
1968-02-01,0.70777179589386
1968-03-01,0.70777179589386
1968-04-01,0.70777179589386
1968-05-01,0.70777179589386
1968-06-01,0.70777179589386
1968-07-01,0.70777179589386
1968-08-01,0.70777179589386
1968-09-01,0.70777179589386
1968-10-01,0.70777179589386
1968-11-01,0.707951756975174
1968-12-01,0.70777179589386
1969-01-01,0.70777179589386
1969-02-01,0.707504377090786
1969-03-01,0.707117544859925
1969-04-01,0.707117544859925
1969-05-01,0.707117544859925
1969-06-01,0.707117544859925
1969-07-01,0.707534650917549
1969-08-01,0.707117544859925
1969-09-01,0.707117544859925
1969-10-01,0.707474103264023
1969-11-01,0.708219175778248
1969-12-01,0.708219175778248
1970-01-01,0.708222539536777
1970-02-01,0.708222539536777
1970-03-01,0.708222539536777
1970-04-01,0.708222539536777
1970-05-01,0.708222539536777
1970-06-01,0.708222539536777
1970-07-01,0.708222539536777
1970-08-01,0.708222539536777
1970-09-01,0.708222539536777
1970-10-01,0.708693465730869
1970-11-01,0.707499331452992
1970-12-01,0.7089962039985
1971-01-01,0.7089962039985
1971-02-01,0.7089962039985
1971-03-01,0.7089962039985
1971-04-01,0.708844834864684
1971-05-01,0.708609371767638
1971-06-01,0.708609371767638
1971-07-01,0.708609371767638
1971-08-01,0.708609371767638
1971-09-01,0.705783814603085
1971-10-01,0.706675210613331
1971-11-01,0.7074656938677
1971-12-01,0.705127881689885
1972-01-01,0.698534914972594
1972-02-01,0.697912619644686
1972-03-01,0.697273505524132
1972-04-01,0.698215357912317
1972-05-01,0.69833308946084
1972-06-01,0.696836216915332
1972-07-01,0.699762686835763
1972-08-01,0.700199975444563
1972-09-01,0.700351344578378
1972-10-01,0.713806378695299
1972-11-01,0.700132700273978
1972-12-01,0.700788633187178
1973-01-01,0.701427747307732
1973-02-01,0.682102954557304
1973-03-01,0.654923785641124
1973-04-01,0.649592228372294
1973-05-01,0.651627302282478
1973-06-01,0.630082428902759
1973-07-01,0.608857112583316
1973-08-01,0.608806656205378
1973-09-01,0.622295327907591
1973-10-01,0.622009408432606
1973-11-01,0.63060381147479
1973-12-01,0.644361583859341
1974-01-01,0.66831154458746
1974-02-01,0.658842564327677
1974-03-01,0.64156966428008
1974-04-01,0.629308764441036
1974-05-01,0.619318401609222
1974-06-01,0.615365985337376
1974-07-01,0.617871985441653
1974-08-01,0.629863784598359
1974-09-01,0.639433677614019
1974-10-01,0.638357274884665
1974-11-01,0.627223234152913
1974-12-01,0.609832602556793
1975-01-01,0.595301165710518
1975-02-01,0.586219017681597
1975-03-01,0.58904457484615
1975-04-01,0.598917206129441
1975-05-01,0.596461662403103
