DATE,CCUSMA02ATM618N
1960-01-01,1.89011140745478
1960-02-01,1.89158666598839
1960-03-01,1.8916375369723
1960-04-01,1.89217531594515
1960-05-01,1.89222618692906
1960-06-01,1.89123783638438
1960-07-01,1.88917392789401
1960-08-01,1.88403595851835
1960-09-01,1.88227727593148
1960-10-01,1.88716815767098
1960-11-01,1.89094714504771
1960-12-01,1.89208084126073
1961-01-01,1.89296744983758
1961-02-01,1.89489327994302
1961-03-01,1.89676823906456
1961-04-01,1.89716793965248
1961-05-01,1.89706619768464
1961-06-01,1.89410114605059
1961-07-01,1.88495890351228
1961-08-01,1.883105746241
1961-09-01,1.88105637231746
1961-10-01,1.87979186500294
1961-11-01,1.8803805149597
1961-12-01,1.87926135331352
1962-01-01,1.8804241186602
1962-02-01,1.88062033531246
1962-03-01,1.87984273598686
1962-04-01,1.87833840831959
1962-05-01,1.87794597501508
1962-06-01,1.87785150033066
1962-07-01,1.87785150033066
1962-08-01,1.87785150033066
1962-09-01,1.87785150033066
1962-10-01,1.87780062934674
1962-11-01,1.87882531630851
1962-12-01,1.87814219166733
1963-01-01,1.87814219166733
1963-02-01,1.87901426567735
1963-03-01,1.87877444532459
1963-04-01,1.87901426567735
1963-05-01,1.87897066197685
1963-06-01,1.87775702564624
1963-07-01,1.87692855533673
1963-08-01,1.87727011765732
1963-09-01,1.87756080899399
1963-10-01,1.87852735768842
1963-11-01,1.87984273598686
1963-12-01,1.87833840831959
1964-01-01,1.87775702564624
1964-02-01,1.87877444532459
1964-03-01,1.87906513666126
1964-04-01,1.87848375398792
1964-05-01,1.87852735768842
1964-06-01,1.87814219166733
1964-07-01,1.87736459234174
1964-08-01,1.87663786400006
1964-09-01,1.87727011765732
1964-10-01,1.87790237131458
1964-11-01,1.87819306265125
1964-12-01,1.87750993801007
1965-01-01,1.877996845999
1965-02-01,1.87877444532459
1965-03-01,1.87814219166733
1965-04-01,1.87785150033066
1965-05-01,1.87780062934674
1965-06-01,1.8772192466734
1965-07-01,1.87658699301614
1965-08-01,1.87668873498398
1965-09-01,1.87683408065231
1965-10-01,1.87750993801007
1965-11-01,1.87785150033066
1965-12-01,1.87882531630851
1966-01-01,1.87915961134568
1966-02-01,1.87935582799794
1966-03-01,1.87901426567735
1966-04-01,1.87897066197685
1966-05-01,1.87877444532459
1966-06-01,1.87814219166733
1966-07-01,1.87761167997791
1966-08-01,1.87697942632065
1966-09-01,1.87687768435281
1966-10-01,1.87785150033066
1966-11-01,1.87940669898185
1966-12-01,1.88023516929137
1967-01-01,1.8803805149597
1967-02-01,1.88013342732353
1967-03-01,1.87886892000901
1967-04-01,1.87886892000901
1967-05-01,1.87852735768842
1967-06-01,1.87794597501508
1967-07-01,1.87716837568948
1967-08-01,1.87649251833172
1967-09-01,1.87687768435281
1967-10-01,1.87819306265125
1967-11-01,1.8799880816552
1967-12-01,1.87804771698291
1968-01-01,1.8803805149597
1968-02-01,1.88052586062804
1968-03-01,1.88101276861696
1968-04-01,1.88003895263911
1968-05-01,1.87930495701402
1968-06-01,1.87867270335676
1968-07-01,1.87756080899399
1968-08-01,1.87775702564624
1968-09-01,1.87775702564624
1968-10-01,1.87756080899399
1968-11-01,1.87960291563411
1968-12-01,1.87877444532459
1969-01-01,1.87930495701402
1969-02-01,1.88027877299187
1969-03-01,1.87926135331352
1969-04-01,1.87935582799794
1969-05-01,1.88047498964412
1969-06-01,1.8804241186602
1969-07-01,1.87960291563411
1969-08-01,1.87940669898185
1969-09-01,1.88091102664913
1969-10-01,1.88056946432854
1969-11-01,1.88168862597472
1969-12-01,1.88018429830745
1970-01-01,1.88032964397579
1970-02-01,1.87964651933461
1970-03-01,1.87964651933461
1970-04-01,1.88023516929137
1970-05-01,1.88203018829531
1970-06-01,1.88184123892648
1970-07-01,1.87930495701402
1970-08-01,1.88086742294863
1970-09-01,1.87862909965626
1970-10-01,1.87794597501508
1970-11-01,1.87901426567735
1970-12-01,1.87877444532459
1971-01-01,1.87955204465019
1971-02-01,1.88023516929137
1971-03-01,1.87930495701402
1971-04-01,1.87804771698291
1971-05-01,1.79879799132286
1971-06-01,1.79879799132286
1971-07-01,1.79879799132286
1971-08-01,1.79879799132286
1971-09-01,1.77118231433908
1971-10-01,1.75831922269137
1971-11-01,1.75831922269137
1971-12-01,1.72663386699418
1972-01-01,1.7035239057288
1972-02-01,1.68382956766931
1972-03-01,1.67561753740834
1972-04-01,1.68026859879508
1972-05-01,1.6791058334484
1972-06-01,1.67176587719744
1972-07-01,1.66340850126814
1972-08-01,1.67140251302661
1972-09-01,1.67561753740834
1972-10-01,1.68535569718683
1972-11-01,1.68615509836268
1972-12-01,1.68223076531762
1973-01-01,1.68074823950059
1973-02-01,1.59391873723683
1973-03-01,1.49469851674745
1973-04-01,1.5037244827511
1973-05-01,1.47953169625662
1973-06-01,1.38270241201137
1973-07-01,1.25185497409213
1973-08-01,1.29913592000174
1973-09-01,1.30538578374018
1973-10-01,1.29662870722295
1973-11-01,1.37781153027187
1973-12-01,1.42126988510425
1974-01-01,1.50183498906274
1974-02-01,1.45102214341257
1974-03-01,1.40682252567168
1974-04-01,1.36147467715093
1974-05-01,1.30321286599856
1974-06-01,1.31832154822206
1974-07-01,1.32097410666919
1974-08-01,1.34831362688313
1974-09-01,1.37069685980684
1974-10-01,1.34298670813863
1974-11-01,1.30560380224268
1974-12-01,1.27053915975669
1975-01-01,1.22205911208331
1975-02-01,1.20271360362783
1975-03-01,1.1971613990974
1975-04-01,1.22344716321592
1975-05-01,1.20987187779336
