DATE,CCUSMA02DEM618N
1960-01-01,2.13260354938824
1960-02-01,2.13242459722982
1960-03-01,2.13233767761002
1960-04-01,2.13233767761002
1960-05-01,2.13233767761002
1960-06-01,2.1321587254516
1960-07-01,2.13225075799021
1960-08-01,2.13233767761002
1960-09-01,2.13233767761002
1960-10-01,2.1332273254833
1960-11-01,2.13278250154666
1960-12-01,2.13278250154666
1961-01-01,2.1332273254833
1961-02-01,2.13340627764172
1961-03-01,2.04353139076505
1961-04-01,2.03014576931533
1961-05-01,2.03022757601632
1961-06-01,2.03167964495892
1961-07-01,2.03482920294709
1961-08-01,2.04140952945808
1961-09-01,2.04361319746604
1961-10-01,2.04385861756901
1961-11-01,2.04623101189776
1961-12-01,2.04484029798091
1962-01-01,2.04288205007593
1962-02-01,2.04426765107397
1962-03-01,2.04418584437298
1962-04-01,2.04467668457893
1962-05-01,2.04443126447595
1962-06-01,2.04198217636502
1962-07-01,2.03832132649566
1962-08-01,2.04353139076505
1962-09-01,2.04549475158884
1962-10-01,2.04819948564037
1962-11-01,2.04951350577504
1962-12-01,2.04263662997295
1963-01-01,2.04795406553739
1963-02-01,2.04639462529974
1963-03-01,2.04328597066207
1963-04-01,2.04149133615907
1963-05-01,2.03783048628971
1963-06-01,2.03531493023422
1963-07-01,2.03629149772731
1963-08-01,2.03694083841643
1963-09-01,2.03531493023422
1963-10-01,2.0340213617748
1963-11-01,2.03264598661438
1963-12-01,2.0317563387411
1964-01-01,2.03313171390151
1964-02-01,2.03143422485594
1964-03-01,2.03191995214308
1964-04-01,2.03216025932724
1964-05-01,2.03224206602823
1964-06-01,2.0317563387411
1964-07-01,2.03224206602823
1964-08-01,2.03280960001636
1964-09-01,2.03264598661438
1964-10-01,2.03232387272923
1964-11-01,2.03313171390151
1964-12-01,2.03304990720052
1965-01-01,2.03418497517678
1965-02-01,2.0340213617748
1965-03-01,2.03345382778667
1965-04-01,2.03304990720052
1965-05-01,2.03726295230158
1965-06-01,2.0449221046819
1965-07-01,2.04844490574334
1965-08-01,2.05148709243646
1965-09-01,2.05058210580674
1965-10-01,2.04779045213541
1965-11-01,2.04541294488785
1965-12-01,2.04582197839281
1966-01-01,2.05124167233348
1966-02-01,2.05305164559292
1966-03-01,2.05222846566419
1966-04-01,2.0532152589949
1966-05-01,2.05387482552165
1966-06-01,2.04819948564037
1966-07-01,2.04140952945808
1966-08-01,2.04059657536698
1966-09-01,2.0395382011729
1966-10-01,2.03629149772731
1966-11-01,2.03296810049953
1966-12-01,2.03143422485594
1967-01-01,2.03377594167182
1967-02-01,2.03151603155694
1967-03-01,2.0317563387411
1967-04-01,2.03159783825793
1967-05-01,2.03321352060251
1967-06-01,2.03523312353323
1967-07-01,2.04549475158884
1967-08-01,2.04639462529974
1967-09-01,2.04614920519677
1967-10-01,2.04729449901065
1967-11-01,2.03929278106993
1967-12-01,2.03750837240455
1968-01-01,2.04729449901065
1968-02-01,2.04623101189776
1968-03-01,2.03970181457489
1968-04-01,2.03759017910555
1968-05-01,2.03547854363621
1968-06-01,2.04255482327196
1968-07-01,2.04967711917702
1968-08-01,2.05181431924042
1968-09-01,2.03167964495892
1968-10-01,2.03539673693521
1968-11-01,2.03272779331537
1968-12-01,2.04255482327196
1969-01-01,2.04696727220668
1969-02-01,2.05494853847216
1969-03-01,2.05511215187414
1969-04-01,2.05132347903448
1969-05-01,2.03986542797687
1969-06-01,2.04582197839281
1969-07-01,2.04500391138289
1969-08-01,2.03839802027784
1969-09-01,2.02604009550932
1969-10-01,1.90773226711933
1969-11-01,1.88661591242593
1969-12-01,1.88452984155065
1970-01-01,1.88487752002986
1970-02-01,1.88600236216849
1970-03-01,1.87802620882183
1970-04-01,1.86202277294039
1970-05-01,1.85767679195022
1970-06-01,1.8573700168215
1970-07-01,1.85675646656407
1970-08-01,1.85675646656407
1970-09-01,1.85675646656407
1970-10-01,1.85716550006902
1970-11-01,1.85629630387099
1970-12-01,1.86350551939586
1971-01-01,1.85951744272253
1971-02-01,1.8529217774551
1971-03-01,1.85665420818783
1971-04-01,1.85818808383142
1971-05-01,1.8167223122664
1971-06-01,1.79565708676112
1971-07-01,1.78031833032523
1971-08-01,1.74657306616628
1971-09-01,1.71845201270049
1971-10-01,1.70055679685862
1971-11-01,1.7031132562646
1971-12-01,1.67192445151163
1972-01-01,1.65249536002618
1972-02-01,1.62948722537235
1972-03-01,1.62079526339201
1972-04-01,1.62488559844158
1972-05-01,1.62590818220398
1972-06-01,1.6218178471544
1972-07-01,1.61619363646125
1972-08-01,1.62897593349115
1972-09-01,1.63255497665953
1972-10-01,1.63971306299627
1972-11-01,1.63817918735268
1972-12-01,1.63511143606551
1973-01-01,1.63439562743183
1973-02-01,1.54088034236104
1973-03-01,1.43780389911189
1973-04-01,1.45022829182495
1973-05-01,1.42619757340873
1973-06-01,1.31831498647633
1973-07-01,1.19217927938522
1973-08-01,1.24013845784143
1973-09-01,1.23962716596023
1973-10-01,1.23374730932648
1973-11-01,1.31785482378325
1973-12-01,1.36013866235818
1974-01-01,1.43494066457719
1974-02-01,1.38739051962594
1974-03-01,1.33774407796179
1974-04-01,1.29075635407985
1974-05-01,1.25885174069321
1974-06-01,1.29065409570361
1974-07-01,1.30502139756523
1974-08-01,1.33845988659546
1974-09-01,1.36054769586314
1974-10-01,1.32531968524872
1974-11-01,1.28554117689165
1974-12-01,1.25358543431689
1975-01-01,1.21002336603897
1975-02-01,1.19008298267232
1975-03-01,1.18543022655343
1975-04-01,1.21406257190042
1975-05-01,1.20128027487052
