DATE,CCUSMA02NZM618N
1977-04-01,1.03348321571429
1977-05-01,1.03371930714286
1977-06-01,1.03276598463636
1977-07-01,1.02424707542105
1977-08-01,1.02473907886957
1977-09-01,1.02566123019048
1977-10-01,1.01448048431579
1977-11-01,1.00361936709524
1977-12-01,0.990129170095238
1978-01-01,0.974175995142857
1978-02-01,0.973835577666667
1978-03-01,0.970793677304348
1978-04-01,0.97479087425
1978-05-01,0.985074140772727
1978-06-01,0.978670307272727
1978-07-01,0.960509717380952
1978-08-01,0.944233292863636
1978-09-01,0.94411041455
1978-10-01,0.931717719380952
1978-11-01,0.941929411238095
1978-12-01,0.95038827045
1979-01-01,0.941353833227273
1979-02-01,0.948364997
1979-03-01,0.948863630863636
1979-04-01,0.952428590666667
1979-05-01,0.955136350545455
1979-06-01,0.966419046857143
1979-07-01,0.980180950285714
1979-08-01,0.985139131565217
1979-09-01,0.994942106578947
1979-10-01,1.01542728072727
1979-11-01,1.03114761066667
1979-12-01,1.020475012
1980-01-01,1.01324092254545
1980-02-01,1.01994737205263
1980-03-01,1.04626190661905
1980-04-01,1.05457619809524
1980-05-01,1.02681905895238
1980-06-01,1.01250477914286
1980-07-01,1.01307726981818
1980-08-01,1.0228523867619
1980-09-01,1.01643180304545
1980-10-01,1.01940455745455
1980-11-01,1.03322941411765
1980-12-01,1.04746364468182
1981-01-01,1.04107617761905
1981-02-01,1.06821109166667
1981-03-01,1.08410477647619
1981-04-01,1.10642380938095
1981-05-01,1.13343999975
1981-06-01,1.16221428485714
1981-07-01,1.19196818077273
1981-08-01,1.21391426385714
1981-09-01,1.21115238314286
1981-10-01,1.21556191790476
1981-11-01,1.20307997465
1981-12-01,1.20964092004545
1982-01-01,1.2280750036
1982-02-01,1.25871052857895
1982-03-01,1.28580000086957
1982-04-01,1.30554284933333
1982-05-01,1.2983799935
1982-06-01,1.33285001740909
1982-07-01,1.35096363586364
1982-08-01,1.36704091031818
1982-09-01,1.38035236657143
1982-10-01,1.4008300125
1982-11-01,1.40544000865
1982-12-01,1.37594545959091
1983-01-01,1.37021998165
1983-02-01,1.38803685326316
1983-03-01,1.49388183240909
1983-04-01,1.51480953447619
1983-05-01,1.50097728309091
1983-06-01,1.52500910090909
1983-07-01,1.5293199899
1983-08-01,1.53638181359091
1983-09-01,1.53104090677273
1983-10-01,1.5102999986
1983-11-01,1.51767369321053
1983-12-01,1.53764762195238
1984-01-01,1.54223182522727
1984-02-01,1.52327893915789
1984-03-01,1.49639546318182
1984-04-01,1.518175
1984-05-01,1.54001364931818
1984-06-01,1.55797619480952
1984-07-01,1.82117895073684
1984-08-01,2.00658634040909
1984-09-01,2.04161581252632
1984-10-01,2.05656524321739
1984-11-01,2.02854999295
1984-12-01,2.07161000975
1985-01-01,2.12510005614286
1985-02-01,2.20542631663158
1985-03-01,2.21198092185714
1985-04-01,2.19633328357143
1985-05-01,2.21299542086364
1985-06-01,2.1836649657
1985-07-01,2.015934799
1985-08-01,1.86744545790909
1985-09-01,1.87810501455
1985-10-01,1.75317392143478
1985-11-01,1.7553714457619
1985-12-01,1.90154285666667
1986-01-01,1.93710908222727
1986-02-01,1.88565002105
1986-03-01,1.89488949273684
1986-04-01,1.78526817672727
1986-05-01,1.7655190512381
1986-06-01,1.83727143490476
1986-07-01,1.88248636518182
1986-08-01,1.99539521209524
1986-09-01,2.09141429266667
1986-10-01,1.98308262108696
1986-11-01,1.94447500125
1986-12-01,1.95130951652381
1987-01-01,1.8697400152
1987-02-01,1.83157894484211
1987-03-01,1.77485000559091
1987-04-01,1.73107727004545
1987-05-01,1.73554501525
1987-06-01,1.70570910531818
1987-07-01,1.68018261247826
1987-08-01,1.69957619042857
1987-09-01,1.5824904952381
1987-10-01,1.56678181886364
1987-11-01,1.61751499775
1987-12-01,1.54650478128571
1988-01-01,1.52376999255
1988-02-01,1.50825999975
1988-03-01,1.50826521021739
1988-04-01,1.51321904428571
1988-05-01,1.45257270872727
1988-06-01,1.42970907681818
1988-07-01,1.49309997815789
1988-08-01,1.54546956917391
1988-09-01,1.63027272440909
1988-10-01,1.61302856604762
1988-11-01,1.5601099908
1988-12-01,1.57232857319048
1989-01-01,1.601966665
1989-02-01,1.62329474242105
1989-03-01,1.62604547090909
1989-04-01,1.6382400035
1989-05-01,1.64893912221739
1989-06-01,1.74064999277273
1989-07-01,1.73864001035
1989-08-01,1.68972175013043
1989-09-01,1.69159002905
1989-10-01,1.70443637259091
1989-11-01,1.7025952452381
1989-12-01,1.6826349914
1990-01-01,1.66270453281818
1990-02-01,1.69017369494737
1990-03-01,1.71065456213636
1990-04-01,1.72649000885
1990-05-01,1.74322728672727
1990-06-01,1.71669524052381
1990-07-01,1.69007622061905
1990-08-01,1.63233042804348
1990-09-01,1.60988947594737
1990-10-01,1.63711364709091
1990-11-01,1.6386227175
1990-12-01,1.67725790173684
1991-01-01,1.67998181154545
1991-02-01,1.6614050089
1991-03-01,1.6836200058
1991-04-01,1.69779547236364
1991-05-01,1.70534545722727
1991-06-01,1.73416999565
1991-07-01,1.763904539
1991-08-01,1.74236191452381
1991-09-01,1.72510500535
1991-10-01,1.77587392521739
1991-11-01,1.7725449921
1991-12-01,1.80876666604762
1992-01-01,1.84292856280952
1992-02-01,1.84550525010526
1992-03-01,1.82599090454545
1992-04-01,1.84738095033333
1992-05-01,1.8689950049
1992-06-01,1.84450952785714
1992-07-01,1.8309909105
1992-08-01,1.85007618733333
1992-09-01,1.84726191685714
1992-10-01,1.85384285442857
1992-11-01,1.92300477485714
1992-12-01,1.94000454927273
1993-01-01,1.94627501385
1993-02-01,1.93761052589474
1993-03-01,1.88719091640909
1993-04-01,1.85559525371429
1993-05-01,1.84208888472222
1993-06-01,1.85309999640909
1993-07-01,1.82332271872727
1993-08-01,1.81125453940909
1993-09-01,1.81478181209091
1993-10-01,1.80870476228571
1993-11-01,1.82937272568182
1993-12-01,1.79893182636364
1994-01-01,1.77690952166667
1994-02-01,1.7417549907
1994-03-01,1.75176957373913
1994-04-01,1.75773001315
1994-05-01,1.7135363655
1994-06-01,1.69124546922727
1994-07-01,1.66586667585714
1994-08-01,1.66126087965217
1994-09-01,1.65859999557143
1994-10-01,1.64611429252381
1994-11-01,1.61093332647619
1994-12-01,1.56943333147619
1995-01-01,1.56197142028571
1995-02-01,1.57622501255
1995-03-01,1.54866521256522
1995-04-01,1.49811578442105
1995-05-01,1.49790907454545
1995-06-01,1.4918908965
1995-07-01,1.48502499465
1995-08-01,1.52165651834783
1995-09-01,1.52329048085714
1995-10-01,1.51622727240909
1995-11-01,1.52913809952381
1995-12-01,1.53733999725
1996-01-01,1.509690908
1996-02-01,1.48047142357143
1996-03-01,1.467666677
1996-04-01,1.46347619238095
1996-05-01,1.45634544981818
1996-06-01,1.4777349948
1996-07-01,1.45005217321739
1996-08-01,1.45358636363636
1996-09-01,1.43492857142857
1996-10-01,1.4255347826087
1996-11-01,1.40752857142857
1996-12-01,1.41664285714286
1997-01-01,1.42375
1997-02-01,1.445865
1997-03-01,1.4325
1997-04-01,1.44421818181818
1997-05-01,1.447015
1997-06-01,1.45499523809524
1997-07-01,1.51126086956522
1997-08-01,1.554665
1997-09-01,1.5710619047619
1997-10-01,1.5732347826087
1997-11-01,1.60332105263158
1997-12-01,1.688645
1998-01-01,1.72520952380952
1998-02-01,1.71456
1998-03-01,1.74725909090909
1998-04-01,1.80666
1998-05-01,1.858195
1998-06-01,1.95150454545455
1998-07-01,1.92967826086957
1998-08-01,1.99751428571429
1998-09-01,1.98688636363636
1998-10-01,1.91716818181818
1998-11-01,1.87414761904762
1998-12-01,1.91351818181818
1999-01-01,1.8664
1999-02-01,1.83985789473684
1999-03-01,1.88186086956522
1999-04-01,1.840255
1999-05-01,1.81171428571429
1999-06-01,1.87825
1999-07-01,1.90038181818182
1999-08-01,1.89960909090909
1999-09-01,1.91472727272727
1999-10-01,1.94517619047619
1999-11-01,1.9537619047619
1999-12-01,1.96878095238095
2000-01-01,1.94651
2000-02-01,2.0408619047619
2000-03-01,2.04242608695652
2000-04-01,2.017565
2000-05-01,2.13434782608696
2000-06-01,2.12738636363636
2000-07-01,2.17196666666667
