DATE,CBETHUSD
2016-05-27,12.4880000000000000
2016-06-03,13.3342857142857143
2016-06-10,14.2842857142857143
2016-06-17,17.3457142857142857
2016-06-24,13.0328571428571429
2016-07-01,13.1842857142857143
2016-07-08,11.1871428571428571
2016-07-15,11.0600000000000000
2016-07-22,12.2885714285714286
2016-07-29,13.1542857142857143
2016-08-05,11.0557142857142857
2016-08-12,11.6242857142857143
2016-08-19,11.1042857142857143
2016-08-26,11.1771428571428571
2016-09-02,11.4642857142857143
2016-09-09,11.6757142857142857
2016-09-16,12.0128571428571429
2016-09-23,13.3557142857142857
2016-09-30,13.0971428571428571
2016-10-07,13.1400000000000000
2016-10-14,11.9457142857142857
2016-10-21,12.0742857142857143
2016-10-28,11.6171428571428571
2016-11-04,10.9028571428571429
2016-11-11,10.7657142857142857
2016-11-18,9.9714285714285714
2016-11-25,9.5814285714285714
2016-12-02,8.5585714285714286
2016-12-09,7.8328571428571429
2016-12-16,8.1700000000000000
2016-12-23,7.6628571428571429
2016-12-30,7.5642857142857143
2017-01-06,9.4071428571428571
2017-01-13,10.1471428571428571
2017-01-20,10.1471428571428571
2017-01-27,10.6814285714285714
2017-02-03,10.7000000000000000
2017-02-10,11.3400000000000000
2017-02-17,12.3157142857142857
2017-02-24,12.9128571428571429
2017-03-03,16.6814285714285714
2017-03-10,18.6271428571428571
2017-03-17,32.6557142857142857
2017-03-24,42.6871428571428571
2017-03-31,50.8085714285714286
2017-04-07,45.5100000000000000
2017-04-14,45.6528571428571429
2017-04-21,48.6185714285714286
2017-04-28,55.4614285714285714
2017-05-05,82.4800000000000000
2017-05-12,89.6171428571428571
2017-05-19,95.0014285714285714
2017-05-26,163.4042857142857143
2017-06-02,204.5700000000000000
2017-06-09,253.7671428571428571
2017-06-16,358.3214285714285714
2017-06-23,343.2714285714285714
2017-06-30,287.3600000000000000
2017-07-07,266.7500000000000000
2017-07-14,215.0214285714285714
2017-07-21,196.9542857142857143
2017-07-28,212.2328571428571429
2017-08-04,213.1485714285714286
2017-08-11,283.8685714285714286
2017-08-18,297.8385714285714286
2017-08-25,314.2514285714285714
2017-09-01,366.7685714285714286
2017-09-08,332.5385714285714286
2017-09-15,279.8185714285714286
2017-09-22,271.6914285714285714
2017-09-29,293.7828571428571429
2017-10-06,298.3600000000000000
2017-10-13,307.9028571428571429
2017-10-20,321.5357142857142857
2017-10-27,295.4700000000000000
2017-11-03,298.7271428571428571
2017-11-10,302.0914285714285714
2017-11-17,323.9600000000000000
2017-11-24,384.3228571428571429
2017-12-01,459.8057142857142857
2017-12-08,454.2971428571428571
2017-12-15,606.8314285714285714
2017-12-22,761.4314285714285714
2017-12-29,733.3985714285714286
2018-01-05,847.4942857142857143
2018-01-12,1170.8500000000000000
2018-01-19,1171.6285714285714286
2018-01-26,1046.2028571428571429
2018-02-02,1080.8785714285714286
2018-02-09,815.8285714285714286
2018-02-16,878.7557142857142857
2018-02-23,887.3600000000000000
2018-03-02,855.1942857142857143
2018-03-09,794.1957142857142857
2018-03-16,659.5257142857142857
2018-03-23,549.1785714285714286
2018-03-30,457.2985714285714286
2018-04-06,386.1585714285714286
2018-04-13,431.1714285714285714
2018-04-20,537.1700000000000000
2018-04-27,641.8171428571428571
2018-05-04,707.6585714285714286
2018-05-11,749.6157142857142857
2018-05-18,702.4914285714285714
2018-05-25,644.4414285714285714
2018-06-01,563.8485714285714286
2018-06-08,602.3600000000000000
2018-06-15,518.2414285714285714
2018-06-22,510.4671428571428571
2018-06-29,444.7800000000000000
2018-07-06,463.7514285714285714
2018-07-13,455.0371428571428571
2018-07-20,465.1628571428571429
2018-07-27,463.9600000000000000
2018-08-03,438.7214285714285714
2018-08-10,378.5114285714285714
2018-08-17,297.8714285714285714
2018-08-24,282.3685714285714286
2018-08-31,284.4371428571428571
2018-09-07,262.2185714285714286
2018-09-14,197.0257142857142857
2018-09-21,218.3328571428571429
2018-09-28,228.0114285714285714
2018-10-05,226.4900000000000000
2018-10-12,215.5042857142857143
2018-10-19,200.1371428571428571
2018-10-26,201.1728571428571429
2018-11-02,198.3157142857142857
2018-11-09,210.1114285714285714
2018-11-16,194.4600000000000000
2018-11-23,142.9342857142857143
2018-11-30,112.8685714285714286
2018-12-07,104.2428571428571429
2018-12-14,88.0585714285714286
2018-12-21,97.5942857142857143
2018-12-28,127.9328571428571429
2019-01-04,142.4542857142857143
2019-01-11,144.4942857142857143
2019-01-18,121.8200000000000000
2019-01-25,117.4914285714285714
2019-02-01,107.8757142857142857
