DATE,CCUSMA02NLM618N
1960-01-01,1.71224888937292
1960-02-01,1.71160452146607
1960-03-01,1.71166805069633
1960-04-01,1.7113458667429
1960-05-01,1.71115074124998
1960-06-01,1.71115074124998
1960-07-01,1.71166805069633
1960-08-01,1.71160452146607
1960-09-01,1.71121427048024
1960-10-01,1.71121427048024
1960-11-01,1.71289325727977
1960-12-01,1.71128233751265
1961-01-01,1.71244401486584
1961-02-01,1.71886500492352
1961-03-01,1.6452028624456
1961-04-01,1.63113113794465
1961-05-01,1.6307771893761
1961-06-01,1.63065920651991
1961-07-01,1.63071819794801
1961-08-01,1.63400810451466
1961-09-01,1.63961682798553
1961-10-01,1.63636322383617
1961-11-01,1.63430306165512
1961-12-01,1.63430306165512
1962-01-01,1.63642221526426
1962-02-01,1.64228505565614
1962-03-01,1.63896338447436
1962-04-01,1.63394911308657
1962-05-01,1.63107214651656
1962-06-01,1.63195248013577
1962-07-01,1.63107214651656
1962-08-01,1.63571431812716
1962-09-01,1.63494742956197
1962-10-01,1.63536036955861
1962-11-01,1.63536036955861
1962-12-01,1.63353617308993
1963-01-01,1.63394911308657
1963-02-01,1.63389012165848
1963-03-01,1.63183449727959
1963-04-01,1.63065920651991
1963-05-01,1.63142155728295
1963-06-01,1.63347718166183
1963-07-01,1.63494742956197
1963-08-01,1.63748859877207
1963-09-01,1.63695313811708
1963-10-01,1.63530137813052
1963-11-01,1.63436205308321
1963-12-01,1.63436205308321
1964-01-01,1.63506541241815
1964-02-01,1.63624524097998
1964-03-01,1.63636322383617
1964-04-01,1.63754759020016
1964-05-01,1.63932187084507
1964-06-01,1.64252555917067
1964-07-01,1.64074220292144
1964-08-01,1.63973481084172
1964-09-01,1.63748859877207
1964-10-01,1.63394911308657
1964-11-01,1.63089517223228
1964-12-01,1.6304867700378
1965-01-01,1.63071819794801
1965-02-01,1.63083618080419
1965-03-01,1.63347718166183
1965-04-01,1.63347718166183
1965-05-01,1.63418507879893
1965-06-01,1.6361272581238
1965-07-01,1.63459801879558
1965-08-01,1.63283281375499
1965-09-01,1.63341819023374
1965-10-01,1.63394911308657
1965-11-01,1.63488843813387
1965-12-01,1.63677616383281
1966-01-01,1.64062422006525
1966-02-01,1.64395042904919
1966-03-01,1.64306101982566
1966-04-01,1.64783478769893
1966-05-01,1.64729478924178
1966-06-01,1.6414546378607
1966-07-01,1.63707112097327
1966-08-01,1.63855044447772
1966-09-01,1.64252555917067
1966-10-01,1.64264354202685
1966-11-01,1.64169060357307
1966-12-01,1.64163161214497
1967-01-01,1.63943985370126
1967-02-01,1.63855044447772
1967-03-01,1.63926287941698
1967-04-01,1.63920388798889
1967-05-01,1.63589129241143
1967-06-01,1.63488843813387
1967-07-01,1.62843568346107
1967-08-01,1.63247886518644
1967-09-01,1.63236088233025
1967-10-01,1.6317755058515
1967-11-01,1.63201147156386
1967-12-01,1.63206592518979
1968-01-01,1.6354193609867
1968-02-01,1.63707112097327
1968-03-01,1.63654019812044
1968-04-01,1.64222606422805
1968-05-01,1.64204908994378
1968-06-01,1.64293849916731
1968-07-01,1.6434739598223
1968-08-01,1.64616033870155
1968-09-01,1.64986772306701
1968-10-01,1.65107024063965
1968-11-01,1.64675479078463
1968-12-01,1.63760658162825
1969-01-01,1.64199009851568
1969-02-01,1.64526185387369
1969-03-01,1.64621933012964
1969-04-01,1.64891024681106
1969-05-01,1.65209124612585
1969-06-01,1.65468233115973
1969-07-01,1.65197326326967
1969-08-01,1.64204908994378
1969-09-01,1.64062422006525
1969-10-01,1.63206592518979
1969-11-01,1.63536036955861
1969-12-01,1.64282051631113
1970-01-01,1.64881041516352
1970-02-01,1.65094318217914
1970-03-01,1.64862890307708
1970-04-01,1.64812974483938
1970-05-01,1.64622386793181
1970-06-01,1.64486252728354
1970-07-01,1.63855498227988
1970-08-01,1.63379029001094
1970-09-01,1.63320037573002
1970-10-01,1.63342726583806
1970-11-01,1.63270121749232
1970-12-01,1.63447096033507
1971-01-01,1.631112986736
1971-02-01,1.63147601090888
1971-03-01,1.63138525486566
1971-04-01,1.63369953396772
1971-05-01,1.62181049230616
1971-06-01,1.61727269014526
1971-07-01,1.61545756928089
1971-08-01,1.58233161350631
1971-09-01,1.54965943794782
1971-10-01,1.52379396563069
1971-11-01,1.51199568001234
1971-12-01,1.48839910877566
1972-01-01,1.45935717494589
1972-02-01,1.44211352673446
1972-03-01,1.444836208031
1972-04-01,1.45663449364935
1972-05-01,1.45754205408153
1972-06-01,1.45118913105626
1972-07-01,1.44392864759882
1972-08-01,1.45572693321717
1972-09-01,1.46480253753897
1972-10-01,1.46979411991596
1972-11-01,1.46571009797115
1972-12-01,1.46525631775506
1973-01-01,1.4604462474645
1973-02-01,1.37831202835219
1973-03-01,1.30207695204904
1973-04-01,1.33896928361717
1973-05-01,1.31378448162417
1973-06-01,1.23895612399091
1973-07-01,1.17134287179348
1973-08-01,1.20524025393541
1973-09-01,1.18041847611528
1973-10-01,1.1342236501173
1973-11-01,1.21758307581306
1973-12-01,1.27385182260824
1974-01-01,1.33170880015973
1974-02-01,1.28310893901648
1974-03-01,1.24916617885293
1974-04-01,1.21372594397629
1974-05-01,1.17896637942379
1974-06-01,1.20210917044439
1974-07-01,1.19530246720303
1974-08-01,1.21168393300389
1974-09-01,1.23065194603646
1974-10-01,1.20583016821633
1974-11-01,1.18096301237459
1974-12-01,1.15509754005745
1975-01-01,1.11752453816518
1975-02-01,1.09315654056114
1975-03-01,1.07727423299799
1975-04-01,1.09960021962962
1975-05-01,1.09143217574
