Symbol,Name,Country;
ADBE,Adobe Inc. Common Stock,United States;
ADC,Agree Realty Corporation Common Stock,United States;
ADCT,ADC Therapeutics SA Common Shares,;
ADC^A,Agree Realty Corporation Depositary Shares each representing 1/1000th of a 4.250% Series A Cumulative Redeemable Preferred Stock,United States;
ADD,Color Star Technology Co. Ltd. Class A Ordinary Shares,United States;
ADEA,Adeia Inc. Common Stock,United States;
ADES,Advanced Emissions Solutions Inc. Common Stock,United States;
ADI,Analog Devices Inc. Common Stock,United States;
ADIL,Adial Pharmaceuticals Inc Common Stock,United States;
ADM,Archer-Daniels-Midland Company Common Stock,United States;
ADMA,ADMA Biologics Inc Common Stock,United States;
ADN,Advent Technologies Holdings Inc. Class A Common Stock,United States;
ADNT,Adient plc Ordinary Shares ,United States;
ADNWW,Advent Technologies Holdings Inc. Warrant,United States;
ADOC,Edoc Acquisition Corp. Class A Ordinary Share,United States;
ADOCW,Edoc Acquisition Corp. Warrant,United States;
ADP,Automatic Data Processing Inc. Common Stock,United States;
ADPT,Adaptive Biotechnologies Corporation Common Stock,United States;
ADRT,Ault Disruptive Technologies Corporation Common Stock,;
ADSE,ADS-TEC ENERGY PLC Ordinary Shares,Ireland;
ADSEW,ADS-TEC ENERGY PLC Warrant,Ireland;
ADSK,Autodesk Inc. Common Stock,United States;
ADT,ADT Inc. Common Stock,United States;
ADTH,AdTheorent Holding Company Inc. Common Stock,United States;
ADTHW,AdTheorent Holding Company Inc. Warrants,United States;
ADTN,ADTRAN Holdings Inc. Common Stock,United States;
ADTX,Aditxt Inc. Common Stock,United States;
ADUS,Addus HomeCare Corporation Common Stock,United States;
ADV,Advantage Solutions Inc. Class A Common Stock,United States;
ADV.WA,ADIUVO,Poland;
ADVM,Adverum Biotechnologies Inc. Common Stock,United States;
ADVWW,Advantage Solutions Inc. Warrant,United States;
ADX,Adams Diversified Equity Fund Inc.,United States;
ADXN,Addex Therapeutics Ltd American Depositary Shares,Switzerland;
AE,Adams Resources & Energy Inc. Common Stock,United States;
AEAE,AltEnergy Acquisition Corp. Class A Common Stock,United States;
AEAEU,AltEnergy Acquisition Corp. Unit,United States;
AEE,Ameren Corporation Common Stock,United States;
AEF,abrdn Emerging Markets Equity Income Fund Inc. Common Stock,United States;
AEFC,Aegon Funding Company LLC 5.10% Subordinated Notes due 2049,United States;
AEG,Aegon Ltd. New York Registry Shares,Netherlands;
AEHL,Antelope Enterprise Holdings Limited Class A Ordinary Shares,China;
AEHR,Aehr Test Systems Common Stock,United States;
AEI,Alset Inc. Common Stock (TX),United States;
AEIS,Advanced Energy Industries Inc. Common Stock,United States;
AEL,American Equity Investment Life Holding Company Common Stock,United States;
AEL^A,American Equity Investment Life Holding Company Depositary Shares each representing a 1/1000th interest in a share of 5.95% Fixed-Rate Reset Non-Cumulative Preferred Stock Series A,United States;
AEL^B,American Equity Investment Life Holding Company Depositary Shares each representing a 1/1000th interest in a share of 6.625% Fixed-Rate Reset Non-Cumulative Preferred Stock Series B,United States;
AEM,Agnico Eagle Mines Limited Common Stock,Canada;
AEMD,Aethlon Medical Inc. Common Stock,United States;
AENT,Alliance Entertainment Holding Corporation Class A Common Stock,United States;
AENTW,Alliance Entertainment Holding Corporation Warrants,United States;
AEO,American Eagle Outfitters Inc. Common Stock,United States;
AEON,AEON Biopharma Inc. Class A Common Stock,United States;
AEP,American Electric Power Company Inc. Common Stock,United States;
AER,AerCap Holdings N.V. Ordinary Shares,Netherlands;
AERT,Aeries Technology Inc. Class A Ordinary Share,United States;
AERTW,Aeries Technology Inc. Warrant,United States;
AES,The AES Corporation Common Stock,United States;
AESC,The AES Corporation Corporate Units,United States;
AESI,Atlas Energy Solutions Inc. Common Stock,United States;
AEVA,Aeva Technologies Inc. Common Stock,United States;
AEY,ADDvantage Technologies Group Inc. Common Stock,United States;
AEYE,AudioEye Inc. Common Stock,United States;
AEZS,Aeterna Zentaris Inc. Common Stock,Canada;
AFAR,Aura FAT Projects Acquisition Corp Class A Ordinary Shares,Singapore;
AFARW,Aura FAT Projects Acquisition Corp Warrant,Singapore;
AFB,AllianceBernstein National Municipal Income Fund Inc,United States;
AFBI,Affinity Bancshares Inc. Common Stock (MD),United States;
AFCG,AFC Gamma Inc. Common Stock,United States;
AFG,American Financial Group Inc. Common Stock,United States;
AFGB,American Financial Group Inc. 5.875% Subordinated Debentures due 2059,United States;
AFGC,American Financial Group Inc. 5.125% Subordinated Debentures due 2059,United States;
AFGD,American Financial Group Inc. 5.625% Subordinated Debentures due 2060,United States;
AFGE,American Financial Group Inc. 4.500% Subordinated Debentures due 2060,United States;
AFIB,Acutus Medical Inc. Common Stock,United States;
AFJKU,Aimei Health Technology Co. Ltd Unit,United States;
AFL,AFLAC Incorporated Common Stock,United States;
AFMD,Affimed N.V.,Germany;
AFRI,Forafric Global PLC Ordinary Shares,Gibraltar;
AFRIW,Forafric Global PLC Warrants,Gibraltar;
AFRM,Affirm Holdings Inc. Class A Common Stock,United States;
AFT,Apollo Senior Floating Rate Fund Inc. Common Stock,;
AFYA,Afya Limited Class A Common Shares,Brazil;
AG,First Majestic Silver Corp. Ordinary Shares (Canada),Canada;
AGAE,Allied Gaming & Entertainment Inc. Common Stock,United States;
AGBA,AGBA Group Holding Limited Ordinary Share,Hong Kong;
AGCO,AGCO Corporation Common Stock,United States;
AGD,abrdn Global Dynamic Dividend Fund Common Shares of Beneficial Interest,United States;
AGE,AgeX Therapeutics Inc. Common Stock,;
AGEN,Agenus Inc. Common Stock,United States;
AGFY,Agrify Corporation Common Stock,United States;
AGI,Alamos Gold Inc. Class A Common Shares,Canada;
AGIO,Agios Pharmaceuticals Inc. Common Stock,United States;
AGL,agilon health inc. Common Stock,United States;
AGM,Federal Agricultural Mortgage Corporation Common Stock,United States;
AGMH,AGM Group Holdings Inc. Class A Ordinary Shares,Hong Kong;
AGM^C,Federal Agricultural Mortgage Corporation Preferred Series C Fixed to Fltg,United States;
AGM^D,Federal Agricultural Mortgage Corporation 5.700% Non-Cumulative Preferred Stock Series D,United States;
AGM^E,Federal Agricultural Mortgage Corporation 5.750% Non-Cumulative Preferred Stock Series E,United States;
AGM^F,Federal Agricultural Mortgage Corporation 5.250% Non-Cumulative Preferred Stock Series F,United States;
AGM^G,Federal Agricultural Mortgage Corporation 4.875% Non-Cumulative Preferred Stock Series G,United States;
AGNC,AGNC Investment Corp. Common Stock,United States;
AGNCL,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 7.75% Series G Fixed-Rate Reset Cumulative Redeemable Preferred Stock,United States;
AGNCM,AGNC Investment Corp. Depositary Shares rep 6.875% Series D Fixed-to-Floating Cumulative Redeemable Preferred Stock,United States;
AGNCN,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferred Stock,United States;
AGNCO,AGNC Investment Corp. Depositary Shares each representing a 1/1000th interest in a share of 6.50% Series E Fixed-to-Floating Cumulative Redeemable Preferred Stock,United States;
AGNCP,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 6.125% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,United States;
AGO,Assured Guaranty Ltd. Common Stock,Bermuda;
AGO.WA,AGORA,Poland;
AGR,Avangrid Inc. Common Stock,United States;
AGRI,AgriFORCE  Growing Systems Ltd. Common Shares,Canada;
AGRIW,AgriFORCE  Growing Systems Ltd. Warrant,Canada;
AGRO,Adecoagro S.A. Common Shares,Luxembourg;
AGRX,Agile Therapeutics Inc. Common Stock,United States;
AGS,PlayAGS Inc. Common Stock,United States;
AGT.WA,AGROTON,Poland;
AGTI,Agiliti Inc. Common Stock,United States;
AGX,Argan Inc. Common Stock,United States;
AGYS,Agilysys Inc. Common Stock (DE),United States;
AHCO,AdaptHealth Corp. Common Stock,United States;
AHG,Akso Health Group ADS,China;
AHH,Armada Hoffler Properties Inc. Common Stock,United States;
AHH^A,Armada Hoffler Properties Inc. 6.75% Series A Cumulative Redeemable Perpetual Preferred Stock,United States;
AHI,Advanced Health Intelligence Ltd. American Depositary Shares,Australia;
AHL^C,Aspen Insurance Holdings Limited 5.95% Fixed-to-Floating Rate Perpetual Non-Cumulative Preference Shares,Bermuda;
AHL^D,Aspen Insurance Holdings Limited 5.625% Perpetual Non-Cumulative Preference Shares,Bermuda;
AHL^E,Aspen Insurance Holdings Limited Depositary Shares each representing a 1/1000th interest in a share of 5.625% Perpetual Non-Cumulative Preference Shares,Bermuda;
AHT,Ashford Hospitality Trust Inc Common Stock,United States;
AHT^D,Ashford Hospitality Trust Inc 8.45% Series D Cumulative Preferred Stock,United States;
AHT^F,Ashford Hospitality Trust Inc 7.375% Series F Cumulative Preferred Stock,United States;
AHT^G,Ashford Hospitality Trust Inc 7.375% Series G Cumulative Preferred Stock,United States;
AHT^H,Ashford Hospitality Trust Inc 7.50% Series H Cumulative Preferred Stock,United States;
AHT^I,Ashford Hospitality Trust Inc 7.50% Series I Cumulative Preferred Stock,United States;
AI,C3.ai Inc. Class A Common Stock,United States;
AIB,AIB Acquisition Corporation Class A Ordinary Shares,United States;
AIF,Apollo Tactical Income Fund Inc. Common Stock,;
AIG,American International Group Inc. New Common Stock,United States;
AIG^A,American International Group Inc. Depositary Shares Each Representing a 1/1000th Interest in a Share of Series A 5.85% Non-Cumulative Perpetual Preferred Stock,United States;
AIH,Aesthetic Medical International Holdings Group Ltd. American Depositary Shares,China;
AIHS,Senmiao Technology Limited Common Stock,China;
AIM,AIM ImmunoTech Inc. Common Stock,United States;
AIMAW,Aimfinity Investment Corp. I Warrant,United States;
AIMBU,Aimfinity Investment Corp. I Subunit,United States;
AIMD,Ainos Inc. Common Stock,United States;
AIN,Albany International Corporation Common Stock,United States;
AINC,Ashford Inc. (Holding Company) Common Stock,United States;
AIO,Virtus Artificial Intelligence & Technology Opportunities Fund Common Shares of Beneficial Interest,;
AIP,Arteris Inc. Common Stock,United States;
AIR,AAR Corp. Common Stock,United States;
AIRC,Apartment Income REIT Corp. Common Stock,United States;
AIRE,reAlpha Tech Corp. Common Stock,United States;
AIRG,Airgain Inc. Common Stock,United States;
AIRI,Air Industries Group Common Stock,United States;
AIRS,AirSculpt Technologies Inc. Common Stock,United States;
AIRT,Air T Inc. Common Stock,United States;
AIRTP,Air T Inc. Air T Funding Alpha Income Trust Preferred Securities,United States;
AISP,Airship AI Holdings Inc. Class A Common Stock,United States;
AISPW,Airship AI Holdings Inc. Warrants,United States;
AIT,Applied Industrial Technologies Inc. Common Stock,United States;
AITR,AI TRANSPORTATION ACQUISITION CORP Ordinary shares,United States;
AITRR,AI TRANSPORTATION ACQUISITION CORP Right,United States;
AITRU,AI TRANSPORTATION ACQUISITION CORP Unit,United States;
AIU,Meta Data Limited ADS,;
AIV,Apartment Investment and Management Company Common Stock,United States;
AIXI,XIAO-I Corporation American Depositary Shares,China;
AIZ,Assurant Inc. Common Stock,United States;
AIZN,Assurant Inc. 5.25% Subordinated Notes due 2061,United States;
AJG,Arthur J. Gallagher & Co. Common Stock,United States;
AJX,Great Ajax Corp. Common Stock,United States;
AJXA,Great Ajax Corp. 7.25% Convertible Senior Notes due 2024,United States;
AKA,a.k.a. Brands Holding Corp. Common Stock,;
AKAM,Akamai Technologies Inc. Common Stock,United States;
AKAN,Akanda Corp. Common Shares,United Kingdom;
AKBA,Akebia Therapeutics Inc. Common Stock,United States;
AKLI,Akili Inc. Common Stock,United States;
AKO/A,Embotelladora Andina S.A.,Chile;
AKO/B,Embotelladora Andina S.A.,Chile;
AKR,Acadia Realty Trust Common Stock,United States;
AKRO,Akero Therapeutics Inc. Common Stock,United States;
AKTS,Akoustis Technologies Inc. Common Stock,United States;
AKTX,Akari Therapeutics plc ADS,United Kingdom;
AKYA,Akoya BioSciences Inc. Common Stock,United States;
AL,Air Lease Corporation Class A Common Stock,United States;
ALAR,Alarum Technologies Ltd. American Depositary Share,Israel;
ALB,Albemarle Corporation Common Stock,United States;
ALBT,Avalon GloboCare Corp. Common Stock,United States;
ALC,Alcon Inc. Ordinary Shares,Switzerland;
ALCC,AltC Acquisition Corp. Class A Common Stock,;
ALCE,Alternus Clean Energy Inc. Class A Common Stock,United States;
ALCO,Alico Inc. Common Stock,United States;
ALCY,Alchemy Investments Acquisition Corp 1 Class A Ordinary Shares,United States;
ALCYU,Alchemy Investments Acquisition Corp 1 Units,United States;
ALDX,Aldeyra Therapeutics Inc. Common Stock,United States;
ALE,Allete Inc.,United States;
ALE.WA,ALLEGRO,Poland;
ALEC,Alector Inc. Common Stock,United States;
ALEX,Alexander & Baldwin Inc. Common Stock REIT Holding Company,United States;
ALG,Alamo Group Inc. Common Stock,United States;
ALG.WA,AIGAMES,Poland;
ALGM,Allegro MicroSystems Inc. Common Stock,United States;
ALGN,Align Technology Inc. Common Stock,United States;
ALGS,Aligos Therapeutics Inc. Common Stock,United States;
ALGT,Allegiant Travel Company Common Stock,United States;
ALHC,Alignment Healthcare Inc. Common Stock,United States;
ALI.WA,ALTUS,Poland;
ALIM,Alimera Sciences Inc. Common Stock,United States;
ALIT,Alight Inc. Class A Common Stock,United States;
ALK,Alaska Air Group Inc. Common Stock,United States;
ALKS,Alkermes plc Ordinary Shares,Ireland;
ALKT,Alkami Technology Inc. Common Stock,United States;
ALL,Allstate Corporation (The) Common Stock,United States;
ALL.WA,AILLERON,Poland;
ALLE,Allegion plc Ordinary Shares,United States;
ALLG,Allego N.V. Ordinary Share,Netherlands;
ALLK,Allakos Inc. Common Stock,United States;
ALLO,Allogene Therapeutics Inc. Common Stock,United States;
ALLR,Allarity Therapeutics Inc. Common Stock,United States;
ALLT,Allot Ltd. Ordinary Shares,Israel;
ALLY,Ally Financial Inc. Common Stock,United States;
ALL^B,Allstate Corporation (The) 5.100% Fixed-to-Floating Rate Subordinated Debentures due 2053,United States;
ALL^H,Allstate Corporation (The) Depositary Shares each representing a 1/1000th interest in a share of Fixed Rate Noncumulative Perpetual Preferred Stock Series H,United States;
ALL^I,Allstate Corporation (The) Depositary Shares each representing a 1/1000th interest in a share of Fixed Rate Noncumulative Perpetual Preferred Stock Series I,United States;
ALL^J,Allstate Corporation (The) Depositary Shares each representing a 1/1000th interest in a share of Fixed Rate Noncumulative Perpetual Preferred Stock Series J,United States;
ALNT,Allient Inc. Common Stock,United States;
ALNY,Alnylam Pharmaceuticals Inc. Common Stock,United States;
ALOT,AstroNova Inc. Common Stock,United States;
ALPN,Alpine Immune Sciences Inc. Common Stock,United States;
ALPP,Alpine 4 Holdings Inc. Class A Common Stock,United States;
ALR.WA,ALIOR,Poland;
ALRM,Alarm.com Holdings Inc. Common Stock,United States;
ALRN,Aileron Therapeutics Inc. Common Stock,United States;
ALRS,Alerus Financial Corporation Common Stock,United States;
ALSA,Alpha Star Acquisition Corporation Ordinary Shares,United States;
ALSAR,Alpha Star Acquisition Corporation Rights,United States;
ALSN,Allison Transmission Holdings Inc. Common Stock,United States;
ALT,Altimmune Inc. Common Stock,United States;
ALTG,Alta Equipment Group Inc. Class A Common Stock,United States;
ALTG^A,Alta Equipment Group Inc. Depositary Shares (each representing 1/1000th in a share of 10% Series A Cumulative Perpetual Preferred Stock),United States;
ALTI,AlTi Global Inc. Class A Common Stock,United States;
ALTM,Arcadium Lithium plc Ordinary Shares,;
ALTO,Alto Ingredients Inc. Common Stock,United States;
ALTR,Altair Engineering Inc. Class A Common Stock,United States;
ALTU,Altitude Acquisition Corp. Class A Common Stock,United States;
ALUR,Allurion Technologies Inc. Common Stock,;
ALV,Autoliv Inc. Common Stock,Sweden;
ALVO,Alvotech Ordinary Shares,Luxembourg;
ALVOW,Alvotech Warrant,Luxembourg;
ALVR,AlloVir Inc. Common Stock,United States;
ALX,Alexander's Inc. Common Stock,United States;
ALXO,ALX Oncology Holdings Inc. Common Stock,United States;
ALYA,Alithya Group inc. Class A Subordinate Voting Shares,Canada;
ALZN,Alzamend Neuro Inc. Common Stock,United States;
AL^A,Air Lease Corporation 6.150% Fixed-to-Floating Rate Non-Cumulative Perpetual Preferred Stock Series A,United States;
AM,Antero Midstream Corporation Common Stock,United States;
AMAL,Amalgamated Financial Corp. Common Stock (DE),United States;
AMAM,Ambrx Biopharma Inc. Common Stock,United States;
AMAT,Applied Materials Inc. Common Stock,United States;
AMB.WA,AMBRA,Poland;
AMBA,Ambarella Inc. Ordinary Shares,United States;
AMBC,Ambac Financial Group Inc. Common Stock,United States;
AMBI,Ambipar Emergency Response Class A Ordinary Shares,;
AMBO,Ambow Education Holding Ltd. American Depository Shares each representing two Class A ordinary shares,China;
AMBP,Ardagh Metal Packaging S.A. Ordinary Shares,;
AMC,AMC Entertainment Holdings Inc. Class A Common Stock,United States;
AMC.WA,AMICA,Poland;
AMCR,Amcor plc Ordinary Shares,;
AMCX,AMC Networks Inc. Class A Common Stock,United States;
AMD,Advanced Micro Devices Inc. Common Stock,United States;
