Date,Hard
2009-05-01,153.87383
2009-06-01,147.12444
2009-07-01,136.75881
2009-08-01,138.44843
2009-09-01,141.07541
2009-10-01,144.82273
2009-11-01,147.69223
2009-12-01,143.17714
2010-01-01,142.54516
2010-02-01,140.48684
2010-03-01,142.12414
2010-04-01,147.53969
2010-05-01,150.46506
2010-06-01,151.29623
2010-07-01,156.70900
2010-08-01,160.48683
2010-09-01,157.56910
2010-10-01,158.32642
2010-11-01,162.15381
2010-12-01,161.35094
2011-01-01,163.29255
2011-02-01,166.89486
2011-03-01,167.14827
2011-04-01,170.20474
2011-05-01,172.34839
2011-06-01,175.05236
2011-07-01,174.37997
2011-08-01,175.13160
2011-09-01,171.36902
2011-10-01,171.63782
2011-11-01,160.58866
2011-12-01,159.81254
2012-01-01,157.75515
2012-02-01,159.20681
2012-03-01,159.47073
2012-04-01,161.24162
2012-05-01,160.48209
2012-06-01,155.20828
2012-07-01,154.32282
2012-08-01,154.09630
2012-09-01,157.97065
2012-10-01,157.10107
2012-11-01,156.50507
2012-12-01,158.28380
2013-01-01,156.60301
2013-02-01,151.61871
2013-03-01,147.86268
2013-04-01,150.08667
2013-05-01,149.87675
2013-06-01,151.92777
2013-07-01,148.88787
2013-08-01,152.00749
2013-09-01,155.62075
2013-10-01,157.74747
2013-11-01,157.97989
2013-12-01,160.60337
2014-01-01,161.49304
2014-02-01,162.28713
2014-03-01,162.92435
2014-04-01,164.13999
2014-05-01,165.13994
2014-06-01,165.72815
2014-07-01,167.39475
2014-08-01,163.74785
2014-09-01,159.91468
2014-10-01,157.53243
2014-11-01,154.67961
2014-12-01,153.28751
2015-01-01,148.70928
2015-02-01,150.23863
2015-03-01,146.88583
2015-04-01,146.46428
2015-05-01,151.54249
2015-06-01,152.49343
2015-07-01,152.55225
2015-08-01,152.89537
2015-09-01,150.51312
2015-10-01,150.34646
2015-11-01,149.05240
2015-12-01,146.93485
2016-01-01,141.31744
2016-02-01,140.32729
2016-03-01,139.41556
2016-04-01,140.30768
2016-05-01,142.47425
2016-06-01,139.35674
2016-07-01,128.98464
2016-08-01,128.58270
2016-09-01,128.90621
2016-10-01,121.04380
2016-11-01,121.83789
2016-12-01,122.36728
2017-01-01,120.84773
2017-02-01,122.40649
2017-03-01,120.96538
2017-04-01,123.83780
2017-05-01,126.72983
2017-06-01,125.45538
2017-07-01,127.32785
2017-08-01,127.10237
2017-09-01,130.46569
2017-10-01,129.41518
2017-11-01,129.60226
2017-12-01,131.39567
2018-01-01,135.25888
2018-02-01,137.10194
2018-03-01,136.95488
2018-04-01,137.97445
2018-05-01,132.13156
2018-06-01,130.28850
2018-07-01,129.11208
2018-08-01,126.23966
2018-09-01,127.97488
2018-10-01,127.57294
2018-11-01,126.41612
2018-12-01,124.28876
2019-01-01,126.28868
2019-02-01,127.49451
2019-03-01,129.18071
2019-04-01,127.82783
2019-05-01,125.93575
2019-06-01,124.29857
2019-07-01,122.29865
2019-08-01,119.07330
2019-09-01,121.04380
2019-10-01,123.85741
2019-11-01,126.34750
2019-12-01,128.47486
2020-01-01,128.18075
2020-02-01,127.07296
2020-03-01,121.46536
2020-04-01,121.73005
2020-05-01,120.60265
2020-06-01,122.97484
2020-07-01,124.61696
2020-08-01,129.42849
2020-09-01,128.17348
2020-10-01,128.35748
2020-11-01,130.92996
2020-12-01,133.19968
2021-01-01,133.75894
2021-02-01,135.85689
2021-03-01,135.90591
2021-04-01,135.70004
2021-05-01,138.02427
2021-06-01,137.55290
2021-07-01,135.33731
2021-08-01,135.28829
2021-09-01,134.67067
2021-10-01,134.26873
2021-11-01,131.94530
2021-12-01,130.51398
2022-01-01,132.92565
2022-02-01,132.74918
2022-03-01,129.15130
2022-04-01,126.95531
2022-05-01,122.10258
2022-06-01,120.84773
2022-07-01,117.56356
2022-08-01,117.53415
2022-09-01,111.09325
2022-10-01,110.61288
2022-11-01,115.07347
2022-12-01,119.36741
2023-01-01,119.73994
2023-02-01,118.57332
2023-03-01,118.96546
2023-04-01,122.02415
2023-05-01,122.38688
2023-06-01,123.75937
2023-07-01,126.29848
2023-08-01,124.54365
2023-09-01,121.58300
2023-10-01,119.24976
2023-11-01,121.70064
