Date,Iron
2009-05-01,446.19556
2009-06-01,510.02912
2009-07-01,597.52437
2009-08-01,695.13642
2009-09-01,574.47428
2009-10-01,617.69654
2009-11-01,706.45653
2009-12-01,749.09485
2010-01-01,896.18709
2010-02-01,908.29181
2010-03-01,994.80118
2010-04-01,1227.53154
2010-05-01,1148.38163
2010-06-01,1022.29052
2010-07-01,899.38531
2010-08-01,1034.45487
2010-09-01,1000.90586
2010-10-01,1056.80393
2010-11-01,1142.70463
2010-12-01,1199.47393
2011-01-01,1278.50534
2011-02-01,1332.24199
2011-03-01,1205.38450
2011-04-01,1275.87979
2011-05-01,1260.46263
2011-06-01,1216.20835
2011-07-01,1231.14726
2011-08-01,1262.98932
2011-09-01,1261.40408
2011-10-01,1070.69988
2011-11-01,964.70398
2011-12-01,971.20996
2012-01-01,998.91544
2012-02-01,999.25436
2012-03-01,1029.63442
2012-04-01,1050.87095
2012-05-01,969.91265
2012-06-01,958.15696
2012-07-01,910.57910
2012-08-01,767.22743
2012-09-01,707.97153
2012-10-01,811.01656
2012-11-01,856.55128
2012-12-01,917.25042
2013-01-01,1071.10967
2013-02-01,1100.63266
2013-03-01,995.51601
2013-04-01,977.87124
2013-05-01,882.63006
2013-06-01,817.18861
2013-07-01,905.27619
2013-08-01,975.48043
2013-09-01,955.05846
2013-10-01,943.57813
2013-11-01,970.27622
2013-12-01,966.48026
2014-01-01,911.87934
2014-02-01,863.84342
2014-03-01,795.96679
2014-04-01,815.52279
2014-05-01,715.72954
2014-06-01,660.87104
2014-07-01,685.13074
2014-08-01,670.05592
2014-09-01,601.58525
2014-10-01,578.67863
2014-11-01,529.71530
2014-12-01,488.78230
2015-01-01,491.58848
2015-02-01,454.09253
2015-03-01,414.10547
2015-04-01,370.91556
2015-05-01,430.09659
2015-06-01,440.14882
2015-07-01,371.34458
2015-08-01,408.06643
2015-09-01,405.53219
2015-10-01,381.91524
2015-11-01,335.87528
2015-12-01,290.97942
2016-01-01,300.38976
2016-02-01,330.85918
2016-03-01,402.41374
2016-04-01,433.92645
2016-05-01,397.76771
2016-06-01,372.53316
2016-07-01,407.89697
2016-08-01,433.23534
2016-09-01,410.38499
2016-10-01,419.58990
2016-11-01,527.66095
2016-12-01,565.35102
2017-01-01,575.21838
2017-02-01,633.09609
2017-03-01,620.60962
2017-04-01,501.06762
2017-05-01,438.65078
2017-06-01,411.84083
2017-07-01,475.00424
2017-08-01,530.86802
2017-09-01,492.79783
2017-10-01,434.48722
2017-11-01,451.31026
2017-12-01,510.59143
2018-01-01,539.37800
2018-02-01,552.66904
2018-03-01,507.60272
2018-04-01,472.12337
2018-05-01,474.23797
2018-06-01,475.85155
2018-07-01,477.19185
2018-08-01,484.14049
2018-09-01,489.67972
2018-10-01,512.61024
2018-11-01,514.55840
2018-12-01,490.42535
2019-01-01,535.23132
2019-02-01,623.41637
2019-03-01,619.72547
2019-04-01,672.59786
2019-05-01,724.27665
2019-06-01,779.71530
2019-07-01,851.15272
2019-08-01,665.48043
2019-09-01,656.66836
2019-10-01,630.51215
2019-11-01,590.06948
2019-12-01,647.52507
2020-01-01,677.70385
2020-02-01,623.66548
2020-03-01,631.02556
2020-04-01,596.08541
2020-05-01,650.05931
2020-06-01,735.52248
2020-07-01,768.83800
2020-08-01,854.60092
2020-09-01,875.44484
2020-10-01,848.75445
