Date,Food
2011-05-01,224.81062
2011-06-01,221.44101
2011-07-01,219.89948
2011-08-01,219.20702
2011-09-01,208.94654
2011-10-01,204.80720
2011-11-01,204.47740
2011-12-01,199.31855
2012-01-01,204.10992
2012-02-01,208.87075
2012-03-01,213.21166
2012-04-01,211.60151
2012-05-01,201.84046
2012-06-01,202.22610
2012-07-01,214.00187
2012-08-01,216.28938
2012-09-01,211.90148
2012-10-01,210.45396
2012-11-01,208.76090
2012-12-01,209.00004
2013-01-01,211.47354
2013-02-01,210.15638
2013-03-01,210.61411
2013-04-01,214.90827
2013-05-01,219.23940
2013-06-01,215.81003
2013-07-01,212.36062
2013-08-01,206.60909
2013-09-01,200.23030
2013-10-01,199.00808
2013-11-01,200.83811
2013-12-01,203.03487
2014-01-01,203.96617
2014-02-01,209.66510
2014-03-01,221.87075
2014-04-01,226.26950
2014-05-01,217.16287
2014-06-01,212.19246
2014-07-01,207.47686
2014-08-01,197.80252
2014-09-01,194.03205
2014-10-01,192.89794
2014-11-01,192.44773
2014-12-01,189.11012
2015-01-01,181.06109
2015-02-01,175.85413
2015-03-01,171.39071
2015-04-01,174.73329
2015-05-01,174.52989
2015-06-01,173.72543
2015-07-01,173.47255
2015-08-01,168.15641
2015-09-01,166.77693
2015-10-01,167.70202
2015-11-01,160.68314
2015-12-01,159.95800
2016-01-01,159.89967
2016-02-01,162.16791
2016-03-01,168.15029
2016-04-01,173.32241
2016-05-01,175.69903
2016-06-01,179.40037
2016-07-01,179.92802
2016-08-01,176.88249
2016-09-01,176.15867
2016-10-01,174.31713
2016-11-01,175.27383
2016-12-01,177.23270
2017-01-01,184.52433
2017-02-01,185.36637
2017-03-01,179.15281
2017-04-01,178.06054
2017-05-01,182.24122
2017-06-01,181.02699
2017-07-01,185.09136
2017-08-01,176.80680
2017-09-01,174.67359
2017-10-01,176.06429
2017-11-01,177.17009
2017-12-01,177.15472
2018-01-01,183.27903
2018-02-01,183.41014
2018-03-01,185.16309
2018-04-01,184.84001
2018-05-01,187.68683
2018-06-01,180.26956
2018-07-01,175.50655
2018-08-01,168.63249
2018-09-01,170.82409
2018-10-01,173.93255
2018-11-01,166.02385
2018-12-01,170.93363
2019-01-01,174.01077
2019-02-01,171.07614
2019-03-01,169.84796
2019-04-01,175.92061
2019-05-01,169.90197
2019-06-01,173.57136
2019-07-01,173.67378
2019-08-01,170.18973
2019-09-01,166.36650
2019-10-01,166.93658
2019-11-01,173.68360
2019-12-01,180.16387
2020-01-01,182.56009
2020-02-01,175.12782
2020-03-01,168.35300
2020-04-01,160.96356
2020-05-01,167.16955
2020-06-01,172.86612
2020-07-01,169.10771
2020-08-01,170.81889
2020-09-01,173.16669
2020-10-01,182.32028
2020-11-01,188.38205
2020-12-01,190.36754
2021-01-01,202.52109
2021-02-01,207.42088
2021-03-01,212.12397
2021-04-01,225.30696
2021-05-01,236.17983
2021-06-01,223.27394
2021-07-01,224.20812
2021-08-01,228.44506
2021-09-01,221.67039
2021-10-01,224.28520
2021-11-01,227.89438
2021-12-01,234.42616
2022-01-01,245.68392
2022-02-01,257.59343
2022-03-01,278.76531
2022-04-01,287.08031
2022-05-01,281.49812
2022-06-01,270.39402
2022-07-01,249.79945
2022-08-01,242.90325
2022-09-01,234.63555
2022-10-01,239.51232
2022-11-01,239.50168
2022-12-01,236.28993
2023-01-01,239.66382
2023-02-01,247.04091
2023-03-01,253.23320
2023-04-01,253.12218
2023-05-01,240.15802
2023-06-01,235.68286
2023-07-01,236.72412
2023-08-01,227.41470
2023-09-01,226.65549
2023-10-01,228.75687
2023-11-01,230.34795
