Date,Bananas
2009-05-01,144.63296
2009-06-01,144.28162
2009-07-01,140.53405
2009-08-01,141.70517
2009-09-01,138.77737
2009-10-01,137.60626
2009-11-01,141.70517
2009-12-01,135.84958
2010-01-01,132.72660
2010-02-01,134.09290
2010-03-01,142.87628
2010-04-01,140.48082
2010-05-01,147.95112
2010-06-01,163.61570
2010-07-01,167.38457
2010-08-01,152.03229
2010-09-01,149.90298
2010-10-01,156.31624
2010-11-01,154.00189
2010-12-01,152.24522
2011-01-01,161.00071
2011-02-01,171.80287
2011-03-01,168.58994
2011-04-01,171.86143
2011-05-01,173.32533
2011-06-01,167.25681
2011-07-01,163.51025
2011-08-01,162.83619
2011-09-01,160.33657
2011-10-01,162.17183
2011-11-01,162.67881
2011-12-01,160.54950
2012-01-01,159.91071
2012-02-01,177.22905
2012-03-01,195.25715
2012-04-01,174.55221
2012-05-01,162.02150
2012-06-01,162.17183
2012-07-01,163.95639
2012-08-01,161.91966
2012-09-01,163.95639
2012-10-01,162.63252
2012-11-01,158.95253
2012-12-01,160.38727
2013-01-01,158.35539
2013-02-01,156.92969
2013-03-01,159.16039
2013-04-01,154.69392
2013-05-01,153.97644
2013-06-01,154.58745
2013-07-01,156.92969
2013-08-01,159.05899
2013-09-01,159.27192
2013-10-01,158.86458
2013-11-01,156.37201
2013-12-01,156.92969
2014-01-01,157.43887
2014-02-01,160.44304
2014-03-01,163.95639
2014-04-01,160.33657
2014-05-01,155.33271
2014-06-01,157.04122
2014-07-01,157.84621
2014-08-01,163.06411
2014-09-01,156.92969
2014-10-01,156.42051
2014-11-01,153.41634
2014-12-01,154.07827
2015-01-01,154.58745
2015-02-01,163.95639
2015-03-01,177.37100
2015-04-01,179.60677
2015-05-01,160.55457
2015-06-01,157.56848
2015-07-01,159.11917
2015-08-01,162.22760
2015-09-01,161.40122
2015-10-01,158.31373
2015-11-01,158.10080
2015-12-01,158.10080
2016-01-01,171.48500
2016-02-01,178.45593
2016-03-01,173.12165
2016-04-01,169.25430
2016-05-01,167.46974
2016-06-01,168.42793
2016-07-01,170.36965
2016-08-01,178.31530
2016-09-01,171.83481
2016-10-01,165.57365
2016-11-01,162.78527
2016-12-01,162.78527
2017-01-01,165.17435
2017-02-01,176.37726
2017-03-01,182.33784
2017-04-01,180.35203
2017-05-01,183.66171
2017-06-01,186.20761
2017-07-01,186.20761
2017-08-01,186.20761
2017-09-01,186.20761
2017-10-01,184.39771
2017-11-01,183.86538
2017-12-01,184.98073
2018-01-01,189.38491
2018-02-01,214.87656
2018-03-01,198.98344
2018-04-01,196.46883
2018-05-01,194.55819
2018-06-01,196.91497
2018-07-01,193.02139
2018-08-01,188.34618
2018-09-01,189.13541
2018-10-01,190.89208
2018-11-01,190.89208
2018-12-01,192.11897
2019-01-01,193.23432
2019-02-01,194.87388
2019-03-01,200.03795
2019-04-01,199.40930
2019-05-01,190.89208
2019-06-01,190.89208
2019-07-01,190.89208
2019-08-01,190.89208
2019-09-01,195.57655
2019-10-01,192.72513
2019-11-01,190.89208
2019-12-01,194.51190
2020-01-01,199.65000
2020-02-01,201.43214
2020-03-01,202.07093
2020-04-01,216.55019
2020-05-01,220.05847
2020-06-01,220.17001
2020-07-01,218.13328
2020-08-01,211.47028
2020-09-01,207.60712
2020-10-01,192.59553
2020-11-01,192.06320
2020-12-01,195.11829
2021-01-01,210.18763
2021-02-01,207.87328
2021-03-01,208.45884
2021-04-01,208.45884
2021-05-01,208.45884
2021-06-01,208.45884
2021-07-01,210.05582
2021-08-01,208.35237
2021-09-01,201.43214
2021-10-01,195.85539
2021-11-01,194.61836
2021-12-01,196.74767
2022-01-01,197.08227
2022-02-01,212.67486
2022-03-01,235.95463
2022-04-01,247.60761
2022-05-01,248.27682
2022-06-01,244.23114
2022-07-01,256.97655
2022-08-01,283.61400
2022-09-01,275.74484
2022-10-01,267.23776
2022-11-01,282.13275
2022-12-01,285.75256
2023-01-01,285.75256
2023-02-01,283.99589
2023-03-01,274.04139
2023-04-01,281.06810
2023-05-01,273.73589
2023-06-01,270.63451
2023-07-01,263.55711
2023-08-01,264.67246
2023-09-01,265.78781
2023-10-01,267.01469
2023-11-01,262.96901
