Date,Cotton
2009-05-01,82.38031
2009-06-01,81.63381
2009-07-01,86.16731
2009-08-01,85.44546
2009-09-01,85.20308
2009-10-01,88.85697
2009-11-01,95.44705
2009-12-01,102.10548
2010-01-01,102.91222
2010-02-01,106.44613
2010-03-01,114.07759
2010-04-01,117.12099
2010-05-01,119.77532
2010-06-01,121.91931
2010-07-01,111.90158
2010-08-01,120.13992
2010-09-01,139.27101
2010-10-01,168.28771
2010-11-01,206.73957
2010-12-01,223.70184
2011-01-01,237.93547
2011-02-01,283.47735
2011-03-01,305.40872
2011-04-01,288.05403
2011-05-01,220.10635
2011-06-01,219.31512
2011-07-01,198.47071
2011-08-01,151.72568
2011-09-01,155.42188
2011-10-01,147.09028
2011-11-01,139.20755
2011-12-01,126.92152
2012-01-01,134.46046
2012-02-01,133.96971
2012-03-01,132.31985
2012-04-01,133.10818
2012-05-01,117.73148
2012-06-01,109.28400
2012-07-01,111.65980
2012-08-01,112.23100
2012-09-01,111.90158
2012-10-01,108.97894
2012-11-01,107.54350
2012-12-01,110.86924
2013-01-01,113.70586
2013-02-01,119.29519
2013-03-01,125.59506
2013-04-01,123.05184
2013-05-01,123.16850
2013-06-01,123.77658
2013-07-01,123.15851
2013-08-01,123.29025
2013-09-01,119.80431
2013-10-01,118.81358
2013-11-01,112.56330
2013-12-01,116.33974
2014-01-01,120.96226
2014-02-01,125.06647
2014-03-01,128.91969
2014-04-01,125.26926
2014-05-01,123.28788
2014-06-01,120.87447
2014-07-01,111.48530
2014-08-01,98.39759
2014-09-01,97.58219
2014-10-01,93.54184
2014-11-01,89.79387
2014-12-01,90.83079
2015-01-01,89.56116
2015-02-01,92.87565
2015-03-01,92.22375
2015-04-01,95.34905
2015-05-01,96.89248
2015-06-01,96.21311
2015-07-01,96.20720
2015-08-01,95.50863
2015-09-01,91.40472
2015-10-01,91.79157
2015-11-01,92.04976
2015-12-01,93.60118
2016-01-01,91.42286
2016-02-01,88.52582
2016-03-01,87.04406
2016-04-01,92.12574
2016-05-01,93.45411
2016-06-01,98.54024
2016-07-01,107.79823
2016-08-01,106.73052
2016-09-01,103.53903
2016-10-01,104.41044
2016-11-01,104.95042
2016-12-01,105.72139
2017-01-01,109.48263
2017-02-01,113.23801
2017-03-01,115.40239
2017-04-01,115.73949
2017-05-01,117.86979
2017-06-01,112.71758
2017-07-01,111.81926
2017-08-01,105.50651
2017-09-01,107.18717
2017-10-01,104.52730
2017-11-01,106.92999
2017-12-01,113.59531
2018-01-01,121.08617
2018-02-01,117.37698
2018-03-01,122.52088
2018-04-01,122.65623
2018-05-01,125.63638
2018-06-01,129.92969
2018-07-01,127.89831
2018-08-01,125.73438
2018-09-01,120.15291
2018-10-01,115.42551
2018-11-01,115.39227
2018-12-01,114.35818
2019-01-01,109.51401
2019-02-01,107.91222
2019-03-01,111.44882
2019-04-01,116.02059
2019-05-01,106.56660
2019-06-01,103.25796
2019-07-01,100.45096
2019-08-01,94.11726
2019-09-01,94.82965
2019-10-01,98.25102
2019-11-01,99.54406
2019-12-01,100.83775
2020-01-01,105.14384
2020-02-01,101.81847
2020-03-01,90.00845
2020-04-01,84.48469
2020-05-01,87.37051
2020-06-01,90.15956
2020-07-01,91.12221
2020-08-01,93.08509
2020-09-01,94.16705
2020-10-01,99.48922
2020-11-01,103.35611
2020-12-01,107.74124
2021-01-01,116.00397
2021-02-01,123.35104
2021-03-01,121.61191
2021-04-01,120.65158
2021-05-01,120.86014
2021-06-01,125.67092
2021-07-01,129.92019
2021-08-01,134.71376
2021-09-01,137.87474
2021-10-01,156.09483
2021-11-01,168.27548
2021-12-01,159.62827
2022-01-01,175.97404
2022-02-01,184.04917
2022-03-01,187.66764
2022-04-01,206.53692
2022-05-01,218.05787
2022-06-01,205.37956
2022-07-01,174.24959
2022-08-01,165.90249
2022-09-01,156.83629
2022-10-01,133.34598
2022-11-01,134.52911
2022-12-01,134.15738
2023-01-01,133.39275
2023-02-01,132.22072
2023-03-01,126.85012
2023-04-01,126.50596
2023-05-01,124.84677
2023-06-01,122.89650
2023-07-01,124.02797
2023-08-01,127.65377
2023-09-01,130.01201
2023-10-01,127.24248
2023-11-01,120.25506
