DATE,PURANUSDM_NBD19900101
2009-04-01,463.54167
2009-05-01,539.50617
2009-06-01,572.22222
2009-07-01,552.22222
2009-08-01,524.30556
2009-09-01,491.97531
2009-10-01,512.34568
2009-11-01,497.22222
2009-12-01,493.75000
2010-01-01,486.94444
2010-02-01,467.77778
2010-03-01,454.56790
2010-04-01,459.16667
2010-05-01,458.88889
2010-06-01,453.08642
2010-07-01,466.04938
2010-08-01,511.80556
2010-09-01,518.51852
2010-10-01,542.59259
2010-11-01,635.13889
2010-12-01,673.61111
2011-01-01,709.72222
2011-02-01,722.22222
2011-03-01,705.55556
2011-04-01,642.46032
2011-05-01,622.91667
2011-06-01,615.55556
2011-07-01,586.54321
2011-08-01,563.14815
2011-09-01,577.59259
2011-10-01,581.52778
2011-11-01,591.04938
2011-12-01,579.76190
2012-01-01,581.25000
2012-02-01,578.39506
2012-03-01,569.87654
2012-04-01,570.00000
2012-05-01,576.54321
2012-06-01,564.81481
2012-07-01,559.50617
2012-08-01,547.22222
2012-09-01,530.27778
2012-10-01,495.67901
2012-11-01,461.11111
2012-12-01,485.18519
2013-01-01,475.00000
2013-02-01,482.29167
2013-03-01,469.79167
2013-04-01,460.13889
2013-05-01,451.16667
2013-06-01,443.75000
2013-07-01,422.46914
2013-08-01,388.82403
2013-09-01,382.81430
2013-10-01,387.20551
2013-11-01,395.46670
2013-12-01,384.36997
2014-01-01,391.27766
2014-02-01,394.96377
2014-03-01,385.58728
2014-04-01,363.82850
2014-05-01,317.10950
2014-06-01,313.61619
2014-07-01,315.55783
2014-08-01,342.54802
2014-09-01,381.90922
2014-10-01,397.24148
2014-11-01,451.08192
2014-12-01,410.53613
2015-01-01,398.86364
2015-02-01,424.30556
2015-03-01,436.86869
2015-04-01,431.56566
2015-05-01,396.56085
2015-06-01,400.50505
2015-07-01,403.14010
2015-08-01,401.05820
2015-09-01,411.74242
2015-10-01,413.76263
2015-11-01,399.60317
2015-12-01,390.70048
2016-01-01,385.44974
2016-02-01,377.85714
2016-03-01,334.51691
2016-04-01,309.07407
2016-05-01,310.60606
2016-06-01,303.91414
2016-07-01,287.16931
2016-08-01,287.80193
2016-09-01,276.38889
2016-10-01,238.75661
