DATE,PGNUTSUSDM_NBD19900101
2009-04-01,104.12449
2009-05-01,106.05272
2009-06-01,110.80318
2009-07-01,111.77034
2009-08-01,113.38000
2009-09-01,114.64211
2009-10-01,115.79905
2009-11-01,120.59709
2009-12-01,132.19283
2010-01-01,140.48542
2010-02-01,140.91514
2010-03-01,138.83265
2010-04-01,139.14818
2010-05-01,142.30347
2010-06-01,137.57053
2010-07-01,136.51877
2010-08-01,140.09476
2010-09-01,147.19416
2010-10-01,149.96130
2010-11-01,150.40204
2010-12-01,157.24307
2011-01-01,181.47411
2011-02-01,185.11020
2011-03-01,185.11020
2011-04-01,185.11020
2011-05-01,191.94665
2011-06-01,205.51439
2011-07-01,194.75156
2011-08-01,210.54919
2011-09-01,212.61401
2011-10-01,211.63743
2011-11-01,215.26727
2011-12-01,214.44175
2012-01-01,215.02154
2012-02-01,218.14245
2012-03-01,209.14490
2012-04-01,198.73729
2012-05-01,187.36479
2012-06-01,178.89923
2012-07-01,178.33648
2012-08-01,175.33798
2012-09-01,183.78675
2012-10-01,189.43857
2012-11-01,193.89028
2012-12-01,215.64145
2013-01-01,229.69963
2013-02-01,222.53694
2013-03-01,273.80107
2013-04-01,281.48880
2013-05-01,292.69449
2013-06-01,300.82597
2013-07-01,259.54643
2013-08-01,289.94173
2013-09-01,265.15443
2013-10-01,270.53098
2013-11-01,276.75926
2013-12-01,255.38856
2014-01-01,281.27250
2014-02-01,268.85413
2014-03-01,275.00256
2014-04-01,261.02885
2014-05-01,256.55727
2014-06-01,255.99832
2014-07-01,248.22165
2014-08-01,229.86083
2014-09-01,232.31924
2014-10-01,212.15733
2014-11-01,230.39849
2014-12-01,230.82134
2015-01-01,225.76430
2015-02-01,234.64650
2015-03-01,239.58557
2015-04-01,233.38632
2015-05-01,236.56821
2015-06-01,232.31924
2015-07-01,238.74383
2015-08-01,236.30205
2015-09-01,223.57932
2015-10-01,210.77432
2015-11-01,198.61296
2015-12-01,191.69496
2016-01-01,208.30140
2016-02-01,214.26351
2016-03-01,209.58131
2016-04-01,215.80728
2016-05-01,211.73978
2016-06-01,216.41462
2016-07-01,210.11133
2016-08-01,207.00529
2016-09-01,209.24992
2016-10-01,199.83732
2016-11-01,192.63391
2016-12-01,201.67871
2017-01-01,210.67269
2017-02-01,208.99077
2017-03-01,217.79542
2017-04-01,213.79772
2017-05-01,209.97014
2017-06-01,217.27845
2017-07-01,219.21420
2017-08-01,225.86372
2017-09-01,235.39708
2017-10-01,250.81534
2017-11-01,239.17906
2017-12-01,257.43562
2018-01-01,246.47190
2018-02-01,238.44734
2018-03-01,246.69945
2018-04-01,245.13875
2018-05-01,249.92280
2018-06-01,252.27200
2018-07-01,230.48995
2018-08-01,247.24956
2018-09-01,248.00536
2018-10-01,234.36945
2018-11-01,214.22964
2018-12-01,190.52152
2019-01-01,197.52747
2019-02-01,226.22697
2019-03-01,166.83276
2019-04-01,224.69722
2019-05-01,223.09328
2019-06-01,225.81511
2019-07-01,220.71167
2019-08-01,223.17281
2019-09-01,219.95946
2019-10-01,216.24008
2019-11-01,205.74621
2019-12-01,212.95930
2020-01-01,218.71890
2020-02-01,222.40553
2020-03-01,221.08946
2020-04-01,221.49597
2020-05-01,224.69722
2020-06-01,225.35779
2020-07-01,226.68999
2020-08-01,222.99375
2020-09-01,222.00410
2020-10-01,224.90047
2020-11-01,228.90264
2020-12-01,228.00230
2021-01-01,227.03947
2021-02-01,224.75311
2021-03-01,234.95270
2021-04-01,232.52249
2021-05-01,234.43889
2021-06-01,233.28469
2021-07-01,241.21160
2021-08-01,237.40059
2021-09-01,240.60184
2021-10-01,258.44705
2021-11-01,267.17729
2021-12-01,264.01801
2022-01-01,274.68316
2022-02-01,272.48729
2022-03-01,278.01602
2022-04-01,273.29910
2022-05-01,272.15701
2022-06-01,270.32772
2022-07-01,278.35625
2022-08-01,279.08531
2022-09-01,283.69167
2022-10-01,290.91928
2022-11-01,302.49266
2022-12-01,292.78728
2023-01-01,277.79730
2023-02-01,300.99366
2023-03-01,298.81862
2023-04-01,286.29332
2023-05-01,306.93552
2023-06-01,312.09640
2023-07-01,312.58518
2023-08-01,293.32635
2023-09-01,294.96500
2023-10-01,278.50869
2023-11-01,301.22232
