DATE,PCOCOUSDM_NBD19900101
2009-04-01,256.80064
2009-05-01,249.59591
2009-06-01,271.39359
2009-07-01,280.53781
2009-08-01,297.15213
2009-09-01,315.86572
2009-10-01,338.94506
2009-11-01,340.11338
2009-12-01,353.52197
2010-01-01,353.97944
2010-02-01,329.30108
2010-03-01,310.51717
2010-04-01,323.74243
2010-05-01,318.16694
2010-06-01,324.70630
2010-07-01,324.57761
2010-08-01,308.71506
2010-09-01,288.94308
2010-10-01,294.21655
2010-11-01,292.49356
2010-12-01,306.23740
2011-01-01,318.03863
2011-02-01,348.85394
2011-03-01,341.00186
2011-04-01,312.91542
2011-05-01,308.61973
2011-06-01,303.07948
2011-07-01,318.30996
2011-08-01,307.97077
2011-09-01,288.83248
2011-10-01,269.35137
2011-11-01,254.01278
2011-12-01,221.16635
2012-01-01,231.93586
2012-02-01,236.80803
2012-03-01,237.11068
2012-04-01,227.81738
2012-05-01,232.11136
2012-06-01,227.72262
2012-07-01,236.16265
2012-08-01,252.48843
2012-09-01,263.34509
2012-10-01,247.59165
2012-11-01,249.06167
2012-12-01,244.40422
2013-01-01,228.68700
2013-02-01,220.87456
2013-03-01,216.41796
2013-04-01,230.62516
2013-05-01,235.75162
2013-06-01,229.50592
2013-07-01,232.01299
2013-08-01,249.60862
2013-09-01,262.91933
2013-10-01,274.44207
2013-11-01,276.90185
2013-12-01,283.87328
2014-01-01,283.35990
2014-02-01,300.78038
2014-03-01,305.69517
2014-04-01,306.59418
2014-05-01,304.52215
2014-06-01,319.02574
2014-07-01,321.20999
2014-08-01,328.67012
2014-09-01,323.74546
2014-10-01,311.64118
2014-11-01,292.37099
2014-12-01,296.17541
2015-01-01,293.02555
2015-02-01,297.68198
2015-03-01,289.24956
2015-04-01,288.26879
2015-05-01,311.15545
2015-06-01,325.61650
2015-07-01,334.26735
2015-08-01,316.98674
2015-09-01,329.49270
2015-10-01,321.34069
2015-11-01,337.77291
2015-12-01,336.24686
2016-01-01,296.72523
2016-02-01,293.10216
2016-03-01,308.89640
2016-04-01,309.39634
2016-05-01,311.39584
2016-06-01,313.84425
2016-07-01,306.53038
2016-08-01,304.77268
2016-09-01,289.56657
2016-10-01,272.49758
2016-11-01,249.53078
2016-12-01,230.68439
2017-01-01,220.48510
2017-02-01,204.43055
2017-03-01,207.34611
2017-04-01,197.10124
2017-05-01,199.34521
2017-06-01,200.82868
2017-07-01,199.85704
2017-08-01,199.85513
2017-09-01,200.83377
2017-10-01,210.75912
2017-11-01,213.85949
2017-12-01,192.74127
2018-01-01,196.16345
2018-02-01,213.34659
2018-03-01,251.65339
2018-04-01,263.79250
2018-05-01,267.29781
2018-06-01,242.28730
2018-07-01,236.88923
2018-08-01,218.25233
2018-09-01,220.59154
2018-10-01,214.49234
2018-11-01,219.60144
2018-12-01,221.95056
2019-01-01,227.47086
2019-02-01,226.71407
2019-03-01,221.15424
2019-04-01,234.28452
2019-05-01,232.67059
2019-06-01,241.98302
2019-07-01,242.86730
2019-08-01,220.57271
2019-09-01,231.69263
2019-10-01,244.75121
2019-11-01,253.23242
2019-12-01,245.70775
2020-01-01,261.61563
2020-02-01,272.98637
2020-03-01,235.02216
2020-04-01,228.16469
2020-05-01,232.90994
2020-06-01,223.98167
2020-07-01,211.26403
2020-08-01,236.04787
2020-09-01,246.99617
2020-10-01,230.35720
2020-11-01,237.10992
2020-12-01,241.78542
2021-01-01,240.49986
2021-02-01,239.50035
2021-03-01,248.36224
2021-04-01,237.83779
2021-05-01,242.14648
2021-06-01,237.81847
2021-07-01,233.99795
2021-08-01,248.99501
2021-09-01,256.55924
2021-10-01,258.66585
2021-11-01,241.79643
2021-12-01,239.06843
2022-01-01,247.97556
2022-02-01,256.41476
2022-03-01,247.17571
2022-04-01,246.97328
2022-05-01,237.57499
2022-06-01,233.47906
2022-07-01,225.06556
2022-08-01,228.15103
2022-09-01,223.13711
2022-10-01,225.49056
2022-11-01,239.27669
2022-12-01,246.85698
2023-01-01,255.28407
2023-02-01,259.95244
2023-03-01,267.91873
2023-04-01,283.74613
2023-05-01,291.99414
2023-06-01,314.01398
2023-07-01,336.34518
2023-08-01,345.16649
2023-09-01,364.74039
2023-10-01,371.01655
2023-11-01,411.59359
