DATE,POLVOILUSDM_NBD19900101
2009-04-01,103.86815
2009-05-01,106.02699
2009-06-01,115.50256
2009-07-01,118.69273
2009-08-01,124.82582
2009-09-01,132.78675
2009-10-01,132.22156
2009-11-01,133.01883
2009-12-01,129.53083
2010-01-01,125.22176
2010-02-01,117.20641
2010-03-01,112.67588
2010-04-01,110.76093
2010-05-01,101.29674
2010-06-01,98.42285
2010-07-01,98.72314
2010-08-01,103.86419
2010-09-01,103.20668
2010-10-01,104.05692
2010-11-01,103.67542
2010-12-01,101.05219
2011-01-01,100.57580
2011-02-01,102.73900
2011-03-01,104.23237
2011-04-01,108.53094
2011-05-01,106.46260
2011-06-01,104.19346
2011-07-01,103.34094
2011-08-01,104.91199
2011-09-01,101.37243
2011-10-01,101.35642
2011-11-01,101.98870
2011-12-01,96.44746
2012-01-01,92.87813
2012-02-01,95.40793
2012-03-01,95.01740
2012-04-01,95.33802
2012-05-01,91.58956
2012-06-01,90.74875
2012-07-01,89.87983
2012-08-01,98.00687
2012-09-01,120.15026
2012-10-01,122.18691
2012-11-01,115.99713
2012-12-01,111.64503
2013-01-01,133.13219
2013-02-01,142.27736
2013-03-01,137.74623
2013-04-01,134.73923
2013-05-01,129.41391
2013-06-01,133.07342
2013-07-01,131.03456
2013-08-01,129.55403
2013-09-01,128.74468
2013-10-01,125.74390
2013-11-01,124.57318
2013-12-01,122.06594
2014-01-01,121.13683
2014-02-01,119.11958
2014-03-01,120.65311
2014-04-01,119.94638
2014-05-01,119.54583
2014-06-01,121.97174
2014-07-01,128.52212
2014-08-01,133.34047
2014-09-01,134.46177
2014-10-01,128.22529
2014-11-01,136.74862
2014-12-01,142.44749
2015-01-01,138.88176
2015-02-01,140.26271
2015-03-01,132.32501
2015-04-01,134.44368
2015-05-01,144.82968
2015-06-01,146.24163
2015-07-01,150.96533
2015-08-01,169.73887
2015-09-01,167.75673
2015-10-01,152.87527
2015-11-01,131.54306
2015-12-01,123.05014
2016-01-01,133.76568
2016-02-01,142.41142
2016-03-01,136.14833
2016-04-01,135.37301
2016-05-01,129.78250
2016-06-01,128.17643
2016-07-01,130.89113
2016-08-01,133.95817
2016-09-01,137.04365
2016-10-01,132.01660
2016-11-01,132.13723
2016-12-01,134.30669
2017-01-01,139.67920
2017-02-01,148.82964
2017-03-01,149.16319
2017-04-01,147.65993
2017-05-01,155.92584
2017-06-01,155.82123
2017-07-01,157.63527
2017-08-01,156.81172
2017-09-01,155.22017
2017-10-01,154.78430
2017-11-01,153.61453
2017-12-01,153.42464
2018-01-01,161.31975
2018-02-01,160.83160
2018-03-01,147.82512
2018-04-01,139.12267
2018-05-01,122.97734
2018-06-01,120.30842
2018-07-01,123.68469
2018-08-01,119.51989
2018-09-01,121.44460
2018-10-01,117.46350
2018-11-01,120.80900
2018-12-01,123.76404
2019-01-01,118.86937
2019-02-01,116.60052
2019-03-01,111.88073
2019-04-01,109.11710
2019-05-01,106.23811
2019-06-01,106.38500
2019-07-01,107.01389
2019-08-01,104.94498
2019-09-01,102.86543
2019-10-01,100.21266
2019-11-01,98.18331
2019-12-01,95.86131
2020-01-01,90.40062
2020-02-01,92.10327
2020-03-01,94.06506
2020-04-01,93.35300
2020-05-01,92.65645
2020-06-01,95.61182
2020-07-01,96.48110
2020-08-01,100.77644
2020-09-01,104.08187
2020-10-01,110.52789
2020-11-01,46.75795
2020-12-01,44.18279
2021-01-01,116.67208
2021-02-01,131.13139
2021-03-01,132.33556
2021-04-01,138.73690
2021-05-01,147.94520
2021-06-01,151.02605
2021-07-01,148.09535
2021-08-01,147.45439
2021-09-01,149.41176
2021-10-01,146.89011
2021-11-01,140.82792
2021-12-01,138.76118
2022-01-01,142.97277
2022-02-01,142.39734
2022-03-01,147.96650
2022-04-01,144.13276
2022-05-01,137.87132
2022-06-01,135.58983
2022-07-01,136.74603
2022-08-01,142.87057
2022-09-01,145.20279
2022-10-01,160.70253
2022-11-01,173.07911
2022-12-01,194.85325
2023-01-01,198.24848
2023-02-01,198.33340
2023-03-01,201.49250
2023-04-01,210.90827
2023-05-01,226.31186
2023-06-01,243.40948
2023-07-01,289.26869
2023-08-01,303.91932
2023-09-01,315.03340
2023-10-01,307.63855
2023-11-01,299.09787
