DATE,PALUMUSDM_NBD19900101
2009-04-01,93.70501
2009-05-01,95.98633
2009-06-01,103.37875
2009-07-01,109.32962
2009-08-01,126.15429
2009-09-01,120.13074
2009-10-01,122.75286
2009-11-01,128.04631
2009-12-01,142.75243
2010-01-01,145.94977
2010-02-01,134.37631
2010-03-01,144.66822
2010-04-01,151.45795
2010-05-01,133.81613
2010-06-01,126.27023
2010-07-01,130.17313
2010-08-01,138.11783
2010-09-01,142.09707
2010-10-01,153.28394
2010-11-01,152.09722
2010-12-01,154.23227
2011-01-01,159.66623
2011-02-01,164.61126
2011-03-01,167.24476
2011-04-01,174.56915
2011-05-01,169.32019
2011-06-01,167.39276
2011-07-01,165.27674
2011-08-01,155.82297
2011-09-01,150.09564
2011-10-01,142.71254
2011-11-01,136.12446
2011-12-01,132.48527
2012-01-01,140.79407
2012-02-01,144.49716
2012-03-01,142.94235
2012-04-01,134.06448
2012-05-01,131.05515
2012-06-01,123.39746
2012-07-01,122.79123
2012-08-01,120.63660
2012-09-01,135.08639
2012-10-01,129.20840
2012-11-01,127.54120
2012-12-01,136.56827
2013-01-01,133.35123
2013-02-01,134.39758
2013-03-01,125.08393
2013-04-01,121.79475
2013-05-01,119.93269
2013-06-01,118.75245
2013-07-01,115.81209
2013-08-01,118.86359
2013-09-01,115.26864
2013-10-01,118.75541
2013-11-01,114.39557
2013-12-01,113.86191
2014-01-01,113.05048
2014-02-01,110.94012
2014-03-01,111.60777
2014-04-01,118.49967
2014-05-01,114.59751
2014-06-01,120.35029
2014-07-01,127.50683
2014-08-01,132.88563
2014-09-01,130.26386
2014-10-01,127.36840
2014-11-01,134.52585
2014-12-01,124.96463
2015-01-01,118.76434
2015-02-01,118.96728
2015-03-01,116.09055
2015-04-01,119.05677
2015-05-01,118.06541
2015-06-01,110.45336
2015-07-01,107.29712
2015-08-01,101.31708
2015-09-01,104.03156
2015-10-01,99.24664
2015-11-01,96.06629
2015-12-01,97.98445
2016-01-01,96.93063
2016-02-01,100.21348
2016-03-01,100.19711
2016-04-01,102.82894
2016-05-01,101.48069
2016-06-01,104.28710
