Date,Sweden
1978-05-01,4.65355152836842
1978-06-01,4.60774924540909
1978-07-01,4.537214303
1978-08-01,4.44072673438095
1978-09-01,4.41904331385714
1978-10-01,4.28516561345455
1978-11-01,4.37917897814286
1978-12-01,4.37623439888889
1979-01-01,4.34641216018182
1979-02-01,4.36775085915
1979-03-01,4.36453606868182
1979-04-01,4.39184487489474
1979-05-01,4.39304833190476
1979-06-01,4.33342333852632
1979-07-01,4.22409025828571
1979-08-01,4.22049269478261
1979-09-01,4.18972194195
1979-10-01,4.20989163026087
1979-11-01,4.22272643590476
1979-12-01,4.17685728594444
1980-01-01,4.14683723459091
1980-02-01,4.1693925857619
1980-03-01,4.34732539314286
1980-04-01,4.36113944065
1980-05-01,4.20900726322222
1980-06-01,4.16483879089474
1980-07-01,4.12612029786956
1980-08-01,4.17659110119048
1980-09-01,4.15459158204545
1980-10-01,4.19181885033333
1980-11-01,4.29852074073684
1980-12-01,4.40440394875
1981-01-01,4.44660136705
1981-02-01,4.60984568595
1981-03-01,4.60203985942857
1981-04-01,4.6909632205
1981-05-01,4.89090508888889
1981-06-01,5.045693248625
1981-07-01,5.1813950755
1981-08-01,5.30158201010526
1981-09-01,5.41642698368182
1981-10-01,5.53035910125
1981-11-01,5.45797877563158
1981-12-01,5.54412211863158
1982-01-01,5.616633606
1982-02-01,5.75847458835
1982-03-01,5.83325883613043
1982-04-01,5.91595215552632
1982-05-01,5.78002159215789
1982-06-01,6.01840345855
1982-07-01,6.1098084211
1982-08-01,6.1355813266
1982-09-01,6.22223127959091
1982-10-01,7.13763284689474
1982-11-01,7.50800500983333
1982-12-01,7.35096484954545
1983-01-01,7.31788258794737
1983-02-01,7.4243857146
1983-03-01,7.48275201213043
1983-04-01,7.48526244694444
1983-05-01,7.49409871115
1983-06-01,7.63368742094737
1983-07-01,7.68482837214286
1983-08-01,7.86396191340909
1983-09-01,7.87265133863636
1983-10-01,7.77523876366667
1983-11-01,7.91563006804762
1983-12-01,8.05550098428571
