Date,India
1975-11-01,8.90471958062974
1975-12-01,8.95255155731917
1976-01-01,8.91265605091494
1976-02-01,8.92060668082611
1976-03-01,8.95896800715793
1976-04-01,9.06371801924878
1976-05-01,9.08017805393787
1976-06-01,9.04649908672426
1976-07-01,8.93016618083735
1976-08-01,8.94054545320112
1976-09-01,9.02934545398958
1976-10-01,8.92697740516852
1976-11-01,8.90471958062974
1976-12-01,8.81057276485086
1977-01-01,8.85112417110218
1977-02-01,8.85504302537008
1977-03-01,8.82145385340026
1977-04-01,8.81212556232046
1977-05-01,8.81600995165309
1977-06-01,8.81290216632504
1977-07-01,8.79894420412621
1977-08-01,8.7077674042822
1977-09-01,8.69187317420142
1977-10-01,8.57706500194755
1977-11-01,8.63036168663469
1977-12-01,8.48824385441171
1978-01-01,8.11227393617485
1978-02-01,8.08472801426735
1978-03-01,8.21827751658677
1978-04-01,8.47385821942088
1978-05-01,8.58295432652094
1978-06-01,8.33750215388946
1978-07-01,8.08865168720093
1978-08-01,8.04893760503008
1978-09-01,8.01410488871698
1978-10-01,7.91201841848262
1978-11-01,8.24674260470677
1978-12-01,8.19403480984952
1979-01-01,8.18799646432487
1979-02-01,8.21220340159484
1979-03-01,8.17394154139236
1979-04-01,8.20815897733037
1979-05-01,8.24062635550578
1979-06-01,8.07950236793651
1979-07-01,7.87153658589056
1979-08-01,8.02181941297786
1979-09-01,8.10110181546583
1979-10-01,8.20883277137443
1979-11-01,8.1340491958195
1979-12-01,8.06972246666981
1980-01-01,7.93587816789047
1980-02-01,7.92958534556804
1980-03-01,8.11359032952203
1980-04-01,8.05088163634878
1980-05-01,7.8789789464149
1980-06-01,7.83208026184273
1980-07-01,7.74833416820343
1980-08-01,7.76699035158827
1980-09-01,7.72558720430769
1980-10-01,7.71010029074865
1980-11-01,7.76880055755749
1980-12-01,7.89452915366329
1981-01-01,7.94218098595966
1981-02-01,8.18263651241827
1981-03-01,8.21085481739761
1981-04-01,8.25082515058437
1981-05-01,8.39137373828458
1981-06-01,8.58663926315163
1981-07-01,8.86996637280439
1981-08-01,8.99199720341693
1981-09-01,9.09090917355372
1981-10-01,9.15667071840189
1981-11-01,9.11078725501811
1981-12-01,9.11743261412685
1982-01-01,9.12408767448985
1982-02-01,9.18611068515626
1982-03-01,9.27557749072978
1982-04-01,9.35803864269173
1982-05-01,9.27557749072978
1982-06-01,9.42773648937246
1982-07-01,9.53652498127527
1982-08-01,9.55383595637562
1982-09-01,9.61908435570493
1982-10-01,9.66557132868327
1982-11-01,9.75514593459317
1982-12-01,9.68429217203459
1983-01-01,9.79048374574588
1983-02-01,9.90393195903666
1983-03-01,9.96909590239354
1983-04-01,9.97804839331519
1983-05-01,9.99400369772141
1983-06-01,10.052271914478
1983-07-01,10.0847116789503
1983-08-01,10.1698363690617
1983-09-01,10.1884871134843
1983-10-01,10.2239035908793
1983-11-01,10.34982416011
1983-12-01,10.4821804033772
1984-01-01,10.716999999
1984-02-01,10.755999999
1984-03-01,10.748999999
1984-04-01,10.832999999
1984-05-01,11.028999999
1984-06-01,11.054
1984-07-01,11.339999999
1984-08-01,11.574
1984-09-01,11.824
1984-10-01,12.079999999
1984-11-01,12.082999999
1984-12-01,12.312
1985-01-01,12.616
1985-02-01,12.937999999
1985-03-01,12.959
1985-04-01,12.484999999
1985-05-01,12.545999999
1985-06-01,12.462
1985-07-01,12.033999999
1985-08-01,11.935
1985-09-01,12.175999999
1985-10-01,12.028
1985-11-01,12.086
1985-12-01,12.16
1986-01-01,12.275
1986-02-01,12.374
1986-03-01,12.288
1986-04-01,12.403
