Date,Czech
1991-01-01,27.6468180736364
1991-02-01,27.2440000535
1991-03-01,28.7399998619048
1991-04-01,29.9433334904762
1991-05-01,30.1157142085714
1991-06-01,30.8752632142105
1991-07-01,31.0027273354545
1991-08-01,30.5304546345455
1991-09-01,29.9933332714286
1991-10-01,29.8854545245455
1991-11-01,29.1638096409524
1991-12-01,28.55263168
1992-01-01,28.3609091145455
1992-02-01,28.7820002565
1992-03-01,29.1590909959091
1992-04-01,29.060952412381
1992-05-01,28.8363157584211
1992-06-01,28.4245454613636
1992-07-01,27.6054544463636
1992-08-01,27.2528569352381
1992-09-01,27.1848636113636
1992-10-01,27.3821430204762
1992-11-01,28.5392858414286
1992-12-01,28.5808888544444
1993-01-01,28.9269498815
1993-02-01,29.0259501455
1993-03-01,29.040956413913
1993-04-01,28.5010476785714
1993-05-01,28.6099999747619
1993-06-01,29.1015715833333
1993-07-01,29.827449894
1993-08-01,29.6669544740909
1993-09-01,28.8284544509091
1993-10-01,28.9131500245
1993-11-01,29.642818105
1993-12-01,29.7642272609091
1994-01-01,30.1220000133333
1994-02-01,30.074399852
1994-03-01,29.5886521547826
1994-04-01,29.6302001005
1994-05-01,29.2073179595455
1994-06-01,28.8938179886364
1994-07-01,28.1724737063158
1994-08-01,28.12343473
1994-09-01,27.9795907636364
1994-10-01,27.6360500335
1994-11-01,27.7775454959091
1994-12-01,28.2184761585714
1995-01-01,27.7620001713636
1995-02-01,27.395999909
1995-03-01,26.2233913256522
1995-04-01,25.85321055
1995-05-01,26.2366190409524
1995-06-01,26.1391363136364
1995-07-01,26.0101052331579
1995-08-01,26.6381738917391
1995-09-01,26.9284284671429
1995-10-01,26.3126363763636
1995-11-01,26.323227015
1995-12-01,26.6582629547368
1996-01-01,26.9667726863636
1996-02-01,27.0693808971429
1996-03-01,27.263428642381
1996-04-01,27.4959998347619
1996-05-01,27.7036499015
1996-06-01,27.814000129
1996-07-01,27.1510435186957
1996-08-01,26.5204545454545
1996-09-01,26.5414285714286
1996-10-01,27.09
1996-11-01,26.83
1996-12-01,27.3405
1997-01-01,27.5159090909091
1997-02-01,28.18
1997-03-01,29.2390476190476
1997-04-01,29.9204761904762
1997-05-01,31.027
1997-06-01,32.3704761904762
1997-07-01,33.5752173913043
1997-08-01,34.228
1997-09-01,33.5952380952381
1997-10-01,32.9482608695652
1997-11-01,33.1278947368421
1997-12-01,34.728
1998-01-01,35.3580952380952
1998-02-01,34.504
1998-03-01,33.9959090909091
1998-04-01,33.806
1998-05-01,32.526
1998-06-01,33.2731818181818
1998-07-01,31.9882608695652
1998-08-01,32.0766666666667
1998-09-01,30.7445454545455
1998-10-01,29.2422727272727
1998-11-01,29.7771428571429
1998-12-01,30.0768181818182
1999-01-01,30.773
1999-02-01,33.661125
1999-03-01,34.7895652173913
1999-04-01,35.4495
1999-05-01,35.45
1999-06-01,35.7727272727273
1999-07-01,35.29
1999-08-01,34.3163636363636
1999-09-01,34.6009090909091
1999-10-01,34.2033333333333
1999-11-01,35.1233333333333
1999-12-01,35.6304761904762
2000-01-01,35.484
2000-02-01,36.287619047619
2000-03-01,36.9073913043478
2000-04-01,38.3345
2000-05-01,40.3839130434783
2000-06-01,37.9659090909091
2000-07-01,37.8831904761905
2000-08-01,39.0165217391304
2000-09-01,40.724
2000-10-01,41.2672727272727
2000-11-01,40.5363636363636
2000-12-01,38.8485
2001-01-01,37.4413636363636
2001-02-01,37.6125
2001-03-01,37.9618181818182
2001-04-01,38.7165
2001-05-01,39.2508695652174
2001-06-01,39.7999523809524
2001-07-01,39.3727272727273
2001-08-01,37.7982608695652
2001-09-01,37.4285
2001-10-01,37.0486956521739
2001-11-01,37.4654545454545
2001-12-01,36.4438888888889
2002-01-01,36.1995454545455
2002-02-01,36.53
2002-03-01,35.8114285714286
2002-04-01,34.3290909090909
2002-05-01,33.3326086956522
2002-06-01,31.819
2002-07-01,29.894347826087
2002-08-01,31.48
2002-09-01,30.8238095238095
2002-10-01,31.2304347826087
2002-11-01,30.6928571428571
2002-12-01,30.6505263157895
2003-01-01,29.65
2003-02-01,29.3615
2003-03-01,29.4180952380952
2003-04-01,29.1522727272727
2003-05-01,27.1495454545455
2003-06-01,26.9861904761905
2003-07-01,27.9939130434783
2003-08-01,28.9209523809524
2003-09-01,28.8459090909091
2003-10-01,27.3282608695652
2003-11-01,27.344
2003-12-01,26.3485714285714
2004-01-01,25.8895238095238
2004-02-01,25.9955
2004-03-01,26.8478260869565
2004-04-01,27.0781818181818
2004-05-01,26.6661904761905
2004-06-01,26.0377272727273
2004-07-01,25.7572727272727
2004-08-01,25.9595454545455
2004-09-01,25.8672727272727
2004-10-01,25.2109523809524
2004-11-01,24.1436363636364
2004-12-01,22.8813043478261
2005-01-01,23.0661904761905
2005-02-01,23.056
2005-03-01,22.5904347826087
2005-04-01,23.2747619047619
2005-05-01,23.8004545454545
2005-06-01,24.7027272727273
2005-07-01,25.0580952380952
2005-08-01,24.0582608695652
2005-09-01,23.9145454545455
2005-10-01,24.6857142857143
2005-11-01,24.8036363636364
2005-12-01,24.4437727272727
2006-01-01,23.687
2006-02-01,23.81335
2006-03-01,23.8151739130435
2006-04-01,23.23385
2006-05-01,22.1336956521739
2006-06-01,22.4171363636364
2006-07-01,22.4187142857143
2006-08-01,22.0186086956522
2006-09-01,22.2949523809524
2006-10-01,22.406
2006-11-01,21.7355
2006-12-01,21.0460952380952
2007-01-01,21.4176956521739
2007-02-01,21.58685
2007-03-01,21.1695454545455
2007-04-01,20.7248095238095
