Date,Mexico
1960-01-01,0.0125
1960-02-01,0.0125
1960-03-01,0.0125
1960-04-01,0.0125
1960-05-01,0.0125
1960-06-01,0.0125
1960-07-01,0.0125
1960-08-01,0.0125
1960-09-01,0.0125
1960-10-01,0.0125
1960-11-01,0.0125
1960-12-01,0.0125
1961-01-01,0.0125
1961-02-01,0.0125
1961-03-01,0.0125
1961-04-01,0.0125
1961-05-01,0.0125
1961-06-01,0.0125
1961-07-01,0.0125
1961-08-01,0.0125
1961-09-01,0.0125
1961-10-01,0.0125
1961-11-01,0.0125
1961-12-01,0.0125
1962-01-01,0.0125
1962-02-01,0.0125
1962-03-01,0.0125
1962-04-01,0.0125
1962-05-01,0.0125
1962-06-01,0.0125
1962-07-01,0.0125
1962-08-01,0.0125
1962-09-01,0.0125
1962-10-01,0.0125
1962-11-01,0.0125
1962-12-01,0.0125
1963-01-01,0.0125
1963-02-01,0.0125
1963-03-01,0.0125
1963-04-01,0.0125
1963-05-01,0.0125
1963-06-01,0.0125
1963-07-01,0.0125
1963-08-01,0.0125
1963-09-01,0.0125
1963-10-01,0.0125
1963-11-01,0.0125
1963-12-01,0.0125
1964-01-01,0.0125
1964-02-01,0.0125
1964-03-01,0.0125
1964-04-01,0.0125
1964-05-01,0.0125
1964-06-01,0.0125
1964-07-01,0.0125
1964-08-01,0.0125
1964-09-01,0.0125
1964-10-01,0.0125
1964-11-01,0.0125
1964-12-01,0.0125
1965-01-01,0.0125
1965-02-01,0.0125
1965-03-01,0.0125
1965-04-01,0.0125
1965-05-01,0.0125
1965-06-01,0.0125
1965-07-01,0.0125
1965-08-01,0.0125
1965-09-01,0.0125
1965-10-01,0.0125
1965-11-01,0.0125
1965-12-01,0.0125
1966-01-01,0.0125
1966-02-01,0.0125
1966-03-01,0.0125
1966-04-01,0.0125
1966-05-01,0.0125
1966-06-01,0.0125
1966-07-01,0.0125
1966-08-01,0.0125
1966-09-01,0.0125
1966-10-01,0.0125
1966-11-01,0.0125
1966-12-01,0.0125
1967-01-01,0.0125
1967-02-01,0.0125
1967-03-01,0.0125
1967-04-01,0.0125
1967-05-01,0.0125
1967-06-01,0.0125
1967-07-01,0.0125
1967-08-01,0.0125
1967-09-01,0.0125
1967-10-01,0.0125
1967-11-01,0.0125
1967-12-01,0.0125
1968-01-01,0.0125
1968-02-01,0.0125
1968-03-01,0.0125
1968-04-01,0.0125
1968-05-01,0.0125
1968-06-01,0.0125
1968-07-01,0.0125
1968-08-01,0.0125
1968-09-01,0.0125
1968-10-01,0.0125
1968-11-01,0.0125
1968-12-01,0.0125
1969-01-01,0.0125
1969-02-01,0.0125
1969-03-01,0.0125
1969-04-01,0.0125
1969-05-01,0.0125
1969-06-01,0.0125
1969-07-01,0.0125
1969-08-01,0.0125
1969-09-01,0.0125
1969-10-01,0.0125
1969-11-01,0.0125
1969-12-01,0.0125
1970-01-01,0.0125
1970-02-01,0.0125
1970-03-01,0.0125
1970-04-01,0.0125
1970-05-01,0.0125
1970-06-01,0.0125
1970-07-01,0.0125
1970-08-01,0.0125
1970-09-01,0.0125
1970-10-01,0.0125
1970-11-01,0.0125
1970-12-01,0.0125
1971-01-01,0.0125
1971-02-01,0.0125
1971-03-01,0.0125
1971-04-01,0.0125
1971-05-01,0.0125
1971-06-01,0.0125
1971-07-01,0.0125
1971-08-01,0.0125
1971-09-01,0.0125
1971-10-01,0.0125
1971-11-01,0.0125
1971-12-01,0.0125
1972-01-01,0.0125
1972-02-01,0.0125
1972-03-01,0.0125
1972-04-01,0.0125
1972-05-01,0.0125
1972-06-01,0.0125
1972-07-01,0.0125
1972-08-01,0.0125
1972-09-01,0.0125
1972-10-01,0.0125
1972-11-01,0.0125
1972-12-01,0.0125
1973-01-01,0.0125
1973-02-01,0.0125
1973-03-01,0.0125
1973-04-01,0.0125
1973-05-01,0.0125
1973-06-01,0.0125
1973-07-01,0.0125
1973-08-01,0.0125
1973-09-01,0.0125
1973-10-01,0.0125
1973-11-01,0.0125
1973-12-01,0.0125
1974-01-01,0.0125
1974-02-01,0.0125
1974-03-01,0.0125
1974-04-01,0.0125
1974-05-01,0.0125
1974-06-01,0.0125
1974-07-01,0.0125
1974-08-01,0.0125
1974-09-01,0.0125
1974-10-01,0.0125
1974-11-01,0.0125
1974-12-01,0.0125
1975-01-01,0.0125
1975-02-01,0.0125
1975-03-01,0.0125
1975-04-01,0.0125
1975-05-01,0.0125
1975-06-01,0.0125
1975-07-01,0.0125
1975-08-01,0.0125
1975-09-01,0.0125
1975-10-01,0.0125
1975-11-01,0.0125
1975-12-01,0.0125
1976-01-01,0.012495
1976-02-01,0.012495
1976-03-01,0.012495
1976-04-01,0.012495
1976-05-01,0.012495
1976-06-01,0.012495
1976-07-01,0.012495
1976-08-01,0.012495
1976-09-01,0.02003750015
1976-10-01,0.02070825
1976-11-01,0.024299999952381
1976-12-01,0.02024475015
1977-01-01,0.0207426184285714
1977-02-01,0.0225412497
1977-03-01,0.0226193188181818
1977-04-01,0.0225657897894737
1977-05-01,0.0226523813333333
1977-06-01,0.0227999996818182
1977-07-01,0.0228466665238095
1977-08-01,0.0227991304347826
1977-09-01,0.0227739997
1977-10-01,0.02274900055
1977-11-01,0.022740001
1977-12-01,0.022740001
1978-01-01,0.022740001
1978-02-01,0.022740001
1978-03-01,0.022740001
1978-04-01,0.022740001
1978-05-01,0.0227276191428571
1978-06-01,0.02273
1978-07-01,0.0227438101904762
1978-08-01,0.022740001
1978-09-01,0.0227129992
1978-10-01,0.022709999
1978-11-01,0.022709999
1978-12-01,0.022709999
1979-01-01,0.022709999
1979-02-01,0.0227110516842105
1979-03-01,0.0227366666666667
1979-04-01,0.02275
1979-05-01,0.02275
1979-06-01,0.02275
1979-07-01,0.02275
1979-08-01,0.02275
1979-09-01,0.02275
1979-10-01,0.0227554548181818
1979-11-01,0.022770001
1979-12-01,0.022770001
1980-01-01,0.022770001
1980-02-01,0.022770001
1980-03-01,0.0227780006
1980-04-01,0.02280900095
1980-05-01,0.02285700015
1980-06-01,0.022896667
1980-07-01,0.0229508693913043
1980-08-01,0.0229771428571429
1980-09-01,0.0229742862380952
1980-10-01,0.0230313042173913
1980-11-01,0.0231199999473684
1980-12-01,0.0232000002631579
1981-01-01,0.0233371431428571
1981-02-01,0.0234718420526316
1981-03-01,0.0236413637727273
1981-04-01,0.0238490001
1981-05-01,0.0240547367894737
1981-06-01,0.0242672727272727
1981-07-01,0.0245108696521739
1981-08-01,0.0247352380952381
1981-09-01,0.02501600025
1981-10-01,0.0253171429047619
1981-11-01,0.0256284211052632
1981-12-01,0.0259661903809524
1982-01-01,0.02635499985
1982-02-01,0.0315457895263158
1982-03-01,0.0454669563478261
1982-04-01,0.04569000005
1982-05-01,0.04649
1982-06-01,0.04733
1982-07-01,0.04821
1982-08-01,0.0493127271363636
1982-09-01,0.07
1982-10-01,0.07
1982-11-01,0.07
1982-12-01,0.0702266663333333
1983-01-01,0.150166669761905
1983-02-01,0.15507500235
1983-03-01,0.160238097809524
1983-04-01,0.1534250023
1983-05-01,0.150159523571429
1983-06-01,0.149263637954545
1983-07-01,0.149445239285714
1983-08-01,0.151632610217391
1983-09-01,0.15277750115
1983-10-01,0.156977497
1983-11-01,0.162071428142857
1983-12-01,0.164928570380952
1984-01-01,0.165955908136364
1984-02-01,0.168567143190476
1984-03-01,0.172795236
1984-04-01,0.179302633473684
1984-05-01,0.198681818454545
1984-06-01,0.196857142428571
1984-07-01,0.195863632409091
1984-08-01,0.196499997565217
1984-09-01,0.19707500255
1984-10-01,0.202431820363636
1984-11-01,0.2099125012
1984-12-01,0.217947220666667
1985-01-01,0.226488636272727
1985-02-01,0.235868418526316
1985-03-01,0.24509999905
1985-04-01,0.2450375013
1985-05-01,0.254068180181818
1985-06-01,0.29297499955
1985-07-01,0.345956518695652
1985-08-01,0.339227269863636
1985-09-01,0.3719000026
1985-10-01,0.409260872913043
1985-11-01,0.4917500005
1985-12-01,0.466111111888889
1986-01-01,0.448363637363636
1986-02-01,0.475052631263158
1986-03-01,0.475666667
1986-04-01,0.502318181863636
1986-05-01,0.534500002909091
1986-06-01,0.634285713952381
1986-07-01,0.635434785652174
1986-08-01,0.680809526190476
1986-09-01,0.74354999965
1986-10-01,0.798434783565217
1986-11-01,0.847315794526316
1986-12-01,0.89425000845
1987-01-01,0.950380952571429
1987-02-01,1.01563158473684
1987-03-01,1.0824761902381
1987-04-01,1.15202499035
1987-05-01,1.23589474273684
1987-06-01,1.31221591881818
1987-07-01,1.39143479391304
1987-08-01,1.4624285697619
1987-09-01,1.53809999815
1987-10-01,1.61480952433333
1987-11-01,1.94952632873684
1987-12-01,2.30523805390476
1988-01-01,2.23909498465
1988-02-01,2.29382499455
1988-03-01,2.28126186428571
1988-04-01,2.2807999611
1988-05-01,2.2836666107619
1988-06-01,2.28413627381818
1988-07-01,2.284499884
1988-08-01,2.28402165769565
1988-09-01,2.284499884
1988-10-01,2.284499884
1988-11-01,2.284499884
1988-12-01,2.284499884
1989-01-01,2.29329543777273
1989-02-01,2.3314499856
1989-03-01,2.37235000145
1989-04-01,2.4130000116
1989-05-01,2.4563095227619
1989-06-01,2.49013637409091
1989-07-01,2.52069047528571
1989-08-01,2.55084782073913
1989-09-01,2.5821690557619
1989-10-01,2.6124881107619
1989-11-01,2.64469736494737
1989-12-01,2.67116667172222
1990-01-01,2.70217726445455
1990-02-01,2.73363159821053
1990-03-01,2.76303809033333
1990-04-01,2.79304212021053
1990-05-01,2.82184090395455
1990-06-01,2.84564282780952
1990-07-01,2.86711363359091
1990-08-01,2.87915215282609
1990-09-01,2.89257369542105
1990-10-01,2.91267727718182
1990-11-01,2.93282777727778
1990-12-01,2.94531055489474
1991-01-01,2.95819998868182
