Date,Denmark
1978-04-01,5.6110776186
1978-05-01,5.70102214805263
1978-06-01,5.63952144709091
1978-07-01,5.59826545715
1978-08-01,5.50423036309524
1978-09-01,5.43123149871429
1978-10-01,5.11786831513636
1978-11-01,5.26061948133333
1978-12-01,5.2390217515
1979-01-01,5.12649616327273
1979-02-01,5.1482426883
1979-03-01,5.18875414672727
1979-04-01,5.27612671089474
1979-05-01,5.39229558757143
1979-06-01,5.4221866758421
1979-07-01,5.24355307085714
1979-08-01,5.27351881113043
1979-09-01,5.1889719486
1979-10-01,5.23564485882609
1979-11-01,5.25728602638095
1979-12-01,5.37327482961111
1980-01-01,5.38498711590909
1980-02-01,5.4542918887619
1980-03-01,5.77647188733333
1980-04-01,5.830028534
1980-05-01,5.59334694016667
1980-06-01,5.48748259794737
1980-07-01,5.41153279595652
1980-08-01,5.53804754066667
1980-09-01,5.53576855222727
1980-10-01,5.67258187704762
1980-11-01,5.89607457110526
1980-12-01,6.04886972905
1981-01-01,6.17520682028571
1981-02-01,6.61517493725
1981-03-01,6.617464179
1981-04-01,6.802254939
1981-05-01,7.20863262827778
1981-06-01,7.4657608866875
1981-07-01,7.64768273172727
1981-08-01,7.86371461968421
1981-09-01,7.38751342086364
1981-10-01,7.2102197648
1981-11-01,7.12564649078947
1981-12-01,7.32098087505263
1982-01-01,7.4918967963
1982-02-01,7.79369504465
1982-03-01,8.03516968443478
1982-04-01,8.1589675188
1982-05-01,7.83730680068421
1982-06-01,8.34250974655
1982-07-01,8.52963719375
1982-08-01,8.63648152345
1982-09-01,8.79434368822727
1982-10-01,8.90277910225
1982-11-01,8.95243745388889
1982-12-01,8.52361748427273
1983-01-01,8.40170488857895
1983-02-01,8.57052316675
1983-03-01,8.61283857181818
1983-04-01,8.66801002288889
1983-05-01,8.80597238545
1983-06-01,9.12381508478947
1983-07-01,9.2974001567619
1983-08-01,9.63063591168182
1983-09-01,9.58993903086364
1983-10-01,9.41076074314286
1983-11-01,9.67719250633333
1983-12-01,9.94880635361905
1984-01-01,10.162139589
1984-02-01,9.85545421771429
1984-03-01,9.511872595
1984-04-01,9.71149248241177
1984-05-01,10.0636321176111
1984-06-01,10.0491450463684
1984-07-01,10.4207023268182
1984-08-01,10.5278109204545
1984-09-01,10.9522328375
1984-10-01,11.0856764426087
1984-11-01,10.8029845114286
1984-12-01,11.1195717911111
1985-01-01,11.3192703619048
1985-02-01,11.799271154
1985-03-01,11.8028708866667
1985-04-01,11.0700037955
1985-05-01,11.1748502636842
1985-06-01,11.0004833631579
1985-07-01,10.4704830743478
1985-08-01,10.1021706261905
1985-09-01,10.2975507464286
1985-10-01,9.59062721421739
1985-11-01,9.38206690838095
1985-12-01,9.12433172515789
1986-01-01,8.95878592395455
1986-02-01,8.60534195905
1986-03-01,8.36334549757895
1986-04-01,8.3502100945
1986-05-01,8.24342415061111
1986-06-01,8.2858842373
1986-07-01,8.04758130413636
1986-08-01,7.7744031431
1986-09-01,7.71562168822727
1986-10-01,7.54213068713636
1986-11-01,7.64360362605263
1986-12-01,7.53905948826316
1987-01-01,7.04690068119048
1987-02-01,6.8965271473
1987-03-01,6.90109094704545
1987-04-01,6.8259851456
1987-05-01,6.71905113531579
1987-06-01,6.84923389227778
1987-07-01,7.00620614395455
1987-08-01,7.12478912447619
1987-09-01,6.98190019340909
1987-10-01,6.92228074513636
1987-11-01,6.49090792
1987-12-01,6.29534769057143
1988-01-01,6.34461085785
1988-02-01,6.48882137033333
1988-03-01,6.42437178143478
1988-04-01,6.41614976689474
1988-05-01,6.48499422085
1988-06-01,6.67440264235
1988-07-01,7.01245716647619
1988-08-01,7.20624618947826
1988-09-01,7.16753706059091
1988-10-01,7.01635496961905
1988-11-01,6.74868240814286
1988-12-01,6.77775239947619
1989-01-01,7.1069929361
1989-02-01,7.20337605475
1989-03-01,7.27055356604762
1989-04-01,7.27615191935
1989-05-01,7.59290670094737
1989-06-01,7.69747697222727
1989-07-01,7.35937415985714
1989-08-01,7.487881162
1989-09-01,7.57624567114286
1989-10-01,7.27571398559091
1989-11-01,7.10832904633333
1989-12-01,6.76589210410526
1990-01-01,6.55720905822727
1990-02-01,6.46600000473684
1990-03-01,6.52630910009091
1990-04-01,6.43723156578947
1990-05-01,6.33283810385714
1990-06-01,6.40985265526316
1990-07-01,6.24087728159091
1990-08-01,6.00602174843478
1990-09-01,5.9938800096
1990-10-01,5.8174652223913
1990-11-01,5.69867615466667
1990-12-01,5.74998325777778
1991-01-01,5.81259996240909
1991-02-01,5.69325499545
1991-03-01,6.15205502505
1991-04-01,6.51283809123809
1991-05-01,6.56360535878947
1991-06-01,6.87509498605
1991-07-01,6.91572606056522
1991-08-01,6.75192860190476
1991-09-01,6.50601421080952
1991-10-01,6.5326317875
1991-11-01,6.3098150014
1991-12-01,6.08801905309524
1992-01-01,6.12158183613636
1992-02-01,6.2770750046
1992-03-01,6.44564544086364
1992-04-01,6.3859649658
1992-05-01,6.25823685994737
1992-06-01,6.06122498505
1992-07-01,5.75232172004348
1992-08-01,5.59790477295238
1992-09-01,5.61406816145455
1992-10-01,5.71558635895455
1992-11-01,6.1148500442
1992-12-01,6.11596999165
1993-01-01,6.235525012
1993-02-01,6.30417504315
1993-03-01,6.32589995330435
1993-04-01,6.1245850325
1993-05-01,6.17022100252632
1993-06-01,6.32628097980952
1993-07-01,6.64099090754545
1993-08-01,6.91434543781818
1993-09-01,6.64615908536364
1993-10-01,6.62657619647619
1993-11-01,6.766576222
1993-12-01,6.70479054695238
1994-01-01,6.77046189995238
1994-02-01,6.774849987
1994-03-01,6.63120435617391
1994-04-01,6.65873161121053
1994-05-01,6.48930494795
1994-06-01,6.38904088186364
1994-07-01,6.17119051166667
1994-08-01,6.18621303726087
1994-09-01,6.11206366804545
1994-10-01,5.95392851609524
1994-11-01,6.02293804719048
1994-12-01,6.16269994919048
1995-01-01,6.03285712280952
1995-02-01,5.9222150086
1995-03-01,5.62983046408696
1995-04-01,5.43649445638889
1995-05-01,5.50957143871429
1995-06-01,5.46644003385
1995-07-01,5.4121666407619
1995-08-01,5.60217830417391
1995-09-01,5.67015711471429
1995-10-01,5.49321811840909
1995-11-01,5.48895003577273
1995-12-01,5.58083157784211
1996-01-01,5.65387728
1996-02-01,5.67159521014286
1996-03-01,5.70773810428571
1996-04-01,5.806671415
1996-05-01,5.9178499937
1996-06-01,5.8893499851
1996-07-01,5.80280869930435
1996-08-01,5.73127727272727
1996-09-01,5.80110952380952
1996-10-01,5.85730434782609
1996-11-01,5.8032
1996-12-01,5.93621
1997-01-01,6.11478636363636
1997-02-01,6.38281
1997-03-01,6.46904761904762
1997-04-01,6.51772380952381
1997-05-01,6.4902
1997-06-01,6.5747
1997-07-01,6.82185652173913
1997-08-01,7.018225
1997-09-01,6.80585238095238
1997-10-01,6.68947826086957
1997-11-01,6.59278421052632
1997-12-01,6.77143
1998-01-01,6.91733333333333
1998-02-01,6.91657
1998-03-01,6.94959090909091
1998-04-01,6.91903
1998-05-01,6.754945
1998-06-01,6.81903181818182
1998-07-01,6.85063043478261
1998-08-01,6.80971904761905
1998-09-01,6.48639090909091
1998-10-01,6.22738636363636
1998-11-01,6.38852380952381
1998-12-01,6.35272727272727
1999-01-01,6.41234
1999-02-01,6.637125
1999-03-01,6.83047826086957
1999-04-01,6.94355714285714
1999-05-01,6.99460476190476
1999-06-01,7.16103636363636
1999-07-01,7.18384285714286
1999-08-01,7.01653181818182
1999-09-01,7.08284090909091
1999-10-01,6.94249047619048
1999-11-01,7.19977619047619
1999-12-01,7.35434285714286
2000-01-01,7.340665
2000-02-01,7.5782619047619
2000-03-01,7.7155652173913
2000-04-01,7.866765
2000-05-01,8.23413043478261
2000-06-01,7.85134090909091
2000-07-01,7.92343333333333
2000-08-01,8.24592173913043
2000-09-01,8.56835
2000-10-01,8.70817272727273
2000-11-01,8.70589545454546
2000-12-01,8.317835
2001-01-01,7.95163636363636
2001-02-01,8.096085
2001-03-01,8.16833181818182
2001-04-01,8.363835
2001-05-01,8.52706086956522
2001-06-01,8.73272380952381
2001-07-01,8.64781818181818
2001-08-01,8.27557826086957
2001-09-01,8.16373
2001-10-01,8.20902608695652
2001-11-01,8.38186363636364
2001-12-01,8.33207222222222
2002-01-01,8.4105
2002-02-01,8.53915330665
2002-03-01,8.47726983552381
2002-04-01,8.38600176409091
2002-05-01,8.099285107
2002-06-01,7.7725285521
2002-07-01,7.48749620278261
2002-08-01,7.59382862390909
2002-09-01,7.56966891652381
2002-10-01,7.56874719595652
2002-11-01,7.41667299528571
2002-12-01,7.29015301736842
2003-01-01,6.98157553686364
2003-02-01,6.8935791839
