Date,Portugal
1960-01-01,0.143151504873255
1960-02-01,0.142930038606957
1960-03-01,0.142827785038058
1960-04-01,0.142689119222673
1960-05-01,0.142778902844146
1960-06-01,0.142901607126824
1960-07-01,0.142774912460969
1960-08-01,0.14269310960585
1960-09-01,0.142599335601201
1960-10-01,0.142623776698157
1960-11-01,0.142546463024112
1960-12-01,0.142717550702806
1961-01-01,0.142807334324278
1961-02-01,0.143082171965563
1961-03-01,0.142909587893177
1961-04-01,0.142840254985485
1961-05-01,0.143123073393123
1961-06-01,0.143271216368552
1961-07-01,0.143345038457318
1961-08-01,0.143024311409503
1961-09-01,0.142754461747189
1961-10-01,0.142460669785816
1961-11-01,0.142554443790465
1961-12-01,0.142432238305683
1962-01-01,0.142513542362905
1962-02-01,0.142533993076685
1962-03-01,0.14245667940264
1962-04-01,0.142383356111771
1962-05-01,0.142310531618799
1962-06-01,0.142469149350066
1962-07-01,0.142513542362905
1962-08-01,0.142530002693509
1962-09-01,0.142440219072036
1962-10-01,0.142926048223781
1962-11-01,0.142922057840604
1962-12-01,0.142914077074251
1963-01-01,0.142922057840604
1963-02-01,0.142922057840604
1963-03-01,0.142918067457428
1963-04-01,0.142918067457428
1963-05-01,0.142922057840604
1963-06-01,0.142922057840604
1963-07-01,0.142922057840604
1963-08-01,0.142950489320737
1963-09-01,0.142999870312547
1963-10-01,0.143073692401313
1963-11-01,0.143024311409503
1963-12-01,0.143028800590577
1964-01-01,0.143082171965563
1964-02-01,0.143135543340549
1964-03-01,0.14305723207071
1964-04-01,0.1430078510789
1964-05-01,0.143028800590577
1964-06-01,0.143139533723726
1964-07-01,0.143349028840494
1964-08-01,0.143555531169881
1964-09-01,0.143687712612604
1964-10-01,0.143828872417474
1964-11-01,0.14380393252262
1964-12-01,0.143427340110334
1965-01-01,0.143402899013378
1965-02-01,0.143225825759919
1965-03-01,0.143262736804302
1965-04-01,0.143242286090522
1965-05-01,0.143254756037949
1965-06-01,0.143316108179288
1965-07-01,0.143341048074141
1965-08-01,0.143435819674584
1965-09-01,0.143390429065951
1965-10-01,0.143040771740106
1965-11-01,0.142807334324278
1965-12-01,0.142831775421235
1966-01-01,0.142790873993675
1966-02-01,0.142836264602308
1966-03-01,0.14305723207071
1966-04-01,0.143192905098712
1966-05-01,0.143213355812492
1966-06-01,0.143308127412935
1966-07-01,0.143427340110334
1966-08-01,0.143431829291408
1966-09-01,0.143443800440937
1966-10-01,0.143304137029758
1966-11-01,0.143357508404745
1966-12-01,0.143402899013378
1967-01-01,0.143390429065951
1967-02-01,0.143402899013378
1967-03-01,0.143287676699155
1967-04-01,0.143094143115093
1967-05-01,0.143209365429315
1967-06-01,0.143291667082332
1967-07-01,0.143381949501701
1967-08-01,0.143472730718967
1967-09-01,0.1435181213276
1967-10-01,0.143596931395337
1967-11-01,0.143936612763241
1967-12-01,0.143262736804302
1968-01-01,0.143082171965563
1968-02-01,0.143061222453886
1968-03-01,0.143110603445696
1968-04-01,0.142958968884987
1968-05-01,0.143028800590577
1968-06-01,0.14305723207071
1968-07-01,0.143073692401313
1968-08-01,0.143073692401313
1968-09-01,0.143143524106902
1968-10-01,0.143151504873255
1968-11-01,0.143106613062519
1968-12-01,0.142979419598767
1969-01-01,0.142819804271705
1969-02-01,0.142615795931804
1969-03-01,0.142342953482108
1969-04-01,0.142367394579064
1969-05-01,0.142574894504245
1969-06-01,0.142558434173642
1969-07-01,0.142469149350066
1969-08-01,0.142387346494947
1969-09-01,0.142395826059197
1969-10-01,0.142358915014814
1969-11-01,0.142383356111771
1969-12-01,0.142273620574416
1970-01-01,0.142123981205295
1970-02-01,0.142091559341986
1970-03-01,0.142221246795224
1970-04-01,0.142428247922507
1970-05-01,0.142379365728594
1970-06-01,0.142603325984378
1970-07-01,0.142868686465618
1970-08-01,0.142930038606957
1970-09-01,0.142979419598767
1970-10-01,0.142950489320737
1970-11-01,0.142823794654882
1970-12-01,0.142844245368662
1971-01-01,0.142513542362905
1971-02-01,0.142387346494947
1971-03-01,0.14243622868886
1971-04-01,0.142513542362905
1971-05-01,0.142460669785816
1971-06-01,0.14240380682555
1971-07-01,0.142448698636287
1971-08-01,0.141346355283766
1971-09-01,0.138670304565996
1971-10-01,0.137504613880548
1971-11-01,0.137251224548837
1971-12-01,0.136679602158797
1972-01-01,0.136754421843358
1972-02-01,0.13594936203749
1972-03-01,0.135065990961782
1972-04-01,0.134992667670913
1972-05-01,0.134537763988787
1972-06-01,0.13450833491286
1972-07-01,0.13416466316178
1972-08-01,0.134045949262278
1972-09-01,0.134010035813689
1972-10-01,0.134519308466595
1972-11-01,0.134301832583474
1972-12-01,0.133912770223761
1973-01-01,0.133583563611696
1973-02-01,0.128685867060384
1973-03-01,0.12233916261809
1973-04-01,0.127259803872667
1973-05-01,0.125253638730659
1973-06-01,0.117292325495556
1973-07-01,0.11091020640257
1973-08-01,0.114738480262567
1973-09-01,0.116063786275077
1973-10-01,0.115775481090572
1973-11-01,0.120984427529654
1973-12-01,0.126026276673218
1974-01-01,0.133467343701679
1974-02-01,0.129124310411907
1974-03-01,0.125919035125348
1974-04-01,0.123568200636466
1974-05-01,0.120257180195728
1974-06-01,0.123880946917928
1974-07-01,0.124725411757664
1974-08-01,0.125596811683842
1974-09-01,0.129750301772728
1974-10-01,0.127000428966191
1974-11-01,0.124786763899003
1974-12-01,0.122921758561866
1975-01-01,0.121964565397392
1975-02-01,0.120981933540168
1975-03-01,0.120684151195619
1975-04-01,0.122685328358656
1975-05-01,0.121504673736296
1975-06-01,0.121105635418641
