Date,Luxembourg
1960-01-01,1.23717956663254
1960-02-01,1.23650033837466
1960-03-01,1.23631441823108
1960-04-01,1.23569964228964
1960-05-01,1.23606900364156
1960-06-01,1.23619295040394
1960-07-01,1.23693167310777
1960-08-01,1.24226386282564
1960-09-01,1.23798274165281
1960-10-01,1.23569964228964
1960-11-01,1.23146314195127
1960-12-01,1.23140116857008
1961-01-01,1.23489894620463
1961-02-01,1.23785879489042
1961-03-01,1.23686969972657
1961-04-01,1.2403972245841
1961-05-01,1.24052117134648
1961-06-01,1.23835210300472
1961-07-01,1.23446761147152
1961-08-01,1.23452958485271
1961-09-01,1.23428417026319
1961-10-01,1.234222196882
1961-11-01,1.234222196882
1961-12-01,1.2341602235008
1962-01-01,1.2341602235008
1962-02-01,1.2341602235008
1962-03-01,1.2341602235008
1962-04-01,1.23452958485271
1962-05-01,1.23397678229247
1962-06-01,1.23342397973223
1962-07-01,1.23311659176151
1962-08-01,1.23299512393437
1962-09-01,1.23373136770294
1962-10-01,1.23366939432175
1962-11-01,1.23342397973223
1962-12-01,1.23342397973223
1963-01-01,1.2341602235008
1963-02-01,1.23496091958582
1963-03-01,1.23643836499347
1963-04-01,1.23588308349798
1963-05-01,1.23606900364156
1963-06-01,1.23724154001373
1963-07-01,1.23711759325135
1963-08-01,1.23705561987015
1963-09-01,1.23717956663254
1963-10-01,1.23785879489042
1963-11-01,1.23582111011678
1963-12-01,1.23533028093773
1964-01-01,1.23508238741296
1964-02-01,1.23526830755654
1964-03-01,1.23514436079415
1964-04-01,1.23440563809033
1964-05-01,1.23397678229247
1964-06-01,1.23575913673559
1964-07-01,1.234222196882
1964-08-01,1.23311659176151
1964-09-01,1.23170855654079
1964-10-01,1.23048396252841
1964-11-01,1.23030300025533
1964-12-01,1.2306079092908
1965-01-01,1.23036249470128
1965-02-01,1.23042446808247
1965-03-01,1.2306079092908
1965-04-01,1.23042446808247
1965-05-01,1.23042446808247
1965-06-01,1.23042446808247
1965-07-01,1.23054593590961
