Date,Bitcoin
2014-12-05,375.7750000000000000
2014-12-12,365.8750000000000000
2014-12-19,340.0000000000000000
2014-12-26,.
2015-01-02,.
2015-01-09,288.9900000000000000
2015-01-16,195.9200000000000000
2015-01-23,219.0566666666666667
2015-01-30,247.5500000000000000
2015-02-06,225.8457142857142857
2015-02-13,224.9242857142857143
2015-02-20,242.2042857142857143
2015-02-27,241.7000000000000000
2015-03-06,271.3228571428571429
2015-03-13,287.5842857142857143
2015-03-20,276.5600000000000000
2015-03-27,255.6571428571428571
2015-04-03,249.7985714285714286
2015-04-10,250.7214285714285714
2015-04-17,228.5228571428571429
2015-04-24,230.1128571428571429
2015-05-01,228.1557142857142857
2015-05-08,237.9657142857142857
2015-05-15,240.0800000000000000
2015-05-22,235.8914285714285714
2015-05-29,237.9971428571428571
2015-06-05,226.9385714285714286
2015-06-12,227.9342857142857143
2015-06-19,243.1171428571428571
2015-06-26,244.0414285714285714
2015-07-03,256.1257142857142857
2015-07-10,270.8414285714285714
2015-07-17,290.3771428571428571
2015-07-24,279.2914285714285714
2015-07-31,291.0614285714285714
2015-08-07,281.8528571428571429
2015-08-14,266.3671428571428571
2015-08-21,242.3871428571428571
2015-08-28,225.6300000000000000
2015-09-04,229.6542857142857143
2015-09-11,240.1314285714285714
2015-09-18,232.2542857142857143
2015-09-25,232.1614285714285714
2015-10-02,236.9871428571428571
2015-10-09,242.6671428571428571
2015-10-16,252.0228571428571429
2015-10-23,271.0785714285714286
2015-10-30,300.1785714285714286
2015-11-06,369.2742857142857143
2015-11-13,351.8671428571428571
2015-11-20,330.1871428571428571
2015-11-27,333.4928571428571429
2015-12-04,364.9671428571428571
2015-12-11,410.8900000000000000
2015-12-18,450.2314285714285714
2015-12-25,446.8928571428571429
2016-01-01,427.7028571428571429
2016-01-08,439.8400000000000000
2016-01-15,429.1285714285714286
2016-01-22,391.1628571428571429
2016-01-29,389.5100000000000000
2016-02-05,376.0042857142857143
2016-02-12,376.4957142857142857
2016-02-19,408.7242857142857143
2016-02-26,430.2671428571428571
2016-03-04,426.1300000000000000
2016-03-11,410.1257142857142857
2016-03-18,413.9514285714285714
2016-03-25,413.8600000000000000
