Date,Japan
1979-05-01,60.57889
1979-06-01,60.72858
1979-07-01,60.06957
1979-08-01,60.46970
1979-09-01,61.66231
1979-10-01,63.92375
1979-11-01,67.95121
1979-12-01,66.79298
1980-01-01,66.04610
1980-02-01,67.72793
1980-03-01,68.98585
1980-04-01,69.77381
1980-05-01,63.31033
1980-06-01,60.51979
1980-07-01,61.18318
1980-08-01,62.26474
1980-09-01,59.64757
1980-10-01,58.07244
1980-11-01,59.12402
1980-12-01,58.24758
1981-01-01,56.11186
1981-02-01,57.09814
1981-03-01,58.00003
1981-04-01,59.68134
1981-05-01,61.26650
1981-06-01,62.19801
1981-07-01,64.51383
1981-08-01,64.83031
1981-09-01,63.77749
1981-10-01,64.21828
1981-11-01,62.10120
1981-12-01,60.77888
1982-01-01,62.34803
1982-02-01,65.29977
1982-03-01,66.77129
1982-04-01,67.79099
1982-05-01,65.75940
1982-06-01,69.68380
1982-07-01,70.75299
1982-08-01,71.78713
1982-09-01,72.91076
1982-10-01,75.28964
1982-11-01,73.65486
1982-12-01,67.38243
1983-01-01,64.64260
1983-02-01,65.54222
1983-03-01,66.03339
1983-04-01,65.96087
1983-05-01,65.17818
1983-06-01,66.60643
1983-07-01,66.73714
1983-08-01,67.81113
1983-09-01,67.34144
1983-10-01,64.66140
1983-11-01,65.24582
1983-12-01,65.04271
1984-01-01,64.92193
1984-02-01,64.83600
1984-03-01,62.58202
1984-04-01,62.44437
1984-05-01,64.05093
1984-06-01,64.71812
1984-07-01,67.35505
1984-08-01,67.23984
1984-09-01,68.07266
1984-10-01,68.51362
1984-11-01,67.51217
1984-12-01,68.81127
1985-01-01,70.52045
1985-02-01,72.24461
1985-03-01,71.71674
1985-04-01,69.83922
1985-05-01,69.89034
1985-06-01,69.07625
1985-07-01,67.07056
1985-08-01,65.82362
1985-09-01,65.83073
1985-10-01,59.63895
1985-11-01,56.70564
1985-12-01,56.26256
1986-01-01,55.52777
1986-02-01,51.22679
1986-03-01,49.61242
1986-04-01,48.72135
1986-05-01,46.29955
1986-06-01,46.57203
1986-07-01,44.02502
1986-08-01,42.76590
1986-09-01,42.95183
1986-10-01,43.30324
1986-11-01,45.14469
1986-12-01,45.02148
1987-01-01,42.86859
1987-02-01,42.59386
1987-03-01,42.06154
1987-04-01,39.66925
1987-05-01,38.98211
1987-06-01,40.10327
1987-07-01,41.68182
1987-08-01,40.95395
1987-09-01,39.69713
1987-10-01,39.79890
1987-11-01,37.57968
1987-12-01,35.60383
1988-01-01,35.35717
1988-02-01,35.88426
1988-03-01,35.29941
1988-04-01,34.64871
1988-05-01,34.61678
1988-06-01,35.29252
1988-07-01,36.93586
1988-08-01,37.10377
1988-09-01,37.31735
1988-10-01,35.75302
1988-11-01,34.17362
1988-12-01,34.30802
1989-01-01,35.27461
1989-02-01,35.50194
1989-03-01,36.16704
1989-04-01,36.62313
1989-05-01,38.31754
1989-06-01,39.93576
1989-07-01,39.03509
1989-08-01,39.18045
1989-09-01,40.25396
1989-10-01,39.44354
1989-11-01,39.83588
1989-12-01,39.88768
1990-01-01,40.28685
1990-02-01,40.36615
1990-03-01,42.51113
1990-04-01,44.01341
1990-05-01,42.52143
1990-06-01,42.66871
1990-07-01,41.41824
1990-08-01,40.93763
1990-09-01,38.54993
1990-10-01,36.00945
1990-11-01,35.77933
1990-12-01,37.10955
1991-01-01,37.07216
