Date,Czech
2010-05-01,73.76721
2010-06-01,76.27723
2010-07-01,71.50732
2010-08-01,69.46484
2010-09-01,68.05255
2010-10-01,63.86062
2010-11-01,65.33170
2010-12-01,68.84525
2011-01-01,66.07115
2011-02-01,64.23994
2011-03-01,62.91250
2011-04-01,60.66555
2011-05-01,61.57013
2011-06-01,60.89226
2011-07-01,61.55535
2011-08-01,61.19236
2011-09-01,64.53250
2011-10-01,65.43403
2011-11-01,67.87465
2011-12-01,70.11607
2012-01-01,71.51291
2012-02-01,68.29564
2012-03-01,67.48779
2012-04-01,68.05657
2012-05-01,71.53099
2012-06-01,73.84730
2012-07-01,74.86000
2012-08-01,72.80498
2012-09-01,69.49624
2012-10-01,69.45937
2012-11-01,71.41147
2012-12-01,69.28964
2013-01-01,69.42052
2013-02-01,68.94573
2013-03-01,71.56012
2013-04-01,71.65151
2013-05-01,72.08476
2013-06-01,70.64900
2013-07-01,71.75525
2013-08-01,70.16474
2013-09-01,69.88422
2013-10-01,68.07655
2013-11-01,72.17725
2013-12-01,72.64571
2014-01-01,73.00266
2014-02-01,72.67961
2014-03-01,71.68310
2014-04-01,71.88383
2014-05-01,72.25984
2014-06-01,73.04862
2014-07-01,73.35556
2014-08-01,75.55627
2014-09-01,77.38043
2014-10-01,78.75315
2014-11-01,80.24432
2014-12-01,81.13616
2015-01-01,86.66310
2015-02-01,87.97938
2015-03-01,91.39898
2015-04-01,92.00286
2015-05-01,88.84153
2015-06-01,88.09612
2015-07-01,89.09178
2015-08-01,87.81257
2015-09-01,87.31598
2015-10-01,87.28244
2015-11-01,91.08772
2015-12-01,89.87684
2016-01-01,90.01105
2016-02-01,88.17617
2016-03-01,88.12902
2016-04-01,86.21607
2016-05-01,86.42816
2016-06-01,87.17114
2016-07-01,88.34272
2016-08-01,87.18623
2016-09-01,87.17410
2016-10-01,88.64087
2016-11-01,90.57889
2016-12-01,92.78086
2017-01-01,92.07997
2017-02-01,91.83534
2017-03-01,91.48234
2017-04-01,90.53664
2017-05-01,87.03164
2017-06-01,84.59908
2017-07-01,81.96052
2017-08-01,79.96643
2017-09-01,79.16041
2017-10-01,79.28136
2017-11-01,78.70904
2017-12-01,78.39497
2018-01-01,75.54734
2018-02-01,74.16984
2018-03-01,74.57031
2018-04-01,74.73951
2018-05-01,78.42116
2018-06-01,79.84317
2018-07-01,80.09010
2018-08-01,80.44703
2018-09-01,79.42451
2018-10-01,81.32849
2018-11-01,82.52585
2018-12-01,82.06697
2019-01-01,81.27596
2019-02-01,81.97833
