Date,Lithuania
2012-04-01,81.40062
2012-05-01,83.44099
2012-06-01,85.53416
2012-07-01,86.98758
2012-08-01,86.66149
2012-09-01,83.66149
2012-10-01,82.69876
2012-11-01,83.56832
2012-12-01,81.77950
2013-01-01,80.92857
2013-02-01,80.04969
2013-03-01,82.65839
2013-04-01,82.49379
2013-05-01,82.57143
2013-06-01,81.33851
2013-07-01,81.98758
2013-08-01,80.56211
2013-09-01,80.35404
2013-10-01,78.68944
2013-11-01,79.33851
2013-12-01,78.34783
2014-01-01,78.62733
2014-02-01,78.62733
2014-03-01,77.63354
2014-04-01,77.65217
2014-05-01,77.96273
2014-06-01,78.84472
2014-07-01,79.08075
2014-08-01,80.45652
2014-09-01,82.94720
2014-10-01,84.51863
2014-11-01,85.81988
2014-12-01,86.88199
2015-01-01,92.20721
2015-02-01,94.42261
2015-03-01,99.13104
2015-04-01,99.15385
2015-05-01,96.09047
2015-06-01,95.60157
2015-07-01,97.44859
2015-08-01,96.33149
2015-09-01,95.58773
2015-10-01,95.46924
2015-11-01,100.02075
2015-12-01,98.48536
2016-01-01,98.84092
2016-02-01,96.68938
2016-03-01,96.34841
2016-04-01,94.55714
2016-05-01,94.85637
2016-06-01,95.46470
2016-07-01,96.96915
2016-08-01,95.67580
2016-09-01,95.64027
2016-10-01,97.33005
2016-11-01,99.47393
2016-12-01,101.74515
2017-01-01,100.87615
2017-02-01,100.72783
2017-03-01,100.29391
2017-04-01,100.08246
2017-05-01,96.98638
2017-06-01,95.43541
2017-07-01,93.09325
2017-08-01,90.78580
2017-09-01,90.01795
2017-10-01,91.21904
2017-11-01,91.33256
2017-12-01,90.64131
2018-01-01,87.92061
2018-02-01,86.88735
2018-03-01,86.96703
2018-04-01,87.38724
2018-05-01,90.83834
2018-06-01,91.82768
2018-07-01,91.76649
2018-08-01,92.84633
2018-09-01,91.90281
2018-10-01,93.37260
2018-11-01,94.35712
2018-12-01,94.22774
2019-01-01,93.90399
2019-02-01,94.50946
2019-03-01,94.92162
2019-04-01,95.43434
2019-05-01,95.85236
2019-06-01,94.93554
