Date,Cyprus
2014-05-01,90.66868
2014-06-01,91.59852
2014-07-01,92.00718
2014-08-01,93.50935
2014-09-01,96.53155
2014-10-01,98.25684
2014-11-01,99.79146
2014-12-01,101.13984
2015-01-01,107.08058
2015-02-01,109.65333
2015-03-01,115.12124
2015-04-01,115.14774
2015-05-01,111.59023
2015-06-01,111.02246
2015-07-01,113.16741
2015-08-01,111.87011
2015-09-01,111.00638
2015-10-01,110.86878
2015-11-01,116.15447
2015-12-01,114.37142
2016-01-01,114.78433
2016-02-01,112.28574
2016-03-01,111.88977
2016-04-01,109.80956
2016-05-01,110.15706
2016-06-01,110.86352
2016-07-01,112.61063
2016-08-01,111.10867
2016-09-01,111.06740
2016-10-01,113.02975
2016-11-01,115.51945
2016-12-01,118.15703
2017-01-01,117.14786
2017-02-01,116.97560
2017-03-01,116.47169
2017-04-01,116.22614
2017-05-01,112.63065
2017-06-01,110.82950
2017-07-01,108.10954
2017-08-01,105.42988
2017-09-01,104.53818
2017-10-01,105.93301
2017-11-01,106.06484
2017-12-01,105.26209
2018-01-01,102.10254
2018-02-01,100.90261
2018-03-01,100.99514
2018-04-01,101.48313
2018-05-01,105.49090
2018-06-01,106.63983
2018-07-01,106.56877
2018-08-01,107.82279
2018-09-01,106.72708
2018-10-01,108.43395
2018-11-01,109.57727
2018-12-01,109.42703
2019-01-01,109.05106
2019-02-01,109.75419
2019-03-01,110.23283
2019-04-01,110.82825
2019-05-01,111.31370
2019-06-01,110.24900
2019-07-01,111.04023
2019-08-01,111.93439
2019-09-01,113.12172
2019-10-01,112.65241
2019-11-01,112.69875
2019-12-01,112.06876
2020-01-01,112.16497
2020-02-01,114.18384
2020-03-01,112.80228
2020-04-01,114.53563
2020-05-01,114.18055
2020-06-01,110.59516
2020-07-01,108.53833
2020-08-01,105.26897
2020-09-01,105.67054
2020-10-01,105.79716
2020-11-01,105.23968
2020-12-01,102.34780
2021-01-01,102.32629
2021-02-01,102.95144
2021-03-01,104.65993
2021-04-01,104.10802
2021-05-01,102.47792
2021-06-01,103.35843
2021-07-01,105.31004
2021-08-01,105.82422
2021-09-01,105.80084
2021-10-01,107.34275
2021-11-01,109.17845
2021-12-01,110.18614
2022-01-01,110.00495
2022-02-01,109.77100
2022-03-01,112.98463
2022-04-01,115.29483
2022-05-01,117.71960
2022-06-01,117.86518
2022-07-01,122.31527
2022-08-01,122.91664
2022-09-01,125.82519
2022-10-01,126.55255
2022-11-01,122.04740
2022-12-01,117.62230
2023-01-01,115.62563
2023-02-01,116.33529
2023-03-01,116.26482
2023-04-01,113.57460
2023-05-01,114.70493
2023-06-01,114.86710
2023-07-01,112.64022
2023-08-01,114.15263
2023-09-01,116.65199
2023-10-01,117.93084
2023-11-01,115.14309
2023-12-01,114.10566
