Date,Portugal
1979-05-01,172.40490
1979-06-01,172.59724
1979-07-01,169.56058
1979-08-01,171.29024
1979-09-01,171.69757
1979-10-01,173.88996
1979-11-01,175.06768
1979-12-01,173.63350
1980-01-01,173.64012
1980-02-01,168.56997
1980-03-01,173.08994
1980-04-01,175.50951
1980-05-01,171.45227
1980-06-01,170.42158
1980-07-01,169.97766
1980-08-01,173.06415
1980-09-01,173.31573
1980-10-01,176.22869
1980-11-01,180.60301
1980-12-01,184.50415
1981-01-01,187.02198
1981-02-01,196.41977
1981-03-01,197.27519
1981-04-01,202.40529
1981-05-01,211.73060
1981-06-01,218.90220
1981-07-01,225.36717
1981-08-01,232.12483
1981-09-01,226.59577
1981-10-01,224.67726
1981-11-01,223.30928
1981-12-01,226.91843
1982-01-01,231.33979
1982-02-01,238.50860
1982-03-01,243.69445
1982-04-01,249.79216
1982-05-01,244.97915
1982-06-01,271.39373
1982-07-01,293.07997
1982-08-01,297.54210
1982-09-01,304.81092
1982-10-01,311.66161
1982-11-01,319.15029
1982-12-01,313.61288
1983-01-01,314.25610
1983-02-01,321.14372
1983-03-01,329.21326
1983-04-01,340.44802
1983-05-01,345.06939
1983-06-01,371.31045
1983-07-01,413.52995
1983-08-01,428.20104
1983-09-01,432.81195
1983-10-01,431.81541
1983-11-01,445.44327
1983-12-01,459.00980
1984-01-01,471.33902
1984-02-01,465.35421
1984-03-01,456.87351
1984-04-01,467.59886
1984-05-01,486.90177
1984-06-01,491.11442
1984-07-01,513.62681
1984-08-01,524.09188
1984-09-01,547.47328
1984-10-01,562.76773
1984-11-01,556.43064
1984-12-01,576.86564
1985-01-01,595.27096
1985-02-01,626.86198
1985-03-01,631.88022
1985-04-01,596.38772
1985-05-01,608.58801
1985-06-01,606.34580
1985-07-01,588.18264
1985-08-01,574.94364
1985-09-01,592.34058
1985-10-01,568.41247
1985-11-01,562.52243
1985-12-01,553.40200
1986-01-01,548.54056
1986-02-01,529.89968
1986-03-01,511.78182
1986-04-01,516.63455
1986-05-01,502.28577
1986-06-01,515.93244
1986-07-01,514.06341
1986-08-01,505.86251
1986-09-01,505.34961
1986-10-01,508.14759
1986-11-01,520.87263
1986-12-01,516.20632
1987-01-01,496.09642
1987-02-01,490.75413
1987-03-01,491.10327
1987-04-01,487.68890
1987-05-01,483.01352
1987-06-01,493.66570
