Date,Slovenia
2014-05-01,139.15292
2014-06-01,140.57999
2014-07-01,141.20718
2014-08-01,143.51262
2014-09-01,148.15091
2014-10-01,150.79878
2014-11-01,153.15402
2014-12-01,155.22344
2015-01-01,164.34093
2015-02-01,168.28943
2015-03-01,176.68127
2015-04-01,176.72193
2015-05-01,171.26207
2015-06-01,170.39070
2015-07-01,173.68264
2015-08-01,171.69163
2015-09-01,170.36602
2015-10-01,170.15484
2015-11-01,178.26701
2015-12-01,175.53048
2016-01-01,176.16419
2016-02-01,172.32950
2016-03-01,171.72179
2016-04-01,168.52921
2016-05-01,169.06253
2016-06-01,170.14676
2016-07-01,172.82813
2016-08-01,170.52300
2016-09-01,170.45967
2016-10-01,173.47137
2016-11-01,177.29241
2016-12-01,181.34041
2017-01-01,179.79159
2017-02-01,179.52723
2017-03-01,178.75386
2017-04-01,178.37700
2017-05-01,172.85885
2017-06-01,170.09455
2017-07-01,165.92011
2017-08-01,161.80754
2017-09-01,160.43901
2017-10-01,162.57971
2017-11-01,162.78203
2017-12-01,161.55003
2018-01-01,156.70093
2018-02-01,154.85935
2018-03-01,155.00136
2018-04-01,155.75030
2018-05-01,161.90119
2018-06-01,163.66449
2018-07-01,163.55544
2018-08-01,165.48004
2018-09-01,163.79840
2018-10-01,166.41800
2018-11-01,168.17271
2018-12-01,167.94212
2019-01-01,167.36510
2019-02-01,168.44423
2019-03-01,169.17882
2019-04-01,170.09264
2019-05-01,170.83768
2019-06-01,169.20363
2019-07-01,170.41797
2019-08-01,171.79027
2019-09-01,173.61252
2019-10-01,172.89225
2019-11-01,172.96337
2019-12-01,171.99650
2020-01-01,172.14416
2020-02-01,175.24260
2020-03-01,173.12226
2020-04-01,175.78250
2020-05-01,175.23755
2020-06-01,169.73491
2020-07-01,166.57821
2020-08-01,161.56058
2020-09-01,162.17689
2020-10-01,162.37122
2020-11-01,161.51563
2020-12-01,157.07734
2021-01-01,157.04434
2021-02-01,158.00377
2021-03-01,160.62586
2021-04-01,159.77882
2021-05-01,157.27704
2021-06-01,158.62839
2021-07-01,161.62361
2021-08-01,162.41274
2021-09-01,162.37687
2021-10-01,164.74330
2021-11-01,167.56062
2021-12-01,169.10717
2022-01-01,168.82908
2022-02-01,168.47004
2022-03-01,173.40212
2022-04-01,176.94767
2022-05-01,180.66907
2022-06-01,180.89250
2022-07-01,187.72223
2022-08-01,188.64517
2022-09-01,193.10906
2022-10-01,194.22535
2022-11-01,187.31113
2022-12-01,180.51974
2023-01-01,177.45538
2023-02-01,178.54451
2023-03-01,178.43635
2023-04-01,174.30757
2023-05-01,176.04234
2023-06-01,176.29122
2023-07-01,172.87354
2023-08-01,175.19470
2023-09-01,179.03056
2023-10-01,180.99327
2023-11-01,176.71480
2023-12-01,175.12261
