Date,Germany
1979-05-01,45.74192
1979-06-01,45.10179
1979-07-01,43.73761
1979-08-01,43.86228
1979-09-01,43.03274
1979-10-01,42.90088
1979-11-01,42.49810
1979-12-01,41.57266
1980-01-01,41.33771
1980-02-01,41.89153
1980-03-01,44.37055
1980-04-01,44.85724
1980-05-01,42.91766
1980-06-01,42.35904
1980-07-01,41.89393
1980-08-01,42.93924
1980-09-01,42.90568
1980-10-01,44.11402
1980-11-01,45.98886
1980-12-01,47.23556
1981-01-01,48.14421
1981-02-01,51.46475
1981-03-01,50.51055
1981-04-01,51.81239
1981-05-01,54.94353
1981-06-01,56.98140
1981-07-01,58.49662
1981-08-01,59.97109
1981-09-01,56.47553
1981-10-01,53.92938
1981-11-01,53.11663
1981-12-01,54.14756
1982-01-01,54.95312
1982-02-01,56.73446
1982-03-01,57.03655
1982-04-01,57.49447
1982-05-01,55.37028
1982-06-01,58.19694
1982-07-01,59.09840
1982-08-01,59.39808
1982-09-01,59.98307
1982-10-01,60.63519
1982-11-01,61.25854
1982-12-01,57.99555
1983-01-01,57.26910
1983-02-01,58.15138
1983-03-01,57.72942
1983-04-01,58.49662
1983-05-01,59.17272
1983-06-01,61.08832
1983-07-01,62.04013
1983-08-01,64.11397
1983-09-01,63.95813
1983-10-01,62.35660
1983-11-01,64.34653
1983-12-01,65.88093
1984-01-01,67.28346
1984-02-01,64.79486
1984-03-01,62.24631
1984-04-01,63.30121
1984-05-01,65.91689
1984-06-01,65.66755
1984-07-01,68.33117
1984-08-01,69.22064
1984-09-01,72.48844
1984-10-01,73.56492
1984-11-01,71.72603
1984-12-01,74.37767
1985-01-01,75.96721
1985-02-01,79.10314
1985-03-01,79.14870
1985-04-01,73.89817
1985-05-01,74.61982
1985-06-01,73.49299
1985-07-01,69.87276
1985-08-01,66.89027
1985-09-01,68.08423
1985-10-01,63.39951
1985-11-01,62.16480
1985-12-01,60.28516
1986-01-01,58.59013
1986-02-01,55.96007
1986-03-01,54.27462
1986-04-01,54.53355
1986-05-01,53.42111
1986-06-01,53.62011
1986-07-01,51.62299
1986-08-01,49.53476
1986-09-01,48.91141
1986-10-01,48.06270
1986-11-01,48.58296
1986-12-01,47.75342
1987-01-01,44.54796
1987-02-01,43.79035
1987-03-01,43.96777
1987-04-01,43.41874
1987-05-01,42.82656
1987-06-01,43.59376
1987-07-01,44.28184
1987-08-01,44.54796
1987-09-01,43.45470
1987-10-01,43.20536
1987-11-01,40.30678
1987-12-01,39.15598
1988-01-01,39.61870
1988-02-01,40.69997
1988-03-01,40.24205
1988-04-01,40.06703
1988-05-01,40.60168
1988-06-01,42.09292
1988-07-01,44.21471
1988-08-01,45.25043
1988-09-01,44.75415
1988-10-01,43.67048
1988-11-01,41.94428
1988-12-01,42.08813
1989-01-01,43.91502
1989-02-01,44.39932
1989-03-01,44.71819
1989-04-01,44.83327
1989-05-01,46.75846
1989-06-01,47.49209
1989-07-01,45.41106
1989-08-01,46.20703
1989-09-01,46.74647
1989-10-01,44.76134
1989-11-01,43.87906
1989-12-01,41.75008
1990-01-01,40.56092
1990-02-01,40.18211
1990-03-01,40.86780
1990-04-01,40.47461
1990-05-01,39.84886
1990-06-01,40.37391
1990-07-01,39.31182
1990-08-01,37.65755
1990-09-01,37.63597
1990-10-01,36.55470
1990-11-01,35.65084
1990-12-01,35.76832
1991-01-01,36.20226
1991-02-01,35.48062
1991-03-01,38.41276
1991-04-01,40.79108
1991-05-01,41.12913
1991-06-01,42.77861
1991-07-01,42.88410
1991-08-01,41.84598
1991-09-01,40.69518
1991-10-01,40.55373
1991-11-01,38.95939
1991-12-01,37.50650
1992-01-01,37.81818
1992-02-01,38.82992
1992-03-01,39.82489
1992-04-01,39.51801
1992-05-01,38.85390
1992-06-01,37.73666
1992-07-01,35.83305
1992-08-01,34.79253
1992-09-01,34.70862
1992-10-01,35.51898
1992-11-01,38.06272
1992-12-01,37.87572
1993-01-01,38.73882
1993-02-01,39.35258
1993-03-01,39.49643
1993-04-01,38.26411
1993-05-01,38.50626
1993-06-01,39.61151
1993-07-01,41.10755
1993-08-01,40.64963
1993-09-01,38.90185
1993-10-01,39.27106
1993-11-01,40.75751
1993-12-01,40.99966
1994-01-01,41.79084
1994-02-01,41.64938
1994-03-01,40.57291
1994-04-01,40.71436
1994-05-01,39.74577
1994-06-01,39.06248
1994-07-01,37.66234
1994-08-01,37.51130
1994-09-01,37.18284
1994-10-01,36.43722
1994-11-01,36.89035
1994-12-01,37.69591
1995-01-01,36.71293
1995-02-01,35.99608
1995-03-01,33.72325
1995-04-01,33.09990
1995-05-01,33.74962
1995-06-01,33.57220
1995-07-01,33.31088
1995-08-01,34.64628
1995-09-01,35.05865
1995-10-01,33.90785
1995-11-01,33.96060
1995-12-01,34.54079
1996-01-01,35.04427
1996-02-01,35.14976
1996-03-01,35.42787
1996-04-01,36.07999
1996-05-01,36.76328
1996-06-01,36.61943
1996-07-01,36.08239
1996-08-01,35.55014
1996-09-01,36.10157
1996-10-01,36.64101
1996-11-01,36.24302
1996-12-01,37.19723
1997-01-01,38.45352
