DATE,CCRETT01FIM661N_NBD19700101
1989-04-01,122.75456
1989-05-01,122.64125
1989-06-01,123.39069
1989-07-01,123.20060
1989-08-01,122.55227
1989-09-01,122.96177
1989-10-01,123.05963
1989-11-01,122.52316
1989-12-01,123.26533
1990-01-01,125.01456
1990-02-01,125.63055
1990-03-01,124.88558
1990-04-01,125.14984
1990-05-01,125.31731
1990-06-01,125.31751
1990-07-01,125.54060
1990-08-01,125.76293
1990-09-01,124.99225
1990-10-01,124.27071
1990-11-01,124.23103
1990-12-01,123.97758
1991-01-01,124.13324
1991-02-01,123.47743
1991-03-01,123.24915
1991-04-01,123.11826
1991-05-01,122.76830
1991-06-01,121.03387
1991-07-01,118.87401
1991-08-01,117.84898
1991-09-01,117.96558
1991-10-01,117.44554
1991-11-01,112.09847
1991-12-01,107.74278
1992-01-01,107.15899
1992-02-01,106.06862
1992-03-01,105.87504
1992-04-01,105.92176
1992-05-01,106.04388
1992-06-01,106.60341
1992-07-01,107.04898
1992-08-01,107.58431
1992-09-01,97.62294
1992-10-01,95.36788
1992-11-01,94.46389
1992-12-01,94.18689
1993-01-01,90.88031
1993-02-01,85.66142
1993-03-01,83.93334
1993-04-01,86.97306
1993-05-01,88.44453
1993-06-01,87.91579
1993-07-01,86.38995
1993-08-01,84.63528
1993-09-01,82.85423
1993-10-01,83.71531
1993-11-01,84.32364
1993-12-01,84.62585
1994-01-01,85.77752
1994-02-01,86.84768
1994-03-01,86.41969
1994-04-01,86.86260
1994-05-01,86.49823
1994-06-01,86.25812
1994-07-01,87.87472
1994-08-01,88.68034
1994-09-01,90.68552
1994-10-01,94.95861
1994-11-01,94.32543
1994-12-01,93.05647
1995-01-01,93.37859
1995-02-01,94.17409
1995-03-01,96.32562
1995-04-01,96.93537
1995-05-01,96.03679
1995-06-01,95.88212
1995-07-01,96.11519
1995-08-01,96.47207
1995-09-01,95.23230
1995-10-01,95.16270
1995-11-01,94.93991
1995-12-01,93.67894
1996-01-01,92.27263
1996-02-01,90.42496
1996-03-01,89.14196
1996-04-01,87.30809
1996-05-01,87.74509
1996-06-01,88.94235
1996-07-01,89.92932
1996-08-01,91.25346
1996-09-01,90.61279
1996-10-01,90.50557
1996-11-01,89.78433
1996-12-01,89.56950
1997-01-01,88.64471
1997-02-01,87.55144
1997-03-01,87.07731
1997-04-01,86.63895
1997-05-01,86.23935
1997-06-01,86.03734
1997-07-01,85.43488
1997-08-01,84.22101
1997-09-01,85.12127
1997-10-01,85.73325
1997-11-01,85.87651
1997-12-01,85.47399
1998-01-01,85.55437
1998-02-01,84.91904
1998-03-01,84.24477
1998-04-01,84.39684
1998-05-01,85.40990
1998-06-01,85.82827
1998-07-01,85.54817
1998-08-01,87.00845
1998-09-01,91.70255
1998-10-01,93.34995
1998-11-01,91.86998
1998-12-01,92.92505
1999-01-01,92.04356
1999-02-01,91.02899
1999-03-01,90.33766
1999-04-01,90.19197
1999-05-01,89.98289
1999-06-01,88.85551
1999-07-01,88.41892
1999-08-01,88.88829
1999-09-01,88.41130
1999-10-01,88.93539
1999-11-01,87.78391
1999-12-01,87.17401
2000-01-01,87.37193
2000-02-01,87.16570
2000-03-01,86.57646
2000-04-01,85.95242
2000-05-01,85.25476
2000-06-01,86.34777
2000-07-01,85.71544
2000-08-01,84.96155
2000-09-01,84.40121
2000-10-01,83.90983
2000-11-01,84.06309
2000-12-01,85.17017
2001-01-01,86.62901
2001-02-01,86.35042
2001-03-01,86.51286
2001-04-01,86.17686
2001-05-01,85.47508
2001-06-01,84.95963
2001-07-01,84.86051
2001-08-01,86.31001
2001-09-01,87.23766
2001-10-01,86.87462
2001-11-01,85.74240
2001-12-01,85.79426
2002-01-01,85.44871
2002-02-01,84.91263
