DATE,CCRETT01RUM661N_NBD19930101
2012-04-01,812.84252
2012-05-01,795.45092
2012-06-01,770.04652
2012-07-01,794.09878
2012-08-01,797.39577
2012-09-01,795.08176
2012-10-01,798.34090
2012-11-01,801.59975
2012-12-01,810.57452
2013-01-01,826.52716
2013-02-01,828.43084
2013-03-01,829.80936
2013-04-01,818.16167
2013-05-01,826.49540
2013-06-01,798.46672
2013-07-01,799.43016
2013-08-01,784.53035
2013-09-01,793.55915
2013-10-01,796.72748
2013-11-01,792.69254
2013-12-01,787.17532
2014-01-01,772.69384
2014-02-01,741.85908
2014-03-01,728.45926
2014-04-01,742.54175
2014-05-01,767.67370
2014-06-01,786.98610
2014-07-01,783.14711
2014-08-01,762.02596
2014-09-01,744.06250
2014-10-01,705.70469
2014-11-01,643.57371
2014-12-01,545.60144
2015-01-01,519.14885
2015-02-01,534.32265
2015-03-01,594.28769
2015-04-01,674.80305
2015-05-01,695.43829
2015-06-01,646.02615
2015-07-01,626.39994
2015-08-01,552.45349
2015-09-01,547.37866
2015-10-01,580.12651
2015-11-01,583.35851
2015-12-01,543.85378
2016-01-01,505.58337
2016-02-01,497.77140
2016-03-01,545.25231
2016-04-01,567.22885
2016-05-01,577.83057
2016-06-01,589.64504
2016-07-01,604.69907
2016-08-01,593.33085
2016-09-01,598.37102
2016-10-01,625.77089
2016-11-01,623.29729
2016-12-01,663.19458
2017-01-01,683.60641
2017-02-01,695.92084
2017-03-01,701.68238
2017-04-01,716.54766
2017-05-01,700.52492
2017-06-01,685.13809
2017-07-01,656.26966
2017-08-01,642.80795
2017-09-01,654.14419
2017-10-01,661.30447
2017-11-01,648.73989
2017-12-01,650.07819
2018-01-01,655.76193
2018-02-01,644.98631
2018-03-01,643.99227
2018-04-01,607.34297
2018-05-01,611.82476
2018-06-01,617.74955
2018-07-01,626.40448
2018-08-01,598.88012
2018-09-01,585.61201
2018-10-01,607.70391
2018-11-01,609.24283
2018-12-01,603.71255
2019-01-01,611.82329
2019-02-01,621.02814
2019-03-01,629.61398
2019-04-01,637.35765
2019-05-01,642.35356
2019-06-01,646.61272
2019-07-01,656.21644
2019-08-01,636.51283
2019-09-01,648.32021
2019-10-01,649.90113
2019-11-01,654.22014
2019-12-01,663.11696
2020-01-01,670.18823
2020-02-01,656.84375
2020-03-01,571.71996
2020-04-01,583.97967
2020-05-01,603.88618
2020-06-01,620.32908
2020-07-01,596.41158
2020-08-01,564.11281
2020-09-01,546.29438
2020-10-01,536.69175
2020-11-01,540.83042
2020-12-01,553.16396
2021-01-01,548.28354
2021-02-01,550.69887
2021-03-01,561.29866
2021-04-01,551.05867
2021-05-01,562.69009
2021-06-01,579.03601
2021-07-01,575.54341
2021-08-01,579.05240
2021-09-01,586.82099
2021-10-01,607.51846
2021-11-01,603.40718
2021-12-01,603.43751
2022-01-01,579.73681
2022-02-01,563.85653
2022-03-01,438.57301
2022-04-01,616.74180
2022-05-01,776.93866
2022-06-01,872.65000
2022-07-01,858.63580
2022-08-01,851.21671
2022-09-01,883.44397
2022-10-01,866.87046
2022-11-01,863.06527
2022-12-01,768.77791
2023-01-01,715.05254
2023-02-01,684.50954
2023-03-01,661.70453
2023-04-01,613.47877
2023-05-01,639.50232
2023-06-01,615.01538
2023-07-01,567.10716
2023-08-01,545.63710
2023-09-01,552.70769
2023-10-01,557.92523
2023-11-01,593.19690
2023-12-01,584.65112
