DATE,CCRETT01HUM661N_NBD19930101
2012-04-01,127.86426
2012-05-01,127.91135
2012-06-01,128.44336
2012-07-01,130.13067
2012-08-01,133.18430
2012-09-01,132.00173
2012-10-01,132.95250
2012-11-01,132.33385
2012-12-01,130.74769
2013-01-01,128.96475
2013-02-01,129.03198
2013-03-01,123.82648
2013-04-01,126.22821
2013-05-01,128.59986
2013-06-01,128.55034
2013-07-01,128.24651
2013-08-01,126.51779
2013-09-01,126.71208
2013-10-01,128.55340
2013-11-01,127.59642
2013-12-01,126.05398
2014-01-01,126.16291
2014-02-01,122.95765
2014-03-01,122.95367
2014-04-01,124.39448
2014-05-01,124.68679
2014-06-01,123.50483
2014-07-01,122.06740
2014-08-01,120.22622
2014-09-01,119.61888
2014-10-01,121.71189
2014-11-01,122.26940
2014-12-01,121.59819
2015-01-01,119.11139
2015-02-01,121.61845
2015-03-01,121.61460
2015-04-01,121.67557
2015-05-01,120.70174
2015-06-01,119.43044
2015-07-01,119.48436
2015-08-01,120.43112
2015-09-01,119.77504
2015-10-01,120.25314
2015-11-01,119.13874
2015-12-01,118.94162
2016-01-01,120.15369
2016-02-01,121.76010
2016-03-01,119.94065
2016-04-01,120.88981
2016-05-01,120.09375
2016-06-01,120.28090
2016-07-01,119.43459
2016-08-01,120.60004
2016-09-01,121.37675
2016-10-01,122.37658
2016-11-01,122.02575
2016-12-01,120.33506
2017-01-01,121.85639
2017-02-01,121.68008
2017-03-01,120.97181
2017-04-01,120.14162
2017-05-01,121.53340
2017-06-01,122.51268
2017-07-01,123.67319
2017-08-01,125.30574
2017-09-01,123.50216
2017-10-01,122.84312
2017-11-01,122.45427
2017-12-01,121.83133
2018-01-01,123.74036
2018-02-01,123.01144
2018-03-01,122.58989
2018-04-01,123.44856
2018-05-01,121.75036
2018-06-01,119.49977
2018-07-01,119.38366
2018-08-01,120.15244
2018-09-01,119.99628
2018-10-01,120.25113
2018-11-01,120.31038
2018-12-01,120.00065
2019-01-01,121.22992
2019-02-01,121.93183
2019-03-01,123.07545
2019-04-01,121.36954
2019-05-01,120.57215
2019-06-01,121.03964
2019-07-01,119.83044
2019-08-01,119.49307
2019-09-01,117.28298
2019-10-01,117.80544
2019-11-01,117.16089
2019-12-01,118.07081
2020-01-01,117.62411
2020-02-01,116.47387
2020-03-01,116.17247
2020-04-01,111.87919
2020-05-01,114.02587
2020-06-01,115.63222
2020-07-01,116.16550
2020-08-01,117.72233
2020-09-01,113.72898
2020-10-01,113.06116
2020-11-01,113.32204
2020-12-01,113.94182
2021-01-01,114.13706
2021-02-01,114.44409
2021-03-01,112.58695
2021-04-01,114.69795
2021-05-01,117.30105
2021-06-01,118.79331
2021-07-01,116.25030
2021-08-01,117.78962
2021-09-01,117.44743
2021-10-01,114.80332
2021-11-01,113.79200
2021-12-01,112.64142
2022-01-01,115.49689
2022-02-01,116.45900
2022-03-01,110.20354
2022-04-01,110.33426
2022-05-01,107.92454
2022-06-01,105.33374
2022-07-01,104.70461
2022-08-01,106.40408
2022-09-01,109.38621
2022-10-01,107.15463
2022-11-01,112.14061
2022-12-01,115.04938
2023-01-01,119.90164
2023-02-01,123.74231
2023-03-01,124.06027
2023-04-01,128.13014
2023-05-01,128.60547
2023-06-01,129.62243
2023-07-01,127.66788
2023-08-01,126.05853
2023-09-01,126.06124
2023-10-01,125.79285
2023-11-01,127.85725
2023-12-01,127.08809
