DATE,CCRETT01GBM661N_NBD19720101
1991-04-01,106.42587
1991-05-01,105.98247
1991-06-01,104.60965
1991-07-01,104.01142
1991-08-01,105.17256
1991-09-01,105.72082
1991-10-01,105.04005
1991-11-01,105.46485
1991-12-01,106.08662
1992-01-01,104.65139
1992-02-01,104.75368
1992-03-01,103.78833
1992-04-01,105.96717
1992-05-01,108.07894
1992-06-01,108.28297
1992-07-01,107.51696
1992-08-01,107.09898
1992-09-01,102.27548
1992-10-01,94.05652
1992-11-01,90.92410
1992-12-01,92.90298
1993-01-01,92.46791
1993-02-01,88.09181
1993-03-01,89.85534
1993-04-01,92.88967
1993-05-01,93.09366
1993-06-01,92.00214
1993-07-01,93.27965
1993-08-01,93.24093
1993-09-01,93.43536
1993-10-01,92.65149
1993-11-01,92.66547
1993-12-01,93.53644
1994-01-01,94.57616
1994-02-01,92.92081
1994-03-01,92.56242
1994-04-01,92.45569
1994-05-01,92.37644
1994-06-01,92.58186
1994-07-01,90.87333
1994-08-01,90.85552
1994-09-01,91.24593
1994-10-01,92.02056
1994-11-01,91.85673
1994-12-01,91.95063
1995-01-01,91.17306
1995-02-01,90.08509
1995-03-01,88.89449
1995-04-01,87.73349
1995-05-01,87.56244
1995-06-01,87.49218
1995-07-01,86.77677
1995-08-01,87.59632
1995-09-01,88.31568
1995-10-01,87.67225
1995-11-01,86.62909
1995-12-01,86.62202
1996-01-01,86.40376
1996-02-01,87.09921
1996-03-01,86.69480
1996-04-01,86.97174
1996-05-01,88.02960
1996-06-01,89.61522
1996-07-01,88.96961
1996-08-01,88.39466
1996-09-01,89.90817
1996-10-01,92.16900
1996-11-01,96.08452
1996-12-01,97.90134
1997-01-01,99.00773
1997-02-01,99.98736
1997-03-01,99.98467
1997-04-01,102.17535
1997-05-01,102.30028
1997-06-01,103.90678
1997-07-01,107.59934
1997-08-01,105.84981
1997-09-01,104.11907
1997-10-01,105.39654
1997-11-01,108.65518
1997-12-01,109.87857
1998-01-01,110.70922
1998-02-01,110.19043
1998-03-01,112.00409
1998-04-01,112.54793
1998-05-01,109.16141
1998-06-01,111.49927
1998-07-01,111.04455
1998-08-01,110.77899
1998-09-01,110.78274
1998-10-01,108.10551
1998-11-01,107.56641
1998-12-01,108.02597
1999-01-01,106.82957
1999-02-01,107.96537
1999-03-01,110.28981
1999-04-01,110.53314
1999-05-01,111.54316
1999-06-01,111.54603
1999-07-01,109.79455
1999-08-01,110.22320
1999-09-01,111.81724
1999-10-01,112.54470
1999-11-01,112.49144
1999-12-01,113.31976
2000-01-01,114.12110
2000-02-01,113.61390
2000-03-01,113.48935
2000-04-01,115.27652
2000-05-01,113.48468
2000-06-01,110.09515
2000-07-01,110.30380
2000-08-01,111.34800
2000-09-01,110.11456
2000-10-01,113.15117
2000-11-01,111.42429
2000-12-01,110.89057
2001-01-01,108.23845
2001-02-01,107.61281
2001-03-01,108.49989
2001-04-01,109.59948
2001-05-01,110.44767
2001-06-01,110.39443
2001-07-01,110.50308
2001-08-01,109.24027
2001-09-01,110.49111
2001-10-01,110.09173
2001-11-01,110.22206
2001-12-01,110.59248
2002-01-01,110.16007
2002-02-01,110.43900
2002-03-01,109.57558
2002-04-01,110.27403
2002-05-01,108.77597
2002-06-01,107.58362
2002-07-01,109.76031
2002-08-01,109.74758
2002-09-01,110.90272
2002-10-01,111.09616
2002-11-01,110.22397
2002-12-01,109.98565
2003-01-01,107.79008
2003-02-01,105.88895
2003-03-01,104.34035
2003-04-01,103.70163
2003-05-01,102.05386
2003-06-01,103.79892
2003-07-01,103.30240
2003-08-01,102.89231
2003-09-01,103.12801
2003-10-01,104.13393
2003-11-01,104.73489
2003-12-01,104.94269
2004-01-01,106.78896
2004-02-01,109.23945
2004-03-01,108.82349
2004-04-01,108.91553
2004-05-01,108.45404
2004-06-01,109.88737
2004-07-01,109.68186
2004-08-01,108.80653
2004-09-01,106.69939
2004-10-01,105.66414
2004-11-01,105.43428
2004-12-01,107.03413
2005-01-01,105.50663
2005-02-01,106.26801
2005-03-01,106.04607
2005-04-01,107.36603
2005-05-01,106.65269
2005-06-01,107.77768
2005-07-01,104.69767
2005-08-01,105.43569
2005-09-01,106.14147
2005-10-01,105.20437
2005-11-01,105.21926
2005-12-01,105.57530
2006-01-01,104.39401
2006-02-01,104.22362
2006-03-01,103.52695
2006-04-01,103.30703
2006-05-01,106.35026
2006-06-01,106.29008
2006-07-01,106.14013
2006-08-01,108.29733
2006-09-01,108.68423
2006-10-01,109.05537
2006-11-01,109.25787
2006-12-01,110.27341
2007-01-01,110.81261
2007-02-01,110.00887
2007-03-01,108.42162
2007-04-01,108.73415
2007-05-01,108.37512
2007-06-01,109.13223
2007-07-01,108.91963
2007-08-01,108.67790
2007-09-01,106.89733
2007-10-01,105.87718
2007-11-01,104.68074
2007-12-01,102.78372
2008-01-01,98.82512
2008-02-01,98.15116
2008-03-01,96.13390
2008-04-01,94.69197
2008-05-01,94.64407
2008-06-01,94.88308
2008-07-01,94.61121
2008-08-01,93.94444
2008-09-01,92.99675
2008-10-01,93.43064
2008-11-01,88.35360
2008-12-01,83.22625
2009-01-01,81.72889
2009-02-01,83.78320
2009-03-01,81.55325
2009-04-01,83.34160
2009-05-01,85.07312
2009-06-01,88.71457
2009-07-01,88.33932
2009-08-01,87.98418
2009-09-01,85.25687
2009-10-01,83.20984
2009-11-01,84.85135
2009-12-01,84.53649
2010-01-01,84.95339
2010-02-01,84.23427
2010-03-01,81.28352
2010-04-01,83.38969
2010-05-01,83.94086
2010-06-01,86.17070
2010-07-01,86.17323
2010-08-01,87.51441
2010-09-01,85.83111
2010-10-01,83.70376
2010-11-01,85.40681
2010-12-01,85.39326
2011-01-01,85.48282
2011-02-01,86.07488
2011-03-01,84.44672
2011-04-01,83.87504
2011-05-01,84.15082
2011-06-01,83.19736
2011-07-01,83.04357
2011-08-01,84.34503
2011-09-01,84.53553
2011-10-01,84.68918
2011-11-01,85.87683
2011-12-01,86.65947
2012-01-01,86.43994
2012-02-01,86.05243
2012-03-01,86.16194
2012-04-01,87.68146
2012-05-01,89.27049
2012-06-01,88.52729
2012-07-01,89.60178
2012-08-01,89.46808
2012-09-01,89.51220
2012-10-01,88.99840
2012-11-01,89.31357
2012-12-01,89.14341
2013-01-01,87.32093
2013-02-01,84.54466
2013-03-01,84.19614
2013-04-01,85.40054
2013-05-01,85.75179
2013-06-01,86.24297
2013-07-01,85.11875
2013-08-01,86.42746
2013-09-01,88.35321
2013-10-01,88.29685
2013-11-01,89.37356
2013-12-01,90.59130
2014-01-01,91.31955
2014-02-01,91.80885
2014-03-01,91.35426
2014-04-01,92.06165
2014-05-01,92.65682
2014-06-01,93.75877
2014-07-01,94.69494
2014-08-01,94.09010
2014-09-01,94.03620
2014-10-01,94.30424
2014-11-01,94.20422
2014-12-01,95.42894
2015-01-01,96.03806
2015-02-01,98.38420
2015-03-01,98.81188
2015-04-01,98.37769
2015-05-01,99.37072
2015-06-01,100.33064
2015-07-01,101.79788
2015-08-01,102.48264
2015-09-01,100.71064
2015-10-01,100.35311
2015-11-01,102.79076
2015-12-01,101.02055
2016-01-01,97.77034
2016-02-01,95.38841
2016-03-01,94.11441
2016-04-01,92.97358
2016-05-01,94.87567
2016-06-01,93.05205
2016-07-01,86.89597
2016-08-01,85.90914
2016-09-01,86.41573
2016-10-01,81.94359
2016-11-01,84.59688
2016-12-01,86.49674
2017-01-01,84.64675
2017-02-01,85.35146
2017-03-01,84.31717
2017-04-01,86.23601
2017-05-01,86.84131
2017-06-01,84.96835
2017-07-01,84.67267
2017-08-01,83.17525
2017-09-01,84.98894
2017-10-01,85.26068
2017-11-01,85.93027
2017-12-01,86.69733
2018-01-01,86.62509
2018-02-01,86.66865
2018-03-01,86.95110
2018-04-01,88.19552
2018-05-01,86.90372
2018-06-01,86.60151
2018-07-01,86.07295
2018-08-01,85.66588
2018-09-01,86.46769
2018-10-01,86.79571
2018-11-01,86.97160
2018-12-01,85.51975
2019-01-01,86.12326
2019-02-01,87.12786
2019-03-01,88.27588
2019-04-01,87.76748
2019-05-01,87.31150
2019-06-01,85.44334
2019-07-01,84.02043
2019-08-01,83.06490
2019-09-01,85.10663
2019-10-01,86.52480
2019-11-01,88.28613
2019-12-01,89.13219
2020-01-01,88.57649
2020-02-01,89.11142
2020-03-01,85.60375
2020-04-01,87.55538
2020-05-01,86.41793
2020-06-01,85.69098
2020-07-01,85.94254
2020-08-01,86.75685
2020-09-01,86.12671
2020-10-01,86.28924
2020-11-01,87.08287
2020-12-01,86.63133
2021-01-01,87.08212
2021-02-01,88.46079
2021-03-01,89.61782
2021-04-01,89.59437
2021-05-01,90.20906
2021-06-01,90.30396
2021-07-01,89.95222
2021-08-01,90.43641
2021-09-01,89.95583
2021-10-01,90.44853
2021-11-01,90.04137
2021-12-01,90.17737
2022-01-01,90.76271
2022-02-01,90.57129
2022-03-01,90.23040
2022-04-01,89.81743
2022-05-01,87.88253
2022-06-01,86.85850
2022-07-01,86.78571
2022-08-01,86.97833
2022-09-01,83.75724
2022-10-01,85.42342
2022-11-01,86.87296
2022-12-01,88.27125
2023-01-01,86.65583
2023-02-01,86.75480
2023-03-01,87.72581
2023-04-01,89.62064
2023-05-01,90.96157
2023-06-01,92.94093
2023-07-01,93.30300
2023-08-01,93.12850
2023-09-01,92.66573
2023-10-01,91.66049
2023-11-01,91.81439
2023-12-01,92.55087
