DATE,CCRETT01PLM661N_NBD19930101
2012-04-01,139.28042
2012-05-01,135.41266
2012-06-01,136.08042
2012-07-01,137.43597
2012-08-01,139.51908
2012-09-01,138.92903
2012-10-01,140.11709
2012-11-01,139.24335
2012-12-01,140.86227
2013-01-01,139.86827
2013-02-01,138.47347
2013-03-01,137.97413
2013-04-01,139.70637
2013-05-01,137.75890
2013-06-01,135.63321
2013-07-01,135.94529
2013-08-01,137.66895
2013-09-01,137.19786
2013-10-01,139.27782
2013-11-01,139.58451
2013-12-01,140.48438
2014-01-01,141.04866
2014-02-01,141.39880
2014-03-01,141.00164
2014-04-01,141.09178
2014-05-01,140.40468
2014-06-01,141.03733
2014-07-01,140.48771
2014-08-01,138.31934
2014-09-01,137.86748
2014-10-01,137.70190
2014-11-01,138.45289
2014-12-01,140.17262
2015-01-01,137.98035
2015-02-01,139.20384
2015-03-01,138.28752
2015-04-01,139.93060
2015-05-01,138.69527
2015-06-01,137.03416
2015-07-01,137.06271
2015-08-01,137.44891
2015-09-01,137.18026
2015-10-01,135.25603
2015-11-01,134.24801
2015-12-01,134.07230
2016-01-01,131.84165
2016-02-01,131.86714
2016-03-01,133.47449
2016-04-01,133.37513
2016-05-01,130.22847
2016-06-01,130.39357
2016-07-01,129.61744
2016-08-01,132.54534
2016-09-01,131.84779
2016-10-01,132.44976
2016-11-01,130.46148
2016-12-01,128.72756
2017-01-01,130.92978
2017-02-01,132.35781
2017-03-01,132.80614
2017-04-01,134.17541
2017-05-01,136.13992
2017-06-01,136.20115
2017-07-01,135.56678
2017-08-01,135.08490
2017-09-01,135.17096
2017-10-01,135.67682
2017-11-01,137.72077
2017-12-01,138.75441
2018-01-01,140.54478
2018-02-01,140.15701
2018-03-01,138.25575
2018-04-01,139.43619
2018-05-01,136.02206
2018-06-01,135.05829
2018-07-01,134.26851
2018-08-01,135.97315
2018-09-01,136.24022
2018-10-01,135.61955
2018-11-01,135.58981
2018-12-01,136.22697
2019-01-01,135.59349
2019-02-01,134.40508
2019-03-01,134.83284
2019-04-01,135.78210
2019-05-01,135.98447
2019-06-01,137.27456
2019-07-01,136.77729
2019-08-01,134.66243
2019-09-01,133.99437
2019-10-01,135.42492
2019-11-01,136.07825
2019-12-01,137.06459
2020-01-01,138.56650
2020-02-01,138.20174
2020-03-01,136.25825
2020-04-01,132.85272
2020-05-01,132.72046
2020-06-01,136.52941
2020-07-01,136.39252
2020-08-01,138.94472
2020-09-01,137.34654
2020-10-01,135.01261
2020-11-01,136.10572
2020-12-01,136.86156
2021-01-01,135.57577
2021-02-01,136.51959
2021-03-01,134.39839
2021-04-01,136.19117
2021-05-01,137.42152
2021-06-01,137.63719
2021-07-01,135.56026
2021-08-01,135.19453
2021-09-01,135.79039
2021-10-01,134.97416
2021-11-01,133.94816
2021-12-01,135.48760
2022-01-01,138.59811
2022-02-01,137.25698
2022-03-01,134.41007
2022-04-01,137.24517
2022-05-01,137.79992
2022-06-01,139.17933
2022-07-01,134.19036
2022-08-01,135.96131
2022-09-01,136.28060
2022-10-01,136.23512
2022-11-01,140.86808
2022-12-01,142.80235
2023-01-01,145.07846
2023-02-01,144.70300
2023-03-01,147.57560
2023-04-01,150.88192
2023-05-01,154.11821
2023-06-01,157.17642
2023-07-01,158.43182
2023-08-01,157.52997
2023-09-01,151.56092
2023-10-01,154.39214
2023-11-01,159.69771
2023-12-01,162.66146
