DATE,CCRETT01SKM661N_NBD19930101
2012-04-01,187.24806
2012-05-01,188.12181
2012-06-01,188.99440
2012-07-01,186.80342
2012-08-01,185.12257
2012-09-01,186.24499
2012-10-01,186.73978
2012-11-01,187.04186
2012-12-01,186.89225
2013-01-01,188.66993
2013-02-01,188.46576
2013-03-01,188.16383
2013-04-01,188.69820
2013-05-01,188.42382
2013-06-01,190.15540
2013-07-01,189.95712
2013-08-01,190.37895
2013-09-01,189.65494
2013-10-01,189.44171
2013-11-01,190.83608
2013-12-01,191.79669
2014-01-01,192.61391
2014-02-01,193.12671
2014-03-01,193.37957
2014-04-01,192.53988
2014-05-01,191.87355
2014-06-01,191.07320
2014-07-01,190.78377
2014-08-01,191.25821
2014-09-01,190.55125
2014-10-01,191.07971
2014-11-01,192.68766
2014-12-01,194.80932
2015-01-01,194.77485
2015-02-01,191.79048
2015-03-01,188.00659
2015-04-01,185.73146
2015-05-01,186.81134
2015-06-01,188.75146
2015-07-01,188.12818
2015-08-01,190.67748
2015-09-01,191.19293
2015-10-01,190.12334
2015-11-01,189.06555
2015-12-01,190.61115
2016-01-01,192.04688
2016-02-01,192.45614
2016-03-01,190.58334
2016-04-01,190.24197
2016-05-01,190.28636
2016-06-01,190.03663
2016-07-01,188.49673
2016-08-01,188.12454
2016-09-01,188.06742
2016-10-01,187.35120
2016-11-01,187.99519
2016-12-01,186.99096
2017-01-01,186.92156
2017-02-01,186.36707
2017-03-01,185.99360
2017-04-01,185.16169
2017-05-01,185.99852
2017-06-01,185.94870
2017-07-01,186.53893
2017-08-01,186.97025
2017-09-01,187.02912
2017-10-01,186.69002
2017-11-01,186.88298
2017-12-01,186.45654
2018-01-01,187.80972
2018-02-01,187.82293
2018-03-01,188.16448
2018-04-01,188.91479
2018-05-01,188.19405
2018-06-01,188.73513
2018-07-01,189.15307
2018-08-01,189.30325
2018-09-01,189.61939
2018-10-01,188.77121
2018-11-01,188.82761
2018-12-01,188.46688
2019-01-01,190.13151
2019-02-01,189.62922
2019-03-01,189.58382
2019-04-01,189.17102
2019-05-01,190.00289
2019-06-01,189.55459
2019-07-01,189.07091
2019-08-01,190.62542
2019-09-01,190.85777
2019-10-01,189.73401
2019-11-01,189.55303
2019-12-01,188.50292
2020-01-01,189.47390
2020-02-01,189.21894
2020-03-01,194.25544
2020-04-01,196.09482
2020-05-01,196.14034
2020-06-01,194.25846
2020-07-01,195.17479
2020-08-01,195.11881
2020-09-01,197.08016
2020-10-01,197.92211
2020-11-01,196.58700
2020-12-01,196.04370
2021-01-01,195.06307
2021-02-01,193.86788
2021-03-01,194.88774
2021-04-01,194.28035
2021-05-01,194.54343
2021-06-01,194.13205
2021-07-01,194.76578
2021-08-01,194.22115
2021-09-01,195.17331
2021-10-01,194.83554
2021-11-01,194.88811
2021-12-01,194.34081
2022-01-01,195.29968
2022-02-01,195.47590
2022-03-01,199.48202
2022-04-01,195.68477
2022-05-01,196.28569
2022-06-01,196.40174
2022-07-01,196.28957
2022-08-01,196.57269
2022-09-01,195.92371
2022-10-01,198.49064
2022-11-01,198.87400
2022-12-01,199.67909
2023-01-01,200.65713
2023-02-01,201.03102
2023-03-01,202.81372
2023-04-01,203.41855
2023-05-01,202.36445
2023-06-01,202.88498
2023-07-01,203.53339
2023-08-01,203.70796
2023-09-01,204.82770
2023-10-01,204.72214
2023-11-01,204.27253
2023-12-01,204.53425
